曲线名称,日期,3月,6月,1年,3年,5年,7年,10年,30年
中债商业银行普通债收益率曲线(AAA),2020-05-21,1.4813,1.5833,1.7617,2.3724,2.7828,3.3461,3.6988,4.1831
中债国债收益率曲线,2020-05-21,1.1032,1.2465,1.3328,1.6716,2.1576,2.6092,2.685,3.5072
中债国债收益率曲线,2020-05-22,1.1202,1.3009,1.3923,1.6368,2.045,2.5268,2.6176,3.4434
中债中短期票据收益率曲线(AAA),2020-05-22,1.5939,1.6983,1.8743,2.594,3.1556,3.6404,3.9962,
中债商业银行普通债收益率曲线(AAA),2020-05-22,1.4762,1.5722,1.7622,2.3253,2.7918,3.3316,3.6843,4.1536
中债国债收益率曲线,2020-05-25,1.1665,1.3261,1.4574,1.7059,2.1377,2.5931,2.6852,3.4934
中债中短期票据收益率曲线(AAA),2020-05-25,1.6019,1.7122,1.8676,2.6049,3.1574,3.639,3.9862,
中债商业银行普通债收益率曲线(AAA),2020-05-25,1.4969,1.5729,1.77,2.3227,2.7974,3.3302,3.7161,4.1554
中债中短期票据收益率曲线(AAA),2020-05-26,1.626,1.7481,1.9175,2.6401,3.1875,3.6691,4.0015,
中债商业银行普通债收益率曲线(AAA),2020-05-26,1.5681,1.6086,1.7826,2.4316,2.8274,3.3702,3.7462,4.1705
中债国债收益率曲线,2020-05-26,1.172,1.3604,1.529,1.7614,2.2295,2.6551,2.7402,3.5283
中债中短期票据收益率曲线(AAA),2020-05-27,1.6813,1.7695,1.955,2.673,3.2223,3.6926,4.0164,
中债商业银行普通债收益率曲线(AAA),2020-05-27,1.5937,1.6236,1.8268,2.483,2.8676,3.4055,3.7662,4.1855
中债国债收益率曲线,2020-05-27,1.4074,1.5046,1.589,1.922,2.2956,2.6858,2.7527,3.5181
中债中短期票据收益率曲线(AAA),2020-05-28,1.7249,1.7886,1.9929,2.7154,3.2501,3.7097,4.0201,
中债商业银行普通债收益率曲线(AAA),2020-05-28,1.5982,1.7384,1.8968,2.5222,2.8833,3.4226,3.7662,4.1935
中债国债收益率曲线,2020-05-28,1.4198,1.5134,1.5995,1.8999,2.2562,2.6749,2.7201,3.5033
中债国债收益率曲线,2020-05-29,1.4627,1.5542,1.601,1.8938,2.2241,2.6371,2.7053,3.4934
中债商业银行普通债收益率曲线(AAA),2020-05-29,1.6429,1.7568,1.8771,2.5373,2.8794,3.4345,3.7515,4.1735
中债中短期票据收益率曲线(AAA),2020-05-29,1.751,1.8226,2.0183,2.7349,3.2702,3.7216,4.0001,
中债中短期票据收益率曲线(AAA),2020-06-01,1.7577,1.8232,2.0447,2.7656,3.29,3.7364,4.0124,
中债商业银行普通债收益率曲线(AAA),2020-06-01,1.6322,1.7067,1.8922,2.5361,2.8936,3.4493,3.7638,4.1859
中债国债收益率曲线,2020-06-01,1.458,1.5543,1.5897,1.902,2.2369,2.6643,2.7253,3.5035
中债中短期票据收益率曲线(AAA),2020-06-02,1.7727,1.8513,2.1034,2.9327,3.3644,3.7838,4.0426,
中债商业银行普通债收益率曲线(AAA),2020-06-02,1.6644,1.7643,1.992,2.6671,2.9793,3.4713,3.794,4.2159
中债国债收益率曲线,2020-06-02,1.4821,1.6133,1.7018,2.039,2.3658,2.7436,2.7852,3.5584
中债中短期票据收益率曲线(AAA),2020-06-03,2.0,2.1029,2.2397,3.0198,3.476,3.8125,4.0542,
中债商业银行普通债收益率曲线(AAA),2020-06-03,1.9163,2.0032,2.1914,2.9466,3.1035,3.5,3.8057,4.2376
中债国债收益率曲线,2020-06-03,1.6675,1.8133,1.8201,2.2858,2.372,2.8643,2.7901,3.5685
中债国债收益率曲线,2020-06-04,1.6879,1.9133,1.9201,2.3296,2.4656,2.885,2.8301,3.5934
中债中短期票据收益率曲线(AAA),2020-06-04,2.0961,2.1585,2.3045,3.0745,3.5063,3.8309,4.0542,
中债商业银行普通债收益率曲线(AAA),2020-06-04,1.9203,1.9696,2.2458,2.9494,3.1895,3.5368,3.8057,4.2196
中债中短期票据收益率曲线(AAA),2020-06-05,2.2005,2.3134,2.5337,3.1335,3.6059,3.8717,4.0511,
中债商业银行普通债收益率曲线(AAA),2020-06-05,2.0162,2.1714,2.3917,2.9964,3.341,3.5776,3.7966,4.2105
中债国债收益率曲线,2020-06-05,1.7652,2.0179,2.0801,2.3856,2.5258,2.9,2.8475,3.6034
中债中短期票据收益率曲线(AAA),2020-06-08,2.2853,2.4575,2.6032,3.1626,3.6307,3.8822,4.0361,
中债商业银行普通债收益率曲线(AAA),2020-06-08,2.1164,2.1807,2.5099,2.9657,3.331,3.5881,3.8071,4.221
中债国债收益率曲线,2020-06-08,1.8743,1.9905,2.0801,2.3492,2.4969,2.8525,2.8101,3.5837
中债中短期票据收益率曲线(AAA),2020-06-09,2.348,2.4444,2.5954,3.1358,3.6028,3.8661,4.0361,
中债商业银行普通债收益率曲线(AAA),2020-06-09,2.1255,2.1664,2.4399,2.9177,3.2919,3.572,3.8071,4.221
中债国债收益率曲线,2020-06-09,1.8469,1.9766,2.0521,2.301,2.5002,2.85,2.8031,3.5863
中债国债收益率曲线,2020-06-10,1.9026,2.0009,2.0677,2.3342,2.5134,2.84,2.8201,3.5837
中债中短期票据收益率曲线(AAA),2020-06-10,2.36,2.4208,2.6068,3.1158,3.6144,3.8599,4.0261,
中债商业银行普通债收益率曲线(AAA),2020-06-10,2.126,2.1836,2.4199,2.9091,3.2728,3.5658,3.7971,4.211
中债中短期票据收益率曲线(AAA),2020-06-11,2.3564,2.4108,2.5877,3.0959,3.5763,3.8396,4.0461,
中债商业银行普通债收益率曲线(AAA),2020-06-11,2.1415,2.2128,2.4784,2.901,3.2756,3.5649,3.8171,4.231
中债国债收益率曲线,2020-06-11,1.8991,1.9584,2.0723,2.3127,2.4818,2.8,2.7701,3.5236
中债中短期票据收益率曲线(AAA),2020-06-12,2.3015,2.4036,2.5768,3.0406,3.5265,3.8472,4.0161,
中债商业银行普通债收益率曲线(AAA),2020-06-12,2.1662,2.2424,2.4585,2.8707,3.257,3.5725,3.7871,4.201
中债国债收益率曲线,2020-06-12,1.8698,1.8504,2.0504,2.2931,2.469,2.785,2.7451,3.5012
中债国债收益率曲线,2020-06-15,1.84,1.8504,2.0364,2.2881,2.5118,2.7802,2.7878,3.5236
中债商业银行普通债收益率曲线(AAA),2020-06-15,2.1723,2.2017,2.444,2.8326,3.2289,3.5447,3.7621,4.206
中债中短期票据收益率曲线(AAA),2020-06-15,2.307,2.3722,2.5529,3.0118,3.503,3.8194,3.9911,
中债国债收益率曲线,2020-06-16,1.8401,1.9537,2.0757,2.3572,2.5993,2.88,2.8402,3.5736
中债中短期票据收益率曲线(AAA),2020-06-16,2.3367,2.3777,2.5624,3.0381,3.5378,3.8441,4.0111,
中债商业银行普通债收益率曲线(AAA),2020-06-16,2.1595,2.2179,2.4581,2.8557,3.2254,3.5694,3.7821,4.226
中债中短期票据收益率曲线(AAA),2020-06-17,2.3292,2.3764,2.5807,3.069,3.5764,3.8489,4.0274,
中债商业银行普通债收益率曲线(AAA),2020-06-17,2.1714,2.2255,2.4581,2.9142,3.2234,3.5742,3.78,4.256
中债国债收益率曲线,2020-06-17,1.9009,2.1384,2.1117,2.3925,2.6455,2.93,2.8802,3.5972
中债中短期票据收益率曲线(AAA),2020-06-18,2.3039,2.3847,2.5781,3.0541,3.5719,3.8472,4.0132,
中债商业银行普通债收益率曲线(AAA),2020-06-18,2.161,2.2018,2.4383,2.9273,3.2338,3.5725,3.7658,4.2818
中债国债收益率曲线,2020-06-18,1.8806,2.1339,2.1156,2.3811,2.6136,2.88,2.8527,3.5836
中债国债收益率曲线,2020-06-19,1.8239,2.1337,2.1203,2.4004,2.6227,2.88,2.8752,3.6112
中债商业银行普通债收益率曲线(AAA),2020-06-19,2.1605,2.2612,2.4383,2.9264,3.2934,3.5979,3.7549,4.2709
中债中短期票据收益率曲线(AAA),2020-06-19,2.2861,2.3836,2.5962,3.0803,3.5899,3.8726,4.0023,
中债商业银行普通债收益率曲线(AAA),2020-06-22,2.164,2.317,2.475,2.9582,3.3459,3.618,3.775,4.3129
中债国债收益率曲线,2020-06-22,1.8621,2.1749,2.145,2.4608,2.6681,2.9055,2.9153,3.626
中债中短期票据收益率曲线(AAA),2020-06-22,2.2977,2.4095,2.6428,3.0937,3.6142,3.8819,4.0272,
中债中短期票据收益率曲线(AAA),2020-06-23,2.3829,2.4806,2.6997,3.1886,3.7033,3.9096,4.0398,
中债商业银行普通债收益率曲线(AAA),2020-06-23,2.2683,2.3454,2.5056,3.0189,3.4443,3.6457,3.8027,4.3406
中债国债收益率曲线,2020-06-23,1.9054,2.1921,2.223,2.4776,2.6517,2.915,2.9127,3.6235
中债中短期票据收益率曲线(AAA),2020-06-24,2.4208,2.5191,2.7224,3.1929,3.6915,3.8971,4.0273,
中债商业银行普通债收益率曲线(AAA),2020-06-24,2.204,2.3321,2.5048,3.0094,3.4494,3.6486,3.7902,4.3281
中债国债收益率曲线,2020-06-24,1.8839,2.1215,2.1495,2.439,2.5861,2.87,2.8614,3.5888
中债国债收益率曲线,2020-06-28,1.8691,2.1217,2.1261,2.4333,2.5723,2.855,2.8404,3.574
中债中短期票据收益率曲线(AAA),2020-06-28,2.4273,2.5242,2.7176,3.1995,3.6864,3.892,4.0222,
中债商业银行普通债收益率曲线(AAA),2020-06-28,2.2185,2.3696,2.4852,2.9909,3.434,3.6435,3.7851,4.303
中债中短期票据收益率曲线(AAA),2020-06-29,2.4223,2.4927,2.7032,3.1912,3.6981,3.904,4.0305,
中债商业银行普通债收益率曲线(AAA),2020-06-29,2.1812,2.3271,2.5052,2.9706,3.4348,3.6555,3.7935,4.3114
中债国债收益率曲线,2020-06-29,1.7467,2.0905,2.1144,2.3967,2.591,2.8525,2.8504,3.5916
中债中短期票据收益率曲线(AAA),2020-06-30,2.3633,2.4827,2.7328,3.2006,3.6906,3.8958,4.0505,
中债商业银行普通债收益率曲线(AAA),2020-06-30,2.1411,2.2642,2.5034,2.9746,3.4129,3.6755,3.8135,4.3314
中债国债收益率曲线,2020-06-30,1.7385,2.071,2.1764,2.3882,2.5542,2.8202,2.823,3.5591
中债中短期票据收益率曲线(AAA),2020-07-01,2.2698,2.4662,2.7224,3.1832,3.6836,3.8888,4.0355,
中债商业银行普通债收益率曲线(AAA),2020-07-01,1.9607,2.2356,2.4524,2.9498,3.3854,3.6576,3.7985,4.3164
中债国债收益率曲线,2020-07-01,1.7067,2.0579,2.1276,2.4036,2.5976,2.8265,2.8456,3.5766
中债国债收益率曲线,2020-07-02,1.7299,2.0599,2.0976,2.3897,2.5753,2.8228,2.8584,3.579
中债商业银行普通债收益率曲线(AAA),2020-07-02,2.0284,2.2751,2.4722,2.9223,3.3535,3.6501,3.7981,4.316
中债中短期票据收益率曲线(AAA),2020-07-02,2.1777,2.3922,2.7182,3.1836,3.6668,3.8813,4.0351,
中债中短期票据收益率曲线(AAA),2020-07-03,2.164,2.358,2.7061,3.1712,3.6806,3.8885,4.0251,
中债商业银行普通债收益率曲线(AAA),2020-07-03,2.029,2.2548,2.4886,2.9272,3.354,3.6422,3.7962,4.3141
中债国债收益率曲线,2020-07-03,1.7016,2.0487,2.0976,2.3878,2.6084,2.8628,2.8974,3.6139
中债中短期票据收益率曲线(AAA),2020-07-06,2.1762,2.3732,2.734,3.2428,3.7442,3.9185,4.0526,
中债商业银行普通债收益率曲线(AAA),2020-07-06,2.1776,2.33,2.5292,3.0585,3.4662,3.6722,3.8237,4.3316
中债国债收益率曲线,2020-07-06,1.719,2.0792,2.1263,2.6016,2.751,2.9676,2.9959,3.6887
中债中短期票据收益率曲线(AAA),2020-07-07,2.2772,2.4232,2.8231,3.3376,3.8158,3.9498,4.0737,
中债商业银行普通债收益率曲线(AAA),2020-07-07,2.2549,2.3575,2.5471,3.1582,3.4869,3.7035,3.8448,4.3427
中债国债收益率曲线,2020-07-07,1.7455,2.0785,2.1513,2.6276,2.7925,2.9922,3.0158,3.7087
中债国债收益率曲线,2020-07-08,1.8606,2.0868,2.16,2.6679,2.8522,2.996,3.0632,3.7435
中债中短期票据收益率曲线(AAA),2020-07-08,2.3401,2.458,2.8879,3.3611,3.8506,3.9525,4.0737,
中债商业银行普通债收益率曲线(AAA),2020-07-08,2.2523,2.3875,2.5939,3.2011,3.5037,3.7062,3.8448,4.3427
中债中短期票据收益率曲线(AAA),2020-07-09,2.3915,2.5329,2.9233,3.5265,3.9291,3.9909,4.0897,
中债商业银行普通债收益率曲线(AAA),2020-07-09,2.2593,2.4145,2.7107,3.2621,3.6035,3.7446,3.8448,4.3729
中债国债收益率曲线,2020-07-09,1.9821,2.1284,2.2256,2.7143,2.8995,3.0618,3.0809,3.7687
中债中短期票据收益率曲线(AAA),2020-07-10,2.4835,2.6024,3.0113,3.5763,3.9516,4.0155,4.1143,
中债商业银行普通债收益率曲线(AAA),2020-07-10,2.2537,2.5165,2.764,3.3071,3.633,3.7396,3.8498,4.3916
中债国债收益率曲线,2020-07-10,2.1012,2.11,2.2165,2.6894,2.8423,3.0209,3.0305,3.7439
中债中短期票据收益率曲线(AAA),2020-07-13,2.5094,2.6418,3.0427,3.6684,4.0288,4.0653,4.141,
中债商业银行普通债收益率曲线(AAA),2020-07-13,2.3912,2.5743,2.8049,3.3494,3.6737,3.7663,3.8765,4.3883
中债国债收益率曲线,2020-07-13,2.1063,2.1151,2.208,2.7154,2.8905,3.0599,3.0557,3.759
中债国债收益率曲线,2020-07-14,2.0499,2.0502,2.198,2.6959,2.8272,3.0323,3.0057,3.737
中债中短期票据收益率曲线(AAA),2020-07-14,2.5143,2.6446,3.0399,3.7029,4.031,4.0696,4.1453,
中债商业银行普通债收益率曲线(AAA),2020-07-14,2.3972,2.5414,2.8567,3.3444,3.6797,3.7706,3.8808,4.3926
中债中短期票据收益率曲线(AAA),2020-07-15,2.5101,2.6422,3.0363,3.7032,4.0188,4.0625,4.1453,
中债商业银行普通债收益率曲线(AAA),2020-07-15,2.3972,2.5386,2.8417,3.3484,3.6663,3.7635,3.8808,4.3926
中债国债收益率曲线,2020-07-15,2.0321,2.0415,2.2,2.6051,2.7402,3.0098,2.9559,3.7048
中债中短期票据收益率曲线(AAA),2020-07-16,2.5162,2.6495,2.9708,3.6485,3.9933,4.0827,4.1653,
中债商业银行普通债收益率曲线(AAA),2020-07-16,2.3823,2.5665,2.8543,3.3223,3.6599,3.7837,3.9008,4.4126
中债国债收益率曲线,2020-07-16,2.0242,2.0619,2.1534,2.5541,2.7133,2.9798,2.9459,3.6949
中债中短期票据收益率曲线(AAA),2020-07-17,2.5483,2.6471,2.9547,3.6177,3.9549,4.0827,4.1753,
中债商业银行普通债收益率曲线(AAA),2020-07-17,2.4334,2.6665,2.8716,3.2847,3.6219,3.7937,3.9108,4.4226
中债国债收益率曲线,2020-07-17,2.0296,2.0512,2.2256,2.5141,2.7022,2.9799,2.9507,3.6998
中债国债收益率曲线,2020-07-20,1.9934,2.0439,2.254,2.5256,2.67,2.9797,2.9311,3.6953
中债中短期票据收益率曲线(AAA),2020-07-20,2.5532,2.6271,2.9362,3.5961,3.9517,4.0794,4.1652,
中债商业银行普通债收益率曲线(AAA),2020-07-20,2.3742,2.7185,2.8553,3.2586,3.639,3.7904,3.9007,4.4125
中债中短期票据收益率曲线(AAA),2020-07-21,2.5189,2.6464,2.8862,3.5411,3.8851,4.0447,4.1547,
中债商业银行普通债收益率曲线(AAA),2020-07-21,2.531,2.7185,2.8158,3.1487,3.5985,3.7557,3.8902,4.402
中债国债收益率曲线,2020-07-21,1.9876,2.0133,2.2455,2.4641,2.6326,2.9348,2.9011,3.6653
中债中短期票据收益率曲线(AAA),2020-07-22,2.5489,2.6532,2.8786,3.4959,3.8361,3.9957,4.1347,
中债商业银行普通债收益率曲线(AAA),2020-07-22,2.527,2.7218,2.7971,3.1138,3.5531,3.7067,3.8702,4.382
中债国债收益率曲线,2020-07-22,2.0001,1.9936,2.2552,2.4655,2.6253,2.885,2.8861,3.6402
中债中短期票据收益率曲线(AAA),2020-07-23,2.5835,2.6722,2.8736,3.4709,3.7846,3.9442,4.1077,
中债商业银行普通债收益率曲线(AAA),2020-07-23,2.4984,2.7081,2.8287,3.1118,3.5183,3.6719,3.8432,4.3795
中债国债收益率曲线,2020-07-23,1.9642,2.0234,2.2538,2.4862,2.6379,2.8832,2.9064,3.66
中债国债收益率曲线,2020-07-24,1.9613,2.0048,2.2446,2.4556,2.5999,2.8513,2.8612,3.6
中债中短期票据收益率曲线(AAA),2020-07-24,2.6209,2.707,2.856,3.4317,3.7526,3.9121,4.0756,
中债商业银行普通债收益率曲线(AAA),2020-07-24,2.5962,2.6971,2.8263,3.1136,3.5153,3.6667,3.8111,4.3644
中债中短期票据收益率曲线(AAA),2020-07-27,2.6512,2.6932,2.8476,3.4024,3.7342,3.9021,4.0656,
中债商业银行普通债收益率曲线(AAA),2020-07-27,2.6074,2.7205,2.8063,3.0894,3.4768,3.6567,3.8011,4.3544
中债国债收益率曲线,2020-07-27,1.9507,2.0157,2.2461,2.4769,2.6284,2.8538,2.8791,3.5973
中债中短期票据收益率曲线(AAA),2020-07-28,2.6588,2.7057,2.8735,3.4008,3.7358,3.9037,4.0556,
中债商业银行普通债收益率曲线(AAA),2020-07-28,2.606,2.7682,2.8108,3.1365,3.501,3.6583,3.7911,4.3754
中债国债收益率曲线,2020-07-28,2.005,2.0306,2.2565,2.481,2.6762,2.9028,2.9214,3.6449
中债中短期票据收益率曲线(AAA),2020-07-29,2.6741,2.7164,2.911,3.4511,3.7235,3.8992,4.0586,
中债国债收益率曲线,2020-07-29,1.9994,2.0336,2.2459,2.5069,2.6829,2.9229,2.9415,3.6645
中债商业银行普通债收益率曲线(AAA),2020-07-29,2.6091,2.7684,2.8195,3.1421,3.5058,3.6538,3.7941,4.3787
中债商业银行普通债收益率曲线(AAA),2020-07-30,2.5757,2.764,2.8488,3.1836,3.5288,3.6653,3.7874,4.382
中债中短期票据收益率曲线(AAA),2020-07-30,2.6652,2.7129,2.901,3.4753,3.7465,3.9107,4.0586,
中债国债收益率曲线,2020-07-30,1.9799,2.0336,2.2461,2.5061,2.6794,2.9424,2.9364,3.6648
中债国债收益率曲线,2020-07-31,1.9799,2.0836,2.2428,2.5152,2.7022,2.97,2.9664,3.7031
中债中短期票据收益率曲线(AAA),2020-07-31,2.6503,2.7137,2.9103,3.5153,3.777,3.9164,4.0585,
中债商业银行普通债收益率曲线(AAA),2020-07-31,2.58,2.7771,2.8436,3.2239,3.5759,3.671,3.7873,4.4019
中债中短期票据收益率曲线(AAA),2020-08-03,2.6528,2.7272,2.92,3.5501,3.8018,3.9116,4.0709,
中债商业银行普通债收益率曲线(AAA),2020-08-03,2.5776,2.7943,2.845,3.243,3.6091,3.6662,3.7997,4.4143
中债国债收益率曲线,2020-08-03,1.9415,2.0836,2.1565,2.5443,2.6845,2.9896,2.9466,3.6945
中债中短期票据收益率曲线(AAA),2020-08-04,2.6561,2.7363,2.9247,3.5546,3.8418,3.9316,4.0909,
中债商业银行普通债收益率曲线(AAA),2020-08-04,2.612,2.793,2.8659,3.2646,3.5939,3.6862,3.8097,4.4243
中债国债收益率曲线,2020-08-04,2.0142,2.1236,2.1746,2.5867,2.7007,2.9845,2.9365,3.6945
中债国债收益率曲线,2020-08-05,2.05,2.1949,2.2288,2.662,2.7638,3.0169,2.9592,3.718
中债中短期票据收益率曲线(AAA),2020-08-05,2.6583,2.7374,2.9205,3.5568,3.8622,3.9269,4.0925,
中债商业银行普通债收益率曲线(AAA),2020-08-05,2.5948,2.786,2.8658,3.2834,3.5836,3.6815,3.8113,4.4259
中债中短期票据收益率曲线(AAA),2020-08-06,2.6153,2.7727,2.8907,3.5381,3.8659,3.9169,4.0825,
中债商业银行普通债收益率曲线(AAA),2020-08-06,2.6149,2.776,2.8862,3.2875,3.5573,3.6552,3.785,4.422
中债国债收益率曲线,2020-08-06,2.0604,2.2052,2.2356,2.6788,2.8211,3.0345,2.9816,3.7498
中债中短期票据收益率曲线(AAA),2020-08-07,2.6247,2.7825,2.8878,3.5466,3.881,3.932,4.0976,
中债商业银行普通债收益率曲线(AAA),2020-08-07,2.5997,2.7619,2.9102,3.3008,3.5774,3.6703,3.8001,4.4099
中债国债收益率曲线,2020-08-07,2.0615,2.2092,2.2225,2.687,2.8311,3.0393,2.9918,3.7685
中债国债收益率曲线,2020-08-10,2.0812,2.2092,2.2001,2.6667,2.806,3.0094,2.9543,3.7255
中债商业银行普通债收益率曲线(AAA),2020-08-10,2.5951,2.765,2.8895,3.3118,3.5602,3.6703,3.8001,4.4099
中债中短期票据收益率曲线(AAA),2020-08-10,2.6248,2.7877,2.913,3.55,3.8825,3.932,4.0976,
中债国债收益率曲线,2020-08-11,2.0889,2.195,2.2213,2.6781,2.8267,3.0093,2.9544,3.7198
中债中短期票据收益率曲线(AAA),2020-08-11,2.643,2.7993,2.9193,3.5508,3.8687,3.9182,4.0838,
中债商业银行普通债收益率曲线(AAA),2020-08-11,2.5918,2.7573,2.8788,3.3111,3.5349,3.645,3.7748,4.3846
中债中短期票据收益率曲线(AAA),2020-08-12,2.636,2.8305,2.9191,3.5385,3.8685,3.918,4.0836,
中债商业银行普通债收益率曲线(AAA),2020-08-12,2.5717,2.7559,2.8741,3.3114,3.5047,3.6148,3.7446,4.3544
中债国债收益率曲线,2020-08-12,2.1467,2.235,2.2415,2.7177,2.865,3.0242,2.962,3.7293
中债中短期票据收益率曲线(AAA),2020-08-13,2.6217,2.8259,2.9107,3.532,3.8672,3.9195,4.0796,
中债商业银行普通债收益率曲线(AAA),2020-08-13,2.5805,2.7629,2.8777,3.3323,3.4991,3.6163,3.7406,4.3504
中债国债收益率曲线,2020-08-13,2.1485,2.2458,2.2522,2.6967,2.8397,3.0093,2.9555,3.7198
中债商业银行普通债收益率曲线(AAA),2020-08-14,2.5521,2.7492,2.8608,3.3527,3.4834,3.6175,3.7406,4.3604
中债国债收益率曲线,2020-08-14,2.1319,2.2968,2.2744,2.6746,2.8209,2.9943,2.9369,3.7021
中债中短期票据收益率曲线(AAA),2020-08-14,2.6091,2.8292,2.9083,3.5217,3.8572,3.9207,4.0796,
中债中短期票据收益率曲线(AAA),2020-08-17,2.6243,2.8124,2.9144,3.4911,3.8326,3.9286,4.0867,
中债商业银行普通债收益率曲线(AAA),2020-08-17,2.5539,2.7996,2.8508,3.3231,3.4644,3.6254,3.7477,4.3683
中债国债收益率曲线,2020-08-17,2.1242,2.2891,2.265,2.6926,2.8106,2.9795,2.9421,3.6949
中债国债收益率曲线,2020-08-18,2.1174,2.2909,2.2754,2.6975,2.8458,2.9997,2.9771,3.7189
中债中短期票据收益率曲线(AAA),2020-08-18,2.6481,2.8304,2.9299,3.4782,3.8258,3.9218,4.0886,
中债商业银行普通债收益率曲线(AAA),2020-08-18,2.5368,2.7931,2.8486,3.3122,3.4567,3.6105,3.7327,4.3734
中债国债收益率曲线,2020-08-19,2.1536,2.3897,2.4369,2.7303,2.8844,3.0343,2.9921,3.7342
中债商业银行普通债收益率曲线(AAA),2020-08-19,2.5299,2.7936,2.851,3.3114,3.4845,3.627,3.7523,4.373
中债中短期票据收益率曲线(AAA),2020-08-19,2.6744,2.8637,2.956,3.4815,3.8454,3.9414,4.1082,
中债国债收益率曲线,2020-08-20,2.1831,2.4698,2.4237,2.7677,2.9115,3.0591,2.9973,3.7448
中债中短期票据收益率曲线(AAA),2020-08-20,2.7115,2.8986,2.9527,3.4994,3.8692,3.9652,4.132,
中债商业银行普通债收益率曲线(AAA),2020-08-20,2.5378,2.796,2.8978,3.3437,3.5141,3.6171,3.775,4.3968
中债中短期票据收益率曲线(AAA),2020-08-21,2.7354,2.9423,2.964,3.5096,3.8729,3.9594,4.1262,
中债商业银行普通债收益率曲线(AAA),2020-08-21,2.5742,2.8204,2.9402,3.3541,3.5285,3.6271,3.78,4.4018
中债国债收益率曲线,2020-08-21,2.1961,2.4829,2.4336,2.7518,2.8754,3.0291,2.9823,3.7112
中债中短期票据收益率曲线(AAA),2020-08-24,2.7349,2.9773,2.9957,3.5357,3.8828,3.9799,4.1467,
中债商业银行普通债收益率曲线(AAA),2020-08-24,2.5745,2.8219,2.9403,3.3599,3.5343,3.6477,3.8006,4.4224
中债国债收益率曲线,2020-08-24,2.2,2.4987,2.4437,2.7952,2.8976,3.0492,2.9998,3.7296
中债中短期票据收益率曲线(AAA),2020-08-25,2.7344,2.9972,3.0385,3.5778,3.9134,4.0097,4.1765,
中债商业银行普通债收益率曲线(AAA),2020-08-25,2.5784,2.8568,2.9552,3.4095,3.5843,3.6975,3.8504,4.4522
中债国债收益率曲线,2020-08-25,2.1698,2.5192,2.4742,2.8614,2.9454,3.0842,3.0424,3.7501
中债中短期票据收益率曲线(AAA),2020-08-26,2.7231,2.9796,3.0518,3.6243,3.921,4.0049,4.1717,
中债商业银行普通债收益率曲线(AAA),2020-08-26,2.594,2.8594,2.9871,3.4306,3.5957,3.6977,3.8504,4.4522
中债国债收益率曲线,2020-08-26,2.2027,2.5199,2.4854,2.8779,2.9751,3.0991,3.0511,3.7549
中债国债收益率曲线,2020-08-27,2.2199,2.5199,2.4961,2.9057,2.982,3.1189,3.0599,3.7643
中债中短期票据收益率曲线(AAA),2020-08-27,2.745,2.9945,3.075,3.6696,3.9507,4.0121,4.1617,
中债商业银行普通债收益率曲线(AAA),2020-08-27,2.588,2.879,2.999,3.4508,3.6306,3.7049,3.8404,4.4622
中债国债收益率曲线,2020-08-28,2.2478,2.5043,2.4869,2.9077,2.9902,3.1387,3.0672,3.7748
中债中短期票据收益率曲线(AAA),2020-08-28,2.7513,3.0095,3.0842,3.6933,3.9667,4.0114,4.1516,
中债商业银行普通债收益率曲线(AAA),2020-08-28,2.597,2.8567,3.0047,3.4705,3.6593,3.7042,3.8404,4.4521
中债中短期票据收益率曲线(AAA),2020-08-31,2.7603,3.0137,3.1041,3.7182,3.9765,4.0212,4.1613,
中债商业银行普通债收益率曲线(AAA),2020-08-31,2.6106,2.8743,3.0048,3.453,3.6642,3.709,3.8452,4.4569
中债国债收益率曲线,2020-08-31,2.2335,2.5297,2.5123,2.8928,2.9549,3.0983,3.0177,3.7343
中债中短期票据收益率曲线(AAA),2020-09-01,2.7532,3.0232,3.108,3.7134,3.9762,4.0196,4.1697,
中债商业银行普通债收益率曲线(AAA),2020-09-01,2.5955,2.8835,3.0346,3.4775,3.6657,3.7181,3.8643,4.466
中债国债收益率曲线,2020-09-01,2.2348,2.5199,2.5203,2.922,2.9811,3.1528,3.0478,3.7603
中债中短期票据收益率曲线(AAA),2020-09-02,2.7509,3.0216,3.1432,3.7339,3.9574,4.0291,4.1792,
中债商业银行普通债收益率曲线(AAA),2020-09-02,2.6147,2.875,3.024,3.4764,3.6604,3.7355,3.8817,4.474
中债国债收益率曲线,2020-09-02,2.2755,2.5359,2.5563,2.9641,3.0526,3.2054,3.1027,3.7812
中债国债收益率曲线,2020-09-03,2.2779,2.5359,2.5712,2.9585,3.0842,3.1906,3.1051,3.7814
中债商业银行普通债收益率曲线(AAA),2020-09-03,2.6133,2.8692,3.024,3.4944,3.6692,3.7577,3.9039,4.4962
中债中短期票据收益率曲线(AAA),2020-09-03,2.7717,3.0288,3.1721,3.7405,3.9662,4.0513,4.2014,
中债中短期票据收益率曲线(AAA),2020-09-04,2.7807,3.0483,3.1732,3.7446,3.9823,4.0448,4.1784,
中债商业银行普通债收益率曲线(AAA),2020-09-04,2.6367,2.9114,3.0317,3.5018,3.6499,3.7312,3.8609,4.4606
中债国债收益率曲线,2020-09-04,2.2795,2.5459,2.5885,2.9871,3.1008,3.2082,3.1228,3.803
中债中短期票据收益率曲线(AAA),2020-09-07,2.8131,3.0576,3.1939,3.7597,3.9827,4.0611,4.1947,
