date,m2_yoy,gdp_yoy,m2_gdp_spread,ma6,q10,q90,signal
2014-05-31,13.4,7.8,5.6000000000000005,5.333333333333333,2.3600000000000008,18.736,正常
2014-06-30,14.7,7.8,6.8999999999999995,5.516666666666667,2.3700000000000006,18.732000000000003,正常
2014-06-30,14.7,7.8,6.9,5.516666666666667,2.370000000000001,18.732000000000003,正常
2014-07-31,13.5,7.8,5.7,5.566666666666666,2.3800000000000003,18.728,正常
2014-07-31,13.5,7.8,5.7,5.566666666666666,2.3800000000000003,18.728,正常
2014-08-31,12.8,7.8,5.000000000000001,5.483333333333333,2.390000000000001,18.724000000000004,正常
2014-08-31,12.8,7.8,5.000000000000001,5.483333333333333,2.3900000000000006,18.724000000000004,正常
2014-09-30,12.9,7.8,5.1000000000000005,5.616666666666667,2.4000000000000004,18.72,正常
2014-09-30,12.9,7.8,5.1000000000000005,5.616666666666667,2.4000000000000004,18.720000000000002,正常
2014-10-31,12.6,7.8,4.8,5.516666666666667,2.4040000000000004,18.473000000000017,正常
2014-10-31,12.6,7.8,4.8,5.516666666666667,2.4040000000000004,18.473000000000017,正常
2014-11-30,12.3,7.8,4.500000000000001,5.333333333333333,2.4080000000000004,18.226,正常
2014-11-30,12.3,7.8,4.500000000000001,5.333333333333333,2.4080000000000004,18.225999999999996,正常
2014-12-31,12.2,7.6,4.6,4.95,2.412,17.97900000000001,正常
2014-12-31,12.2,7.6,4.6,4.95,2.412,17.97900000000001,正常
2015-01-31,10.8,7.6,3.200000000000001,4.533333333333334,2.416,17.73200000000002,正常
2015-01-31,10.8,7.6,3.200000000000001,4.533333333333334,2.416,17.73200000000002,正常
2015-02-28,12.5,7.6,4.9,4.516666666666667,2.42,17.485,正常
2015-02-28,12.5,7.6,4.9,4.516666666666667,2.42,17.485,正常
2015-03-31,11.6,7.6,4.0,4.333333333333333,2.424,17.238000000000014,正常
2015-03-31,11.6,7.6,4.0,4.333333333333333,2.424,17.238000000000014,正常
2015-04-30,10.1,7.6,2.5,3.9500000000000006,2.428,16.990999999999993,正常
2015-04-30,10.1,7.6,2.5,3.9500000000000006,2.428,16.990999999999993,正常
2015-05-31,10.8,7.6,3.200000000000001,3.7333333333333343,2.4319999999999995,16.744000000000007,正常
2015-05-31,10.8,7.6,3.200000000000001,3.7333333333333343,2.4319999999999995,16.744000000000007,正常
2015-06-30,11.8,7.6,4.200000000000001,3.6666666666666674,2.4359999999999995,16.49700000000002,正常
2015-06-30,11.8,7.6,4.200000000000001,3.6666666666666674,2.4359999999999995,16.49700000000002,正常
2015-07-31,13.3,7.6,5.700000000000001,4.083333333333335,2.4399999999999995,16.25,正常
2015-07-31,13.3,7.6,5.700000000000001,4.083333333333335,2.4399999999999995,16.25,正常
2015-08-31,13.3,7.6,5.700000000000001,4.216666666666668,2.446,16.235,正常
2015-08-31,13.3,7.6,5.700000000000001,4.216666666666668,2.4459999999999997,16.235,正常
2015-09-30,13.1,7.6,5.5,4.466666666666668,2.4519999999999995,16.22,正常
2015-09-30,13.1,7.6,5.5,4.466666666666668,2.4519999999999995,16.22,正常
2015-10-31,13.5,7.6,5.9,5.033333333333334,2.4579999999999997,16.205000000000002,正常
2015-10-31,13.5,7.6,5.9,5.033333333333334,2.458,16.205000000000002,正常
2015-11-30,13.7,7.6,6.1,5.516666666666667,2.4639999999999995,16.19,正常
2015-11-30,13.7,7.6,6.1,5.516666666666667,2.4639999999999995,16.19,正常
2015-12-31,13.3,7.0,6.300000000000001,5.866666666666667,2.4699999999999998,16.175,正常
2015-12-31,13.3,7.0,6.300000000000001,5.866666666666667,2.47,16.175,正常
2016-01-31,14.0,7.0,7.0,6.083333333333333,2.476,16.16,正常
2016-01-31,14.0,7.0,7.0,6.083333333333333,2.476,16.16,正常
2016-02-29,13.3,7.0,6.300000000000001,6.183333333333334,2.482,16.145,正常
2016-02-29,13.3,7.0,6.300000000000001,6.183333333333334,2.4819999999999998,16.145,正常
2016-03-31,13.4,7.0,6.4,6.333333333333333,2.488,16.130000000000003,正常
2016-03-31,13.4,7.0,6.4,6.333333333333333,2.488,16.130000000000003,正常
2016-04-30,12.8,7.0,5.800000000000001,6.316666666666667,2.4939999999999998,16.115000000000002,正常
2016-04-30,12.8,7.0,5.800000000000001,6.316666666666667,2.494,16.115000000000002,正常
2016-05-31,11.8,7.0,4.800000000000001,6.1000000000000005,2.5,16.1,正常
2016-05-31,11.8,7.0,4.800000000000001,6.1000000000000005,2.5,16.1,正常
2016-06-30,11.8,7.0,4.800000000000001,5.8500000000000005,2.514,16.094,正常
2016-06-30,11.8,7.0,4.800000000000001,5.8500000000000005,2.5140000000000002,16.094,正常
2016-07-31,10.2,7.0,3.1999999999999997,5.216666666666668,2.5280000000000005,16.088,正常
2016-07-31,10.2,7.0,3.1999999999999993,5.216666666666668,2.5280000000000005,16.088,正常
2016-08-31,11.4,7.0,4.4,4.9,2.5420000000000003,16.082,正常
2016-08-31,11.4,7.0,4.4,4.9,2.5420000000000003,16.082,正常
2016-09-30,11.5,7.0,4.5,4.583333333333333,2.5560000000000005,16.076,正常
2016-09-30,11.5,7.0,4.5,4.583333333333333,2.5560000000000005,16.076,正常
2016-10-31,11.6,7.0,4.6,4.383333333333334,2.5700000000000003,16.07,正常
2016-10-31,11.6,7.0,4.6,4.383333333333334,2.5700000000000003,16.07,正常
2016-11-30,11.4,7.0,4.4,4.316666666666666,2.5840000000000005,16.064,正常
2016-11-30,11.4,7.0,4.4,4.316666666666666,2.5840000000000005,16.064,正常
2016-12-31,11.3,6.8,4.500000000000001,4.266666666666667,2.5980000000000008,16.058,正常
2016-12-31,11.3,6.8,4.500000000000001,4.266666666666667,2.5980000000000008,16.058,正常
2017-01-31,10.7032,6.8,3.903200000000001,4.383866666666667,2.6120000000000005,16.052,正常
2017-01-31,10.7032,6.8,3.903200000000001,4.383866666666667,2.6120000000000005,16.052,正常
2017-02-28,10.45,6.8,3.6499999999999995,4.258866666666667,2.6260000000000003,16.046,正常
2017-02-28,10.45,6.8,3.65,4.258866666666667,2.6260000000000003,16.046,正常
2017-03-31,10.1178,6.8,3.317800000000001,4.061833333333333,2.6400000000000006,16.04,正常
2017-03-31,10.1178,6.8,3.317800000000001,4.061833333333333,2.640000000000001,16.04,正常
2017-04-30,9.8426,6.8,3.0425999999999993,3.8022666666666667,2.656000000000001,16.017,正常
2017-04-30,9.8426,6.8,3.0426,3.802266666666666,2.656000000000001,16.017,正常
2017-05-31,9.1289,6.8,2.3289,3.4570833333333333,2.5280000000000005,15.994,紧缩
2017-05-31,9.1289,6.8,2.3289,3.4570833333333333,2.5280000000000005,15.994,紧缩
2017-06-30,9.1013,6.8,2.3013000000000003,3.0906333333333333,2.4579999999999997,15.971,紧缩
2017-06-30,9.1013,6.8,2.3013000000000003,3.0906333333333333,2.458,15.971,紧缩
2017-07-31,8.89,6.8,2.0900000000000007,2.7884333333333338,2.416,15.948000000000002,紧缩
2017-07-31,8.89,6.8,2.0900000000000007,2.7884333333333338,2.416,15.948000000000002,紧缩
2017-08-31,8.5633,6.8,1.7633,2.4739833333333334,2.36445,15.925,紧缩
2017-08-31,8.5633,6.8,1.7633,2.473983333333333,2.36445,15.925,紧缩
2017-09-30,8.976,6.8,2.176000000000001,2.2836833333333337,2.31786,15.902000000000005,紧缩
2017-09-30,8.976,6.8,2.176000000000001,2.2836833333333337,2.31786,15.902000000000003,紧缩
2017-10-31,8.8771,6.8,2.0771000000000006,2.122766666666667,2.3009100000000005,15.879,紧缩
2017-10-31,8.8771,6.8,2.0771000000000006,2.122766666666667,2.3009100000000005,15.879000000000001,紧缩
2017-11-30,9.1148,6.8,2.314800000000001,2.1204166666666677,2.3010400000000004,15.856000000000002,正常
2017-11-30,9.1148,6.8,2.314800000000001,2.1204166666666673,2.3010400000000004,15.856000000000002,正常
2017-12-31,8.0654,7.0,1.0654000000000003,1.9144333333333339,2.2876000000000007,15.833000000000004,紧缩
2017-12-31,8.0654,7.0,1.0654000000000003,1.9144333333333337,2.2876000000000007,15.833000000000004,紧缩
2018-01-31,8.6,7.0,1.5999999999999996,1.832766666666667,2.176000000000001,15.810000000000002,紧缩
2018-01-31,8.6,7.0,1.5999999999999996,1.832766666666667,2.176000000000001,15.810000000000002,紧缩
2018-02-28,8.8,7.0,1.8000000000000007,1.838883333333334,2.1075999999999997,15.737000000000005,紧缩
2018-02-28,8.8,7.0,1.8000000000000007,1.838883333333334,2.1076,15.737000000000004,紧缩
2018-03-31,8.2,7.0,1.1999999999999993,1.676216666666667,2.0920000000000005,15.664,紧缩
2018-03-31,8.2,7.0,1.1999999999999993,1.676216666666667,2.0920000000000005,15.664,紧缩
2018-04-30,8.3,7.0,1.3000000000000007,1.5467000000000002,2.0809700000000007,15.591000000000005,紧缩
2018-04-30,8.3,7.0,1.3000000000000007,1.5467000000000002,2.0809700000000007,15.591000000000003,紧缩
2018-05-31,8.3,7.0,1.3000000000000007,1.3775666666666668,2.0608400000000007,15.518000000000008,紧缩
2018-05-31,8.3,7.0,1.3000000000000007,1.3775666666666668,2.0608400000000007,15.518000000000008,紧缩
2018-06-30,8.0,7.0,1.0,1.366666666666667,1.9700000000000006,15.445,紧缩
2018-06-30,8.0,7.0,1.0,1.366666666666667,1.9700000000000009,15.445,紧缩
2018-07-31,8.5,7.0,1.5,1.3500000000000003,1.8540000000000008,15.372000000000003,紧缩
2018-07-31,8.5,7.0,1.5,1.3500000000000003,1.8540000000000008,15.372000000000005,紧缩
2018-08-31,8.2,7.0,1.1999999999999993,1.25,1.7889900000000003,15.299,紧缩
2018-08-31,8.2,7.0,1.1999999999999993,1.25,1.7889900000000005,15.299,紧缩
2018-09-30,8.3,7.0,1.3000000000000007,1.2666666666666668,1.75064,15.226000000000004,紧缩
2018-09-30,8.3,7.0,1.3000000000000007,1.2666666666666668,1.75064,15.226000000000003,紧缩
