date,northbound_net_buy_100m,mean120,std120,upper,lower,trigger,signal_score,signal_text,effective_date
2015-04-24,0.2955,,,,,,0,中性状态,2015-04-27
2015-04-27,10.648599999999998,,,,,,0,中性状态,2015-04-28
2015-04-28,-2.6124,,,,,,0,中性状态,2015-04-29
2015-04-29,2.7586,,,,,,0,中性状态,2015-04-30
2015-04-30,-4.4358,,,,,,0,中性状态,2015-05-04
2015-05-04,0.4386,,,,,,0,中性状态,2015-05-05
2015-05-05,7.773300000000001,,,,,,0,中性状态,2015-05-06
2015-05-06,4.1623,,,,,,0,中性状态,2015-05-07
2015-05-07,25.6317,,,,,,0,中性状态,2015-05-08
2015-05-08,7.653200000000001,,,,,,0,中性状态,2015-05-11
2015-05-11,-0.763,,,,,,0,中性状态,2015-05-12
2015-05-12,-4.0679,,,,,,0,中性状态,2015-05-13
2015-05-13,-4.0242,,,,,,0,中性状态,2015-05-14
2015-05-14,-1.8602,,,,,,0,中性状态,2015-05-15
2015-05-15,5.0123,,,,,,0,中性状态,2015-05-18
2015-05-18,11.0203,,,,,,0,中性状态,2015-05-19
2015-05-19,20.0327,,,,,,0,中性状态,2015-05-20
2015-05-20,27.7194,,,,,,0,中性状态,2015-05-21
2015-05-21,18.2344,,,,,,0,中性状态,2015-05-22
2015-05-26,34.1038,,,,,,0,中性状态,2015-05-27
2015-05-27,1.82950000000001,9.7457575,17.572856108657284,27.318613608657284,-7.827098608657284,,0,中性状态,2015-05-28
2015-05-28,-31.748800000000003,8.7541425,14.305865869257515,23.060008369257517,-5.551723369257514,看空触发,-1,看空状态,2015-05-29
2015-05-29,21.1066,8.096263333333333,14.338348274686572,22.434611608019907,-6.242084941353239,,-1,看空状态,2015-06-01
2015-06-01,17.1735,8.0640875,14.304462126054405,22.368549626054403,-6.240374626054406,,-1,看空状态,2015-06-02
2015-06-02,2.2936,8.028705,14.276373372171784,22.305078372171785,-6.247668372171784,,-1,看空状态,2015-06-03
2015-06-03,0.3155,7.8645241666666665,14.227608553983258,22.092132720649925,-6.363084387316591,,-1,看空状态,2015-06-04
2015-06-04,-10.9371,7.379114166666667,13.456047894217617,20.835162060884283,-6.0769337275509505,看空触发,-1,看空状态,2015-06-05
2015-06-05,-13.8974,7.0588025,13.430515674053703,20.489318174053704,-6.371713174053704,看空触发,-1,看空状态,2015-06-08
2015-06-08,-12.9,6.67694,13.368831511904126,20.045771511904128,-6.691891511904126,看空触发,-1,看空状态,2015-06-09
2015-06-09,-15.288,6.330385000000001,13.33245628032074,19.66284128032074,-7.002071280320739,看空触发,-1,看空状态,2015-06-10
2015-06-10,14.0119,6.0158000000000005,13.393845298481834,19.409645298481834,-7.378045298481833,,-1,看空状态,2015-06-11
2015-06-11,-10.4555,6.0227474999999995,13.39780735321804,19.42055485321804,-7.3750598532180405,看空触发,-1,看空状态,2015-06-12
2015-06-12,13.0872,5.6760075,13.279860381784564,18.955867881784563,-7.603852881784564,,-1,看空状态,2015-06-15
2015-06-15,-12.539,5.4779925,12.985018335443046,18.463010835443047,-7.507025835443046,看空触发,-1,看空状态,2015-06-16
2015-06-16,-0.44700000000001,5.093585833333334,12.827648552512363,17.921234385845697,-7.734062719179029,,-1,看空状态,2015-06-17
2015-06-17,-10.6985,4.88573,12.712182699930151,17.597912699930152,-7.826452699930152,看空触发,-1,看空状态,2015-06-18
2015-06-18,5.444299999999999,4.678576666666666,12.762227481894339,17.440804148561007,-8.083650815227672,,-1,看空状态,2015-06-19
2015-06-19,77.3166,4.6385966666666665,12.752163613858265,17.39076028052493,-8.113566947191599,看多触发,1,看多状态,2015-06-23
2015-06-23,68.36359999999999,5.129865833333333,14.324052561553026,19.453918394886358,-9.194186728219695,看多触发,1,看多状态,2015-06-24
2015-06-24,-31.655700000000003,5.623331666666667,15.440147508324548,21.063479174991215,-9.816815841657881,看空触发,-1,看空状态,2015-06-25
2015-06-25,-36.3212,5.218496666666666,15.774600178826644,20.99309684549331,-10.556103512159979,看空触发,-1,看空状态,2015-06-26
2015-06-26,31.2024,4.837807499999999,16.218755171683767,21.056562671683768,-11.380947671683767,看多触发,1,看多状态,2015-06-29
2015-06-29,-15.134,4.995674166666666,16.382956458822687,21.378630625489354,-11.38728229215602,看空触发,-1,看空状态,2015-06-30
2015-07-02,27.08,4.828800833333333,16.48569570840125,21.31449654173458,-11.656894875067916,看多触发,1,看多状态,2015-07-03
2015-07-03,69.7986,4.9019775,16.565285612563162,21.467263112563163,-11.663308112563161,看多触发,1,看多状态,2015-07-06
2015-07-06,-135.2322,5.411780833333333,17.590385415177906,23.002166248511237,-12.178604581844573,看空触发,-1,看空状态,2015-07-07
2015-07-07,-103.5783,4.174526666666666,21.762074138263635,25.9366008049303,-17.58754747159697,看空触发,-1,看空状态,2015-07-08
2015-07-08,-66.2613,3.2624841666666664,23.880822077421136,27.143306244087803,-20.61833791075447,看空触发,-1,看空状态,2015-07-09
2015-07-09,-37.5711,2.6545466666666666,24.70709009597061,27.361636762637275,-22.052543429303945,看空触发,-1,看空状态,2015-07-10
2015-07-10,-28.5082,2.3994666666666666,24.963876796354878,27.363343463021543,-22.564410129688213,看空触发,-1,看空状态,2015-07-13
2015-07-13,-23.018600000000003,2.1636349999999998,25.121892946553462,27.28552794655346,-22.958257946553463,看空触发,-1,看空状态,2015-07-14
2015-07-14,-15.722,1.8049574999999995,25.17197854023786,26.97693604023786,-23.36702104023786,,-1,看空状态,2015-07-15
2015-07-15,-3.3362,1.6758699999999995,25.222179012439884,26.898049012439884,-23.546309012439885,,-1,看空状态,2015-07-16
2015-07-16,-5.299,1.6195616666666661,25.225792951150545,26.84535461781721,-23.60623128448388,,-1,看空状态,2015-07-17
2015-07-17,1.9485,1.5705841666666662,25.233536006225492,26.80412017289216,-23.662951839558826,,-1,看空状态,2015-07-20
2015-07-20,-3.7824,1.4657233333333328,25.205351505118784,26.671074838452117,-23.73962817178545,,-1,看空状态,2015-07-21
2015-07-21,-6.7102,1.540325833333333,25.176199662955305,26.71652549628864,-23.63587382962197,,-1,看空状态,2015-07-22
2015-07-22,-6.2339,1.5052983333333327,25.1848004073318,26.69009874066513,-23.679502073998467,,-1,看空状态,2015-07-23
2015-07-23,3.3360000000000003,1.4038624999999996,25.191307442419454,26.595169942419453,-23.787444942419455,,-1,看空状态,2015-07-24
2015-07-24,-0.6615000000000001,1.3728933333333329,25.186589022961243,26.559482356294577,-23.81369568962791,,-1,看空状态,2015-07-27
2015-07-27,-1.5371,1.3568174999999996,25.1872724268858,26.5440899268858,-23.830454926885803,,-1,看空状态,2015-07-28
2015-07-28,24.5827,1.3725966666666662,25.18484102861536,26.557437695282026,-23.812244361948693,,-1,看空状态,2015-07-29
2015-07-29,-6.4486,1.3986833333333328,25.207425651285735,26.60610898461907,-23.8087423179524,,-1,看空状态,2015-07-30
2015-07-30,-2.0587,1.1844733333333328,25.163577621185627,26.34805095451896,-23.979104287852294,,-1,看空状态,2015-07-31
2015-07-31,4.2727,1.1546983333333327,25.165297902916194,26.319996236249526,-24.010599569582862,,-1,看空状态,2015-08-03
2015-08-03,-21.9915,1.168510833333333,25.166561111221366,26.3350719445547,-23.998050277888034,,-1,看空状态,2015-08-04
2015-08-04,-3.6768,0.9522199999999994,25.25372106220182,26.20594106220182,-24.30150106220182,,-1,看空状态,2015-08-05
2015-08-05,0.0591,0.8463008333333328,25.246195377952773,26.092496211286107,-24.39989454461944,,-1,看空状态,2015-08-06
2015-08-06,2.0893,0.7516333333333328,25.2275082290965,25.979141562429835,-24.475874895763166,,-1,看空状态,2015-08-07
2015-08-07,7.7587,0.6877558333333328,25.21422162819221,25.901977461525544,-24.526465794858876,,-1,看空状态,2015-08-10
2015-08-10,1.7668,0.7499458333333329,25.22244903349747,25.9723948668308,-24.472503200164137,,-1,看空状态,2015-08-11
2015-08-11,6.5727,0.7497974999999996,25.222442949899165,25.972240449899164,-24.472645449899165,,-1,看空状态,2015-08-12
2015-08-12,-2.0065,0.5795699999999996,25.112483010099538,25.69205301009954,-24.532913010099538,,-1,看空状态,2015-08-13
2015-08-13,1.6698,0.4715074999999995,25.095329492430277,25.566836992430275,-24.62382199243028,,-1,看空状态,2015-08-14
2015-08-14,-0.2221999999999999,0.24931583333333285,24.964268903832465,25.2135847371658,-24.71495307049913,,-1,看空状态,2015-08-17
2015-08-17,-5.8436,0.23407583333333284,24.963991570784863,25.198067404118195,-24.72991573745153,,-1,看空状态,2015-08-18
2015-08-18,-4.8258,0.09217999999999954,24.949617720813333,25.04179772081333,-24.857437720813333,,-1,看空状态,2015-08-19
2015-08-19,0.1653,-0.08378916666666715,24.908844341337357,24.82505517467069,-24.992633508004023,,-1,看空状态,2015-08-20
2015-08-20,-8.3861,-0.19754250000000048,24.87598249601668,24.678439996016678,-25.07352499601668,,-1,看空状态,2015-08-21
2015-08-21,-9.2285,-0.3640783333333338,24.863241225231768,24.499162891898433,-25.227319558565103,,-1,看空状态,2015-08-24
2015-08-24,81.48819999999999,-0.6005158333333338,24.811019419394665,24.210503586061332,-25.411535252727997,看多触发,1,看多状态,2015-08-25
2015-08-25,79.81439999999999,0.06823749999999945,25.91782839397441,25.98606589397441,-25.849590893974412,看多触发,1,看多状态,2015-08-26
2015-08-26,73.9709,0.7149166666666661,26.920516869400675,27.635433536067342,-26.205600202734008,看多触发,1,看多状态,2015-08-27
2015-08-27,47.1277,1.2470508333333328,27.726923854909792,28.973974688243125,-26.47987302157646,看多触发,1,看多状态,2015-08-28
2015-08-28,-25.492,1.6775049999999996,28.035774892962785,29.713279892962785,-26.358269892962785,,1,看多状态,2015-08-31
2015-08-31,-6.4947,1.4090324999999992,28.141093298866153,29.55012579886615,-26.732060798866154,,1,看多状态,2015-09-01
2015-09-01,-12.890999999999998,1.2927799999999994,28.144719188576005,29.437499188576005,-26.851939188576004,,1,看多状态,2015-09-02
2015-09-02,-30.4361,1.1775333333333329,28.174480574658705,29.35201390799204,-26.996947241325373,看空触发,-1,看空状态,2015-09-07
2015-09-07,-1.7682,0.898451666666666,28.321224149903422,29.21967581657009,-27.422772483236756,,-1,看空状态,2015-09-08
2015-09-08,43.7886,0.8302249999999994,28.317674609044783,29.14789960904478,-27.487449609044784,看多触发,1,看多状态,2015-09-09
2015-09-09,-29.8587,1.1626549999999995,28.586849601356267,29.749504601356268,-27.424194601356266,看空触发,-1,看空状态,2015-09-10
2015-09-10,29.083,0.8647733333333327,28.723121087014256,29.587894420347588,-27.858347753680924,,-1,看空状态,2015-09-11
2015-09-11,-0.6945,1.1027191666666663,28.838359467172623,29.94107863383929,-27.735640300505956,,-1,看空状态,2015-09-14
2015-09-14,-7.204,1.0239466666666661,28.830181610453888,29.854128277120555,-27.80623494378722,,-1,看空状态,2015-09-15
2015-09-15,10.3902,0.8320908333333328,28.807495314949538,29.63958614828287,-27.975404481616206,,-1,看空状态,2015-09-16
2015-09-16,17.2541,0.7866758333333327,28.78792568771984,29.574601521053175,-28.001249854386508,,-1,看空状态,2015-09-17
2015-09-17,3.4549000000000003,0.815946666666666,28.80299038622956,29.618937052896225,-27.987043719562894,,-1,看空状态,2015-09-18
2015-09-18,23.8367,0.668791666666666,28.74346593189919,29.41225759856586,-28.074674265232524,,-1,看空状态,2015-09-21
2015-09-21,5.494299999999999,0.7348841666666661,28.78787978534768,29.522763952014348,-28.052995618681013,,-1,看空状态,2015-09-22
2015-09-22,-1.3232,0.7755366666666661,28.791154727161434,29.5666913938281,-28.015618060494766,,-1,看空状态,2015-09-23
2015-09-23,-13.0712,0.6694174999999994,28.77508819969884,29.444505699698837,-28.10567069969884,,-1,看空状态,2015-09-24
2015-09-24,-9.4042,0.4049874999999995,28.75416180883793,29.159149308837932,-28.34917430883793,,-1,看空状态,2015-09-25
2015-09-29,-15.3764,0.4638024999999995,28.726576358690473,29.190378858690472,-28.262773858690473,,-1,看空状态,2015-09-30
2015-09-30,3.2662,0.33825666666666615,28.76288852008398,29.101145186750646,-28.424631853417313,,-1,看空状态,2015-10-08
2015-10-08,37.3463,0.44997583333333285,28.74787915002373,29.197854983357065,-28.297903316690398,看多触发,1,看多状态,2015-10-09
2015-10-09,17.0427,0.7523024999999994,28.94451601074684,29.69681851074684,-28.192213510746843,,1,看多状态,2015-10-12
2015-10-12,-1.9865,0.9985066666666662,28.956479613769424,29.954986280436092,-27.957972947102757,,1,看多状态,2015-10-13
2015-10-13,-4.1034,1.0978599999999996,28.925337478938555,30.023197478938556,-27.827477478938555,,1,看多状态,2015-10-14
2015-10-14,-9.118,1.0648624999999996,28.929024072159322,29.993886572159322,-27.864161572159322,,1,看多状态,2015-10-15
2015-10-15,3.5141000000000004,1.323963333333333,28.69452789290954,30.018491226242872,-27.37056455957621,,1,看多状态,2015-10-16
2015-10-16,-7.0339,1.776739166666666,28.29066466383203,30.067403830498694,-26.513925497165364,,1,看多状态,2015-10-19
2015-10-19,-2.5971,1.7918674999999995,28.28541958006569,30.077287080065688,-26.49355208006569,,1,看多状态,2015-10-20
2015-10-22,-13.763699999999998,1.6926208333333328,28.27970312801607,29.972323961349403,-26.587082294682737,,1,看多状态,2015-10-23
2015-10-23,-10.4818,1.542241666666666,28.313777833553562,29.856019500220228,-26.771536166886897,,1,看多状态,2015-10-26
2015-10-26,-12.2336,1.3691158333333326,28.323332967963303,29.692448801296635,-26.95421713462997,,1,看多状态,2015-10-27
2015-10-27,-2.2697,1.1359649999999994,28.319158041603554,29.455123041603553,-27.183193041603555,,1,看多状态,2015-10-28
2015-10-28,-11.3421,0.9840058333333328,28.287822330365685,29.27182816369902,-27.30381649703235,,1,看多状态,2015-10-29
2015-10-29,-15.7742,0.985136666666666,28.287322679133744,29.27245934580041,-27.30218601246708,,1,看多状态,2015-10-30
2015-10-30,-12.0101,0.7381474999999994,28.303312040932248,29.041459540932248,-27.565164540932248,,1,看多状态,2015-11-02
2015-11-02,-10.6042,0.5796358333333328,28.321142959312475,28.90077879264581,-27.74150712597914,,1,看多状态,2015-11-03
2015-11-03,-9.6482,0.5528616666666661,28.330259059535038,28.883120726201703,-27.777397392868373,,1,看多状态,2015-11-04
2015-11-04,-23.0618,0.46999749999999957,28.345556359607905,28.815553859607903,-27.875558859607906,,1,看多状态,2015-11-05
2015-11-05,-39.4646,0.18907749999999954,28.410802315066576,28.599879815066576,-28.221724815066576,看空触发,-1,看空状态,2015-11-06
2015-11-06,-17.0212,-0.11802416666666711,28.63959141667264,28.521567250005972,-28.75761558333931,,-1,看空状态,2015-11-09
2015-11-09,-14.4373,-0.28285583333333375,28.679788132900025,28.396932299566693,-28.962643966233358,,-1,看空状态,2015-11-10
