date,available_date,m1_yoy_pct,ppi_available_date,ppi_yoy_pct,signal_available_date,m1_minus_ppi_pct_point,ma6,ma12,signal_score,signal_text,effective_date
2022-11-30,2022-12-20,4.6,2022-12-20,-1.3,2022-12-20,5.8999999999999995,4.083333333333333,-0.4750000000000005,1.0,看多：剪刀差上行,2022-12-21
2022-12-31,2023-01-20,3.7,2023-01-20,-0.7,2023-01-20,4.4,4.866666666666666,0.458333333333333,1.0,看多：剪刀差上行,2023-01-30
2023-01-31,2023-02-20,6.7,2023-02-20,-0.8,2023-02-20,7.5,5.7,1.9999999999999998,1.0,看多：剪刀差上行,2023-02-21
2023-02-28,2023-03-20,5.8,2023-03-20,-1.4,2023-03-20,7.199999999999999,6.266666666666667,2.9416666666666664,1.0,看多：剪刀差上行,2023-03-21
2023-03-31,2023-04-20,5.1,2023-04-20,-2.5,2023-04-20,7.6,6.616666666666666,3.875,1.0,看多：剪刀差上行,2023-04-21
2023-04-30,2023-05-20,5.3,2023-05-20,-3.6,2023-05-20,8.9,6.916666666666667,4.858333333333333,1.0,看多：剪刀差上行,2023-05-22
2023-05-31,2023-06-20,4.7,2023-06-20,-4.6,2023-06-20,9.3,7.483333333333333,5.783333333333332,1.0,看多：剪刀差上行,2023-06-21
2023-06-30,2023-07-20,3.1,2023-07-20,-5.4,2023-07-20,8.5,8.166666666666666,6.516666666666666,1.0,看多：剪刀差上行,2023-07-21
2023-07-31,2023-08-20,2.3,2023-08-20,-4.4,2023-08-20,6.7,8.033333333333333,6.866666666666666,1.0,看多：剪刀差上行,2023-08-21
2023-08-31,2023-09-20,2.2,2023-09-20,-3.0,2023-09-20,5.2,7.699999999999999,6.983333333333333,1.0,看多：剪刀差上行,2023-09-21
2023-09-30,2023-10-20,2.1,2023-10-20,-2.5,2023-10-20,4.6,7.2,6.908333333333332,1.0,看多：剪刀差上行,2023-10-23
2023-10-31,2023-11-20,1.9,2023-11-20,-2.6,2023-11-20,4.5,6.466666666666666,6.691666666666666,-1.0,看空：剪刀差下行,2023-11-21
2023-11-30,2023-12-20,1.3,2023-12-20,-3.0,2023-12-20,4.3,5.633333333333333,6.558333333333333,-1.0,看空：剪刀差下行,2023-12-21
2023-12-31,2024-01-20,1.3,2024-01-20,-2.7,2024-01-20,4.0,4.883333333333334,6.5249999999999995,-1.0,看空：剪刀差下行,2024-01-22
2024-01-31,2024-02-20,5.9,2024-02-20,-2.5,2024-02-20,8.4,5.166666666666667,6.6000000000000005,-1.0,看空：剪刀差下行,2024-02-21
2024-02-29,2024-03-20,1.2,2024-03-20,-2.7,2024-03-20,3.9000000000000004,4.949999999999999,6.325,-1.0,看空：剪刀差下行,2024-03-21
2024-03-31,2024-04-20,1.1,2024-04-20,-2.8,2024-04-20,3.9,4.833333333333333,6.016666666666667,-1.0,看空：剪刀差下行,2024-04-22
2024-04-30,2024-05-20,-1.4,2024-05-20,-2.5,2024-05-20,1.1,4.266666666666667,5.366666666666667,-1.0,看空：剪刀差下行,2024-05-21
2024-05-31,2024-06-20,-4.2,2024-06-20,-1.4,2024-06-20,-2.8000000000000003,3.0833333333333335,4.358333333333333,-1.0,看空：剪刀差下行,2024-06-21
2024-06-30,2024-07-20,-5.0,2024-07-20,-0.8,2024-07-20,-4.2,1.7166666666666666,3.2999999999999994,-1.0,看空：剪刀差下行,2024-07-22
2024-07-31,2024-08-20,-6.6,2024-08-20,-0.8,2024-08-20,-5.8,-0.6499999999999999,2.2583333333333333,-1.0,看空：剪刀差下行,2024-08-21
2024-08-31,2024-09-20,-7.3,2024-09-20,-1.8,2024-09-20,-5.5,-2.216666666666667,1.3666666666666665,-1.0,看空：剪刀差下行,2024-09-23
2024-09-30,2024-10-20,-7.4,2024-10-20,-2.8,2024-10-20,-4.6000000000000005,-3.633333333333333,0.6,-1.0,看空：剪刀差下行,2024-10-21
2024-10-31,2024-11-20,-6.1,2024-11-20,-2.9,2024-11-20,-3.1999999999999997,-4.3500000000000005,-0.041666666666666706,-1.0,看空：剪刀差下行,2024-11-21
2024-11-30,2024-12-20,-3.7,2024-12-20,-2.5,2024-12-20,-1.2000000000000002,-4.083333333333333,-0.5000000000000001,-1.0,看空：剪刀差下行,2024-12-23
2024-12-31,2025-01-20,-1.4,2025-01-20,-2.3,2025-01-20,0.8999999999999999,-3.233333333333333,-0.7583333333333333,-1.0,看空：剪刀差下行,2025-01-21
2025-01-31,2025-02-20,0.4,2025-02-20,-2.3,2025-02-20,2.6999999999999997,-1.8166666666666667,-1.2333333333333334,-1.0,看空：剪刀差下行,2025-02-21
2025-02-28,2025-03-20,0.1,2025-03-20,-2.2,2025-03-20,2.3000000000000003,-0.5166666666666667,-1.366666666666667,1.0,看多：剪刀差上行,2025-03-21
2025-03-31,2025-04-20,1.6,2025-04-20,-2.5,2025-04-20,4.1,0.9333333333333332,-1.3500000000000003,1.0,看多：剪刀差上行,2025-04-21
2025-04-30,2025-05-20,1.5,2025-05-20,-2.7,2025-05-20,4.2,2.1666666666666665,-1.0916666666666668,1.0,看多：剪刀差上行,2025-05-21
2025-05-31,2025-06-20,2.3,2025-06-20,-3.3,2025-06-20,5.6,3.3000000000000003,-0.39166666666666666,1.0,看多：剪刀差上行,2025-06-23
2025-06-30,2025-07-20,4.6,2025-07-20,-3.6,2025-07-20,8.2,4.516666666666667,0.6416666666666665,1.0,看多：剪刀差上行,2025-07-21
2025-07-31,2025-08-20,5.6,2025-08-20,-3.6,2025-08-20,9.2,5.599999999999999,1.8916666666666664,1.0,看多：剪刀差上行,2025-08-21
2025-08-31,2025-09-20,6.0,2025-09-20,-2.9,2025-09-20,8.9,6.7,3.0916666666666663,1.0,看多：剪刀差上行,2025-09-22
2025-09-30,2025-10-20,7.2,2025-10-20,-2.3,2025-10-20,9.5,7.6000000000000005,4.266666666666667,1.0,看多：剪刀差上行,2025-10-21
2025-10-31,2025-11-20,6.2,2025-11-20,-2.1,2025-11-20,8.3,8.283333333333333,5.225,1.0,看多：剪刀差上行,2025-11-21
2025-11-30,2025-12-20,4.9,2025-12-20,-2.2,2025-12-20,7.1000000000000005,8.533333333333333,5.916666666666667,1.0,看多：剪刀差上行,2025-12-22
2025-12-31,2026-01-20,3.8,2026-01-20,-1.9,2026-01-20,5.699999999999999,8.116666666666667,6.316666666666666,1.0,看多：剪刀差上行,2026-01-21
2026-01-31,2026-02-20,4.9,2026-02-20,-1.4,2026-02-20,6.300000000000001,7.633333333333333,6.616666666666667,1.0,看多：剪刀差上行,2026-02-24
2026-02-28,2026-03-20,5.9,2026-03-20,-0.9,2026-03-20,6.800000000000001,7.283333333333334,6.991666666666666,1.0,看多：剪刀差上行,2026-03-23
2026-03-31,2026-04-20,5.1,2026-04-20,0.5,2026-04-20,4.6,6.466666666666666,7.033333333333334,-1.0,看空：剪刀差下行,2026-04-21
2026-04-30,2026-05-20,5.0,2026-05-20,2.8,2026-05-20,2.2,5.45,6.866666666666666,-1.0,看空：剪刀差下行,2026-05-21
2026-05-31,2026-06-20,5.5,2026-06-20,3.9,2026-06-20,1.6,4.533333333333334,6.533333333333334,-1.0,看空：剪刀差下行,2026-06-22
2026-06-30,2026-07-20,4.0,2026-07-20,4.1,2026-07-20,-0.09999999999999964,3.566666666666667,5.841666666666666,-1.0,看空：剪刀差下行,2026-07-21
