date,new_investors_10k,available_date,previous_6m_max,reversal_event,signal_score,signal_text,effective_date
2022-05-31,120.26,2022-06-30,230.2,False,,未触发,2022-07-01
2022-06-30,133.03,2022-07-30,230.2,False,,未触发,2022-08-01
2022-07-31,113.21,2022-08-30,230.2,False,,未触发,2022-08-31
2022-08-31,124.6,2022-09-30,230.2,False,,未触发,2022-10-10
2022-09-30,103.05,2022-10-30,230.2,False,,未触发,2022-10-31
2022-10-31,80.29,2022-11-30,133.03,False,,未触发,2022-12-01
2022-11-30,97.32,2022-12-30,133.03,False,,未触发,2023-01-03
2022-12-31,71.24,2023-01-30,133.03,False,,未触发,2023-01-31
2023-01-31,84.48,2023-03-02,124.6,False,,未触发,2023-03-03
2023-02-28,167.68,2023-03-30,124.6,True,,反转预警：方向需结合此前市场趋势,2023-03-31
2023-03-31,189.62,2023-04-30,167.68,True,,反转预警：方向需结合此前市场趋势,2023-05-04
2023-04-30,100.19,2023-05-30,189.62,False,,未触发,2023-05-31
2023-05-31,97.26,2023-06-30,189.62,False,,未触发,2023-07-03
2023-06-30,98.13,2023-07-30,189.62,False,,未触发,2023-07-31
2023-07-31,91.03,2023-08-30,189.62,False,,未触发,2023-08-31
2023-08-31,99.59,2023-09-30,189.62,False,,未触发,2023-10-09
