统计时间,全社会用电量,全社会用电量同比,各行业用电量合计,各行业用电量合计同比,第一产业用电量,第一产业用电量同比,第二产业用电量,第二产业用电量同比,第三产业用电量,第三产业用电量同比,城乡居民生活用电量合计,城乡居民生活用电量合计同比,城镇居民用电量,城镇居民用电量同比,乡村居民用电量,乡村居民用电量同比
2024.4,307720000.0,9.0,,,3840000.0,10.1,202140000.0,7.5,55050000.0,13.5,46690000.0,10.8,,,,
2024.5,383700000.0,8.6,,,4950000.0,9.7,253650000.0,7.2,69180000.0,12.7,55920000.0,9.9,,,,
2024.6,465750000.0,8.1,,,6230000.0,8.8,306700000.0,6.9,85250000.0,11.7,67570000.0,9.0,,,,
2024.7,559710000.0,7.7,,,7640000.0,7.5,363290000.0,6.6,103960000.0,11.0,84820000.0,8.4,,,,
2024.8,656190000.0,7.9,,,9140000.0,7.0,420060000.0,6.3,123010000.0,11.0,103980000.0,10.9,,,,
2024.9,740940000.0,7.9,,,10350000.0,6.9,473850000.0,5.9,139530000.0,11.2,117210000.0,12.6,,,,
2025.10,862460000.0,5.1,,,12620000.0,10.5,547810000.0,3.7,166710000.0,8.4,135320000.0,6.9,,,,
2025.11,946020000.0,5.2,,,13740000.0,10.3,604360000.0,3.7,182040000.0,8.5,,,,,,
2025.12,1036820000.0,5.0,,,14940000.0,9.9,663660000.0,3.7,199420000.0,8.2,158800000.0,6.3,,,,
2025.2,155640000.0,1.3,,,2080000.0,8.2,96360000.0,0.9,29800000.0,3.6,27400000.0,0.1,,,,
2025.3,238460000.0,2.5,,,3140000.0,8.7,152140000.0,1.9,44650000.0,5.2,38530000.0,1.5,,,,
2025.4,315660000.0,3.1,,,4240000.0,10.0,204970000.0,2.3,58560000.0,6.0,47890000.0,2.5,,,,
2025.5,396650000.0,3.4,,,5430000.0,9.6,259140000.0,2.2,74060000.0,6.8,58020000.0,3.7,,,,
2025.6,484180000.0,3.7,,,6760000.0,8.7,314850000.0,2.4,91640000.0,7.1,70930000.0,4.9,,,,
2025.7,586630000.0,4.5,,,8470000.0,10.8,374030000.0,2.8,112510000.0,7.8,91320000.0,7.6,,,,
2025.8,687880000.0,4.6,,,10120000.0,10.6,433860000.0,3.1,132970000.0,7.7,110940000.0,6.6,,,,
2025.9,776750000.0,4.6,,,11420000.0,10.2,490930000.0,3.4,150620000.0,7.5,123780000.0,5.6,,,,
2026.2,165460000.0,6.1,,,2230000.0,7.4,102790000.0,6.3,32310000.0,8.3,28130000.0,2.7,,,,
2026.3,251410000.0,5.2,,,3360000.0,7.1,159870000.0,4.7,48330000.0,7.1,39850000.0,3.4,,,,
2026.4,333450000.0,5.4,,,4490000.0,5.8,215690000.0,4.9,63510000.0,8.3,49760000.0,3.9,,,,
2026.5,420180000.0,5.7,,,5740000.0,5.6,273240000.0,5.1,80550000.0,8.6,60650000.0,4.5,,,,
2026.6,509990000.0,5.3,,,7110000.0,4.9,330570000.0,5.1,99160000.0,8.0,73150000.0,3.1,,,,
