月份,当月,当月-同比增长,当月-环比增长,累计,累计-同比增长
2023年06月份,32413.0,6.13294041,165.26720681,156048.0,14.95333299
2023年05月份,12219.0,-32.97312123,175.76167908,123635.0,17.5137108
2023年04月份,4431.0,22.53871681,-88.77858536,111416.0,28.09528737
2023年03月份,39487.0,22.28484717,117.15244171,106985.0,28.33631227
2023年02月份,18184.0,100.17613386,-63.12608995,67498.0,32.16243734
2023年01月份,49314.0,17.44784224,242.43455316,49314.0,17.44784224
2022年12月份,14401.0,39.14009662,25.79489867,209147.0,4.88606046
2022年11月份,11448.0,-12.08048537,158.36154367,194746.0,3.01077999
2022年10月份,4431.0,-42.84055728,-82.74935763,183298.0,4.12706708
2022年09月份,25686.0,44.66910729,92.49100719,178867.0,6.29066858
2022年08月份,13344.0,4.96342327,226.41878669,153181.0,1.76381489
2022年07月份,4088.0,-51.28113455,-86.61427636,139837.0,1.4686568
2022年06月份,30540.0,31.74014321,67.52605595,135749.0,4.88865881
2022年05月份,18230.0,27.5360291,404.14823009,105209.0,-0.97044428
2022年04月份,3616.0,-71.83800623,-88.80183333,86979.0,-5.40208383
2022年03月份,32291.0,17.37486823,255.47115808,83363.0,5.381387
2022年02月份,9084.0,-32.27465891,-78.36524721,51072.0,-1.01366411
2022年01月份,41988.0,9.96804777,305.68115942,41988.0,9.96804777
2021年12月份,10350.0,-9.67009949,-20.51301743,199404.0,-0.45180197
2021年11月份,13021.0,-14.94545692,67.96955624,189054.0,0.10749215
2021年10月份,7752.0,16.34398919,-56.33905942,176033.0,1.4353874
2021年09月份,17755.0,-7.38615617,39.66019036,168281.0,0.84012967
2021年08月份,12713.0,-10.47813534,51.50756763,150526.0,1.90781813
2021年07月份,8391.0,-17.90431465,-63.8038133,137813.0,3.22529905
2021年06月份,23182.0,21.82458353,62.17993564,129422.0,4.97704524
2021年05月份,14294.0,-7.7925429,11.32398754,106240.0,1.90203056
2021年04月份,12840.0,-20.93109182,-53.32775981,91946.0,3.59529041
2021年03月份,27511.0,-9.47351102,105.10698576,79106.0,9.08764962
2021年02月份,13413.0,86.23993335,-64.87088157,51595.0,22.47780468
2021年01月份,38182.0,9.32882831,233.23442136,38182.0,9.32882831
