date,open,close,high,low,volume,amount
2005-01-04,995.097,983.895,995.097,981.754,973663097,5761000000.0
2005-01-05,982.918,995.576,1000.425,981.591,1060521011,6448999999.999999
2005-01-06,996.098,986.216,996.344,983.132,922193464,5550000000.0
2005-01-07,985.78,987.693,999.272,982.609,1069032107,6644000000.0
2005-01-10,987.322,997.186,997.277,983.494,874110332,5413000000.0
2005-01-11,997.366,1000.098,1002.122,993.397,898519519,5483000000.0
2005-01-12,999.658,999.915,1000.083,991.695,821091889,4919000000.0
2005-01-13,999.291,1001.231,1003.535,996.331,1075979945,6559000000.0
2005-01-14,1000.947,991.409,1009.875,990.489,1131477972,6448000000.0
2005-01-17,982.175,969.922,983.82,967.33,1164679196,6668000000.000001
2005-01-18,969.88,979.139,979.291,963.914,1182798040,6642000000.0
2005-01-19,978.839,972.369,978.839,970.082,1059334050,5733000000.0
2005-01-20,968.621,960.598,968.621,956.307,1237915518,6988000000.0
2005-01-21,958.99,983.888,985.402,945.505,2063531568,11564000000.0
2005-01-24,1003.725,1000.703,1003.725,989.397,2168281675,12466000000.0
2005-01-25,998.293,998.001,998.293,986.344,1455733255,8808000000.0
2005-01-26,995.842,989.061,998.374,987.435,1177719099,6958000000.0
2005-01-27,986.703,973.434,986.703,972.621,1106857872,6309000000.0
2005-01-28,973.434,964.026,974.25,960.241,982118066,5387000000.0
2005-01-31,960.461,945.237,960.461,944.15,1088380548,5923000000.0
2005-02-01,943.292,943.24,954.762,941.313,1163281244,6352000000.0
2005-02-02,943.692,994.212,994.227,943.692,2361090479,13726000000.0
2005-02-03,993.125,979.041,1000.458,978.511,2334584017,13534000000.0
2005-02-04,978.105,1000.775,1004.051,976.233,2092922852,12424000000.0
2005-02-16,1006.93,1008.572,1017.424,1003.172,1682461573,9993000000.0
2005-02-17,1009.026,1007.811,1009.026,997.022,1300025615,7595000000.0
2005-02-18,1007.436,993.838,1007.943,993.492,1225275081,6953000000.0
2005-02-21,994.369,1012.737,1012.767,994.369,1465129730,8621000000.0
2005-02-22,1013.762,1035.251,1036.777,1011.615,2751363136,16251000000.0
2005-02-23,1035.477,1036.707,1041.737,1027.526,2889875305,17055000000.000002
2005-02-24,1035.212,1039.191,1039.536,1028.151,2336502136,13868000000.0
2005-02-25,1039.815,1040.062,1052.238,1039.815,2782076463,17097999999.999998
2005-02-28,1039.375,1034.234,1041.434,1029.068,1999909760,12365000000.0
2005-03-01,1033.659,1031.482,1036.893,1025.316,1663772706,10092000000.0
2005-03-02,1031.846,1016.601,1040.441,1016.193,2168310669,13169000000.0
2005-03-03,1014.977,1022.691,1023.211,1009.063,1457557982,8573999999.999999
2005-03-04,1022.823,1017.494,1025.859,1016.117,1269883103,7934999999.999999
2005-03-07,1018.373,1023.007,1024.119,1017.972,1240809032,7912000000.0
2005-03-08,1026.012,1043.097,1043.295,1026.012,2148280179,14353000000.0
2005-03-09,1045.326,1042.302,1048.597,1036.849,2358531112,14890000000.0
2005-03-10,1042.327,1017.261,1042.327,1014.624,2040197382,12640000000.0
2005-03-11,1015.795,1021.87,1022.753,1011.524,1743169199,11336000000.0
2005-03-14,1021.625,1023.919,1033.984,1007.669,2201659262,15068000000.0
2005-03-15,1023.854,1007.543,1023.854,1005.719,1850706079,12141000000.0
2005-03-16,1006.029,997.285,1006.162,990.32,1593474734,10353000000.0
2005-03-17,996.288,986.222,998.527,985.526,1528231850,9714000000.0
2005-03-18,985.001,969.983,989.159,966.768,1504597667,9439000000.0
2005-03-21,968.484,972.291,973.591,963.346,1144475495,7097000000.0
2005-03-22,971.984,951.743,972.212,947.441,1717073048,10239000000.0
2005-03-23,950.443,948.301,963.823,943.867,1622033698,10214000000.0
2005-03-24,946.905,955.399,955.663,938.539,1357991626,8957000000.0
2005-03-25,954.973,953.561,957.65,949.606,1129716745,6530000000.0
2005-03-28,952.28,949.518,952.28,937.148,1068881619,6298000000.0
2005-03-29,949.22,943.929,956.664,943.596,1127594601,6842000000.0
2005-03-30,941.676,922.947,941.676,922.209,1363965968,7917000000.0
2005-03-31,920.841,928.649,928.854,914.426,1198505972,6598000000.0
2005-04-01,927.848,963.238,973.506,922.208,2326929821,13775000000.0
2005-04-04,953.958,946.868,958.322,941.053,1676893137,10190000000.0
2005-04-05,945.218,939.794,951.441,937.871,1410703965,8461000000.0
2005-04-06,939.794,957.448,961.161,932.631,2108744891,13558000000.000002
2005-04-07,959.143,969.137,983.422,957.576,3029444719,18610000000.0
2005-04-08,968.955,987.353,987.372,964.194,2275990708,13509000000.0
2005-04-11,987.691,981.315,993.098,978.589,2462430852,15178000000.0
2005-04-12,979.552,963.181,979.552,962.823,1626615962,9727000000.0
2005-04-13,971.135,985.622,989.522,971.135,2421277353,14519999999.999998
2005-04-14,988.991,971.601,990.618,970.413,1992939800,11608000000.0
2005-04-15,967.431,955.94,967.431,953.943,1707055237,10001000000.0
2005-04-18,953.018,945.14,953.018,939.993,1360166911,7905000000.0
2005-04-19,944.118,946.986,949.727,938.76,1401122598,8195999999.999999
2005-04-20,945.557,930.891,945.557,926.761,1417235552,7898999999.999999
2005-04-21,928.514,920.935,934.6,916.047,1619649471,9277000000.0
2005-04-22,919.692,914.607,924.02,910.272,1691676956,9509000000.0
2005-04-25,905.841,903.468,908.048,893.273,1729034005,9542000000.0
2005-04-26,901.782,912.457,914.783,899.055,1789042702,9946000000.0
2005-04-27,913.966,900.294,914.061,899.846,1672426594,9412000000.0
2005-04-28,897.228,917.088,920.152,887.681,2198659873,12087000000.0
2005-04-29,916.112,906.462,916.804,904.151,1724910535,9751000000.0
2005-05-09,908.27,881.503,910.696,881.503,1273521615,6958000000.0
2005-05-10,877.884,884.259,884.523,861.795,1544126735,8328000000.0
2005-05-11,883.007,874.393,888.027,873.21,1367962682,7408000000.0
2005-05-12,872.425,861.577,872.425,857.788,1482582598,8328000000.0
2005-05-13,859.655,864.772,873.867,852.769,1644243449,8628000000.0
2005-05-16,863.425,854.087,863.425,848.361,1276179097,6641000000.0
2005-05-17,852.068,861.365,866.955,847.853,1372735545,6820000000.0
2005-05-18,860.794,864.074,869.08,852.09,1243668726,6598000000.0
2005-05-19,863.53,864.441,868.197,852.303,1292586004,6434000000.0
2005-05-20,863.641,861.592,869.846,859.544,1155419891,5781000000.0
2005-05-23,857.921,839.479,857.921,838.638,1159251102,5529000000.0
2005-05-24,836.716,846.966,850.029,834.159,1390222221,6755000000.0
2005-05-25,846.412,847.169,854.755,840.812,1253309405,5949000000.0
2005-05-26,846.319,836.133,850.956,833.592,1146157396,5574000000.0
2005-05-27,834.171,828.117,843.406,827.158,1191761509,6059000000.0
2005-05-30,826.062,834.316,836.704,820.767,1082029114,5340000000.0
2005-05-31,835.159,834.262,840.675,831.642,1134755831,5371000000.0
2005-06-01,833.421,816.042,834.897,813.946,1255102924,6195000000.0
2005-06-02,814.128,799.802,814.128,794.618,1445929619,7320999999.999999
2005-06-03,797.859,798.34,804.426,788.32,1252237175,6007000000.0
2005-06-06,796.837,816.42,816.611,786.726,1377272752,6659000000.0
2005-06-07,818.543,815.511,834.32,813.456,2015436919,10366000000.0
2005-06-08,823.992,881.593,884.744,821.763,4788138333,24027000000.0
2005-06-09,882.473,888.786,900.258,870.776,4845329268,24866000000.0
2005-06-10,888.497,870.777,888.497,865.986,3242745096,16625000000.0
2005-06-13,869.079,868.676,874.09,853.491,2252284114,11087000000.0
2005-06-14,870.628,857.283,879.226,856.848,2174515744,10906000000.0
2005-06-15,854.783,838.994,854.783,837.605,1733858849,8884000000.0
2005-06-16,838.245,849.359,849.429,832.048,1656416769,8579000000.000001
2005-06-17,852.839,848.935,856.901,844.977,2044150886,10827000000.0
2005-06-20,849.485,873.81,873.879,839.507,2695855898,13987000000.0
2005-06-21,873.568,864.283,873.568,862.396,1915989724,9819000000.0
2005-06-22,862.458,867.616,868.167,858.761,1547087136,8111000000.0
2005-06-23,866.757,859.755,871.035,859.111,1475596708,7833000000.0
2005-06-24,857.769,863.777,863.96,853.858,1319549508,6600000000.0
2005-06-27,869.099,882.274,886.655,869.099,2582638652,13349000000.0
2005-06-28,880.589,869.038,880.589,866.912,1615000668,8214000000.0
2005-06-29,870.784,864.168,872.017,863.389,1595663677,8150000000.0
2005-06-30,862.365,843.178,862.365,841.875,1621017289,8084999999.999999
2005-07-01,840.353,820.862,840.353,819.679,1656367010,7890000000.000001
2005-07-04,816.679,815.332,816.679,801.345,1474997849,6491000000.0
2005-07-05,812.924,809.104,816.38,804.733,1238415091,6487000000.0
2005-07-06,809.553,803.85,814.068,799.582,1117855694,5477000000.0
2005-07-07,803.577,806.318,809.568,800.519,988759983,4591000000.0
2005-07-08,804.347,788.361,804.347,786.733,1232062097,5522000000.0
2005-07-11,792.604,782.03,808.454,780.622,1348452499,6208000000.0
2005-07-12,779.832,808.596,810.522,777.071,2189314239,10445000000.0
2005-07-13,807.39,802.674,808.088,798.959,1511729278,7209000000.0
2005-07-14,801.39,804.772,811.523,799.62,1459833487,6981000000.0
2005-07-15,804.499,793.029,808.763,790.242,1483166748,6580000000.0
2005-07-18,790.932,782.153,790.932,779.299,1331790313,5637000000.0
2005-07-19,780.663,785.65,789.249,778.303,1207706314,5288000000.0
2005-07-20,785.472,791.751,794.14,782.141,1276948209,5725000000.0
2005-07-21,791.586,791.813,792.653,783.426,1311208204,6067000000.0
2005-07-22,791.706,807.56,814.753,790.939,3113953200,14087000000.0
2005-07-25,806.29,804.745,808.075,801.771,1758709972,8190000000.000001
2005-07-26,804.224,823.336,826.0,804.224,3101813773,14279000000.0
2005-07-27,823.666,839.541,839.588,821.513,2988201572,13569000000.0
2005-07-28,839.546,836.545,846.082,833.97,3136967914,14699000000.0
2005-07-29,835.215,833.868,837.727,828.994,2146476794,9486000000.0
2005-08-01,833.482,837.86,841.976,831.745,1812625266,8011000000.0
