date,shibor_1w,ma60,historical_q10,signal_score
2007-02-07,2.5376,2.2504333333333335,,0
2007-02-08,3.5244,2.247625,,0
2007-02-08,3.5244,2.2476249999999998,,0
2007-02-09,4.1485,2.2578616666666664,,0
2007-02-09,4.1485,2.2578616666666664,,0
2007-02-12,4.4692,2.2685850000000003,,0
2007-02-12,4.4692,2.2685850000000003,,0
2007-02-13,3.4622,2.260606666666667,,0
2007-02-13,3.4622,2.260606666666667,,0
2007-02-14,3.9964,2.26052,,0
2007-02-14,3.9964,2.26052,,0
2007-02-15,3.4817,2.25673,,0
2007-02-15,3.4817,2.2567299999999997,,0
2007-02-16,2.1513,2.230643333333333,,0
2007-02-16,2.1513,2.230643333333333,,0
2007-02-17,1.5133,2.1910966666666667,,0
2007-02-17,1.5133,2.1910966666666667,,0
2007-02-25,2.9102,2.1866883333333336,,0
2007-02-25,2.9102,2.1866883333333336,,0
2007-02-26,2.6662,2.179911666666667,,0
2007-02-26,2.6662,2.179911666666667,,0
2007-02-27,2.5313,2.180205,,0
2007-02-27,2.5313,2.180205,,0
2007-02-28,1.9919,2.172953333333333,,0
2007-02-28,1.9919,2.1729533333333335,,0
2007-03-01,1.7584,2.1625083333333333,,0
2007-03-01,1.7584,2.1625083333333333,,0
2007-03-02,1.6838,2.151333333333333,,0
2007-03-02,1.6838,2.1513333333333335,,0
2007-03-05,1.6676,2.140518333333333,,0
2007-03-05,1.6676,2.140518333333333,,0
2007-03-06,1.6145,2.1291616666666666,,0
2007-03-06,1.6145,2.1291616666666666,,0
2007-03-07,1.5498,2.117253333333333,,0
2007-03-07,1.5498,2.117253333333333,,0
2007-03-08,1.5316,2.1053416666666664,,0
2007-03-08,1.5316,2.1053416666666664,,0
2007-03-09,1.4956,2.092895,,0
2007-03-09,1.4956,2.092895,,0
2007-03-12,1.477,2.0806766666666667,,0
2007-03-12,1.477,2.0806766666666667,,0
2007-03-13,1.4605,2.06788,,0
2007-03-13,1.4605,2.06788,,0
2007-03-14,1.4419,2.057533333333333,,0
2007-03-14,1.4419,2.057533333333333,,0
2007-03-15,1.4426,2.047433333333333,,0
2007-03-15,1.4426,2.047433333333333,,0
2007-03-16,1.5164,2.03896,,0
2007-03-16,1.5164,2.03896,,0
2007-03-19,1.6647,2.0330016666666664,,0
2007-03-19,1.6647,2.0330016666666664,,0
2007-03-20,1.7033,2.0284083333333336,,0
2007-03-20,1.7033,2.0284083333333336,,0
2007-03-21,1.7584,2.026021666666667,,0
2007-03-21,1.7584,2.026021666666667,,0
2007-03-22,1.8069,2.0219366666666665,,0
2007-03-22,1.8069,2.0219366666666665,,0
2007-03-23,1.865,2.01486,,0
2007-03-23,1.865,2.01486,,0
2007-03-26,1.9487,2.00927,,0
2007-03-26,1.9487,2.00927,,0
2007-03-27,1.9582,2.003931666666667,,0
2007-03-27,1.9582,2.003931666666667,,0
2007-03-28,1.9658,2.0021066666666667,,0
2007-03-28,1.9658,2.0021066666666667,,0
2007-03-29,1.9729,2.002253333333333,,0
2007-03-29,1.9729,2.002253333333333,,0
2007-03-30,1.9704,2.0031233333333334,,0
2007-03-30,1.9704,2.0031233333333334,,0
2007-04-02,1.9442,2.008325,,0
2007-04-02,1.9442,2.008325,,0
2007-04-03,1.9476,2.015388333333333,,0
2007-04-03,1.9476,2.015388333333333,,0
2007-04-04,1.9553,2.0228816666666667,,0
2007-04-04,1.9553,2.0228816666666667,,0
2007-04-05,1.9923,2.03188,,0
2007-04-05,1.9923,2.0318799999999997,,0
2007-04-06,2.1854,2.044295,,0
2007-04-06,2.1854,2.044295,,0
2007-04-09,2.2959,2.05879,,0
2007-04-09,2.2959,2.05879,,0
2007-04-10,2.3751,2.0748383333333336,,0
2007-04-10,2.3751,2.0748383333333336,,0
2007-04-11,2.3681,2.090895,,0
2007-04-11,2.3681,2.090895,,0
2007-04-12,2.3879,2.107693333333333,,0
