date,power_yoy,ma6,ma12,trend
2003-12-31,15.29,,,震荡
2003-12-31,15.29,,,震荡
2004-03-31,15.7,,,震荡
2004-03-31,15.7,,,震荡
2004-09-30,14.92,15.303333333333333,,震荡
2004-09-30,14.92,15.303333333333333,,震荡
2004-10-31,15.17,15.27,,震荡
2004-10-31,15.17,15.27,,震荡
2004-11-30,15.13,15.242,,震荡
2004-11-30,15.13,15.241999999999999,,震荡
2005-02-28,13.01,14.87,14.87,震荡
2005-02-28,13.01,14.87,14.87,震荡
2005-03-31,13.38,14.551666666666668,14.657142857142857,下行
2005-03-31,13.38,14.551666666666668,14.657142857142857,下行
2005-04-30,13.46,14.178333333333336,14.5075,下行
2005-04-30,13.46,14.178333333333336,14.5075,下行
2005-05-31,13.98,14.021666666666668,14.448888888888888,下行
2005-05-31,13.98,14.021666666666668,14.448888888888888,下行
2005-06-30,13.91,13.811666666666667,14.395,下行
2005-06-30,13.91,13.811666666666667,14.395,下行
2005-08-31,14.12,13.643333333333336,14.37,下行
2005-08-31,14.12,13.643333333333336,14.37,下行
2005-09-30,13.95,13.8,14.335,下行
2005-09-30,13.95,13.799999999999999,14.335,下行
2005-10-31,13.75,13.861666666666666,14.206666666666669,下行
2005-10-31,13.75,13.861666666666666,14.206666666666669,下行
2005-11-30,13.19,13.816666666666665,13.9975,下行
2005-11-30,13.19,13.816666666666665,13.9975,下行
2006-02-28,11.7,13.436666666666666,13.729166666666666,下行
2006-02-28,11.7,13.436666666666666,13.729166666666666,下行
2006-03-31,11.81,13.086666666666666,13.449166666666663,下行
2006-03-31,11.81,13.086666666666666,13.449166666666663,下行
2006-04-30,12.33,12.788333333333334,13.215833333333334,下行
2006-04-30,12.33,12.788333333333334,13.215833333333334,下行
2006-05-31,12.54,12.553333333333336,13.176666666666668,下行
2006-05-31,12.54,12.553333333333336,13.176666666666668,下行
2006-06-30,12.89,12.410000000000002,13.135833333333332,下行
2006-06-30,12.89,12.410000000000002,13.135833333333332,下行
2006-07-31,13.26,12.421666666666669,13.119166666666668,下行
2006-07-31,13.26,12.421666666666669,13.119166666666668,下行
2006-08-31,13.71,12.756666666666668,13.096666666666666,下行
2006-08-31,13.71,12.756666666666668,13.096666666666666,下行
2006-09-30,13.7,13.071666666666667,13.079166666666667,下行
2006-09-30,13.7,13.071666666666667,13.079166666666667,下行
2006-10-31,14.05,13.358333333333334,13.073333333333332,上行
2006-10-31,14.05,13.358333333333334,13.073333333333332,上行
2006-11-30,14.15,13.626666666666663,13.089999999999998,上行
2006-11-30,14.15,13.626666666666663,13.089999999999998,上行
2006-12-31,14.0,13.811666666666666,13.110833333333332,上行
2006-12-31,14.0,13.811666666666666,13.110833333333332,上行
2007-02-28,16.75,14.393333333333336,13.4075,上行
2007-02-28,16.75,14.393333333333336,13.407499999999999,上行
2007-03-31,14.92,14.595,13.675833333333337,上行
2007-03-31,14.92,14.595,13.675833333333337,上行
2007-04-30,15.47,14.89,13.980833333333337,上行
2007-04-30,15.47,14.89,13.980833333333337,上行
2007-05-31,15.83,15.186666666666667,14.2725,上行
2007-05-31,15.83,15.186666666666667,14.272499999999999,上行
2007-06-30,15.56,15.421666666666669,14.524166666666666,上行
2007-06-30,15.56,15.421666666666667,14.524166666666666,上行
2007-07-31,15.68,15.701666666666668,14.756666666666668,上行
2007-07-31,15.68,15.701666666666668,14.756666666666668,上行
2007-08-31,15.2,15.443333333333335,14.918333333333331,上行
2007-08-31,15.2,15.443333333333335,14.918333333333331,上行
2007-09-30,15.12,15.476666666666668,15.035833333333334,上行
2007-09-30,15.12,15.476666666666668,15.035833333333334,上行
2007-10-31,15.0,15.398333333333332,15.144166666666663,上行
2007-10-31,15.0,15.398333333333332,15.144166666666665,上行
2007-11-30,14.94,15.25,15.218333333333334,上行
2007-11-30,14.94,15.25,15.218333333333334,上行
2007-12-31,14.42,15.059999999999995,15.240833333333336,下行
2007-12-31,14.42,15.059999999999997,15.240833333333335,下行
2008-02-29,11.93,14.435,15.068333333333332,下行
2008-02-29,11.93,14.435,15.068333333333332,下行
2008-03-31,13.04,14.074999999999998,14.759166666666667,下行
2008-03-31,13.04,14.074999999999998,14.759166666666667,下行
2008-04-30,12.71,13.673333333333334,14.574999999999998,下行
2008-04-30,12.71,13.673333333333334,14.574999999999998,下行
2008-05-31,12.42,13.243333333333334,14.320833333333333,下行
2008-05-31,12.42,13.243333333333334,14.320833333333333,下行
2008-06-30,11.67,12.698333333333336,13.974166666666669,下行
2008-06-30,11.67,12.698333333333336,13.974166666666667,下行
2008-07-31,10.91,12.113333333333332,13.586666666666666,下行
2008-07-31,10.91,12.113333333333332,13.586666666666666,下行
2008-08-31,10.19,11.823333333333332,13.129166666666668,下行
2008-08-31,10.19,11.823333333333332,13.129166666666668,下行
2008-09-30,9.67,11.261666666666663,12.668333333333337,下行
2008-09-30,9.67,11.261666666666663,12.668333333333337,下行
2008-10-31,8.27,10.521666666666668,12.097500000000002,下行
2008-10-31,8.27,10.521666666666667,12.097500000000002,下行
2008-11-30,6.67,9.563333333333333,11.403333333333334,下行
2008-11-30,6.67,9.563333333333333,11.403333333333334,下行
2008-12-31,5.23,8.49,10.594166666666668,下行
2008-12-31,5.23,8.49,10.594166666666668,下行
2009-02-28,-5.22,5.801666666666666,8.957500000000001,下行
2009-02-28,-5.22,5.801666666666666,8.957500000000001,下行
2009-03-31,-4.02,3.4333333333333336,7.628333333333333,下行
2009-03-31,-4.02,3.4333333333333336,7.628333333333333,下行
2009-04-30,-4.03,1.15,6.2058333333333335,下行
2009-04-30,-4.03,1.15,6.2058333333333335,下行
2009-05-31,-3.66,-0.8383333333333333,4.841666666666666,下行
2009-05-31,-3.66,-0.8383333333333333,4.841666666666666,下行
2009-06-30,-2.24,-2.3233333333333333,3.62,下行
2009-06-30,-2.24,-2.3233333333333333,3.6199999999999997,下行
2009-07-31,-0.89,-3.3433333333333337,2.5733333333333337,下行
2009-07-31,-0.89,-3.3433333333333337,2.5733333333333337,下行
2009-08-31,0.36,-2.413333333333333,1.6941666666666666,下行
2009-08-31,0.36,-2.413333333333333,1.6941666666666666,下行
2009-09-30,1.4,-1.5100000000000005,0.9616666666666666,下行
2009-09-30,1.4,-1.5100000000000005,0.9616666666666666,下行
2009-10-31,2.79,-0.3733333333333333,0.3883333333333333,下行
2009-10-31,2.79,-0.37333333333333335,0.38833333333333336,下行
2009-11-30,4.77,1.0316666666666665,0.0966666666666666,上行
2009-11-30,4.77,1.0316666666666665,0.0966666666666666,上行
2009-12-31,5.96,2.398333333333333,0.0375,上行
2009-12-31,5.96,2.3983333333333334,0.03750000000000001,上行
2010-01-31,40.14,9.236666666666666,2.9466666666666668,上行
2010-01-31,40.14,9.236666666666666,2.9466666666666668,上行
2010-02-28,25.95,13.501666666666669,5.5441666666666665,上行
2010-02-28,25.95,13.501666666666669,5.5441666666666665,上行
2010-03-31,24.19,17.3,7.895,上行
2010-03-31,24.19,17.3,7.895,上行
2010-04-30,23.85,20.81,10.218333333333334,上行
2010-04-30,23.85,20.81,10.218333333333334,上行
2010-05-31,23.31,23.9,12.465833333333334,上行
2010-05-31,23.31,23.9,12.465833333333334,上行
2010-06-30,21.57,26.50166666666667,14.45,上行
2010-06-30,21.57,26.50166666666667,14.450000000000001,上行
2010-07-31,20.25,23.186666666666667,16.211666666666666,上行
2010-07-31,20.25,23.186666666666667,16.211666666666666,上行
2010-08-31,19.34,22.085,17.793333333333333,上行
2010-08-31,19.34,22.085,17.793333333333333,上行
2010-09-30,18.05,21.061666666666667,19.18083333333333,上行
2010-09-30,18.05,21.061666666666667,19.18083333333333,上行
2010-12-31,14.56,19.513333333333332,20.161666666666665,下行
2010-12-31,14.56,19.513333333333335,20.161666666666665,下行
2011-02-28,12.32,17.68166666666667,20.79083333333333,下行
2011-02-28,12.32,17.68166666666667,20.79083333333333,下行
2011-03-31,13.41,16.321666666666665,21.411666666666665,下行
2011-03-31,13.41,16.321666666666665,21.411666666666665,下行
2011-04-30,11.23,14.818333333333332,19.0025,下行
2011-04-30,11.23,14.818333333333332,19.0025,下行
2011-05-31,10.79,13.393333333333333,17.739166666666666,下行
2011-05-31,10.79,13.393333333333333,17.739166666666666,下行
2011-06-30,13.0,12.551666666666668,16.80666666666667,下行
2011-06-30,13.0,12.551666666666668,16.80666666666667,下行
2011-07-31,11.81,12.093333333333334,15.803333333333333,下行
2011-07-31,11.81,12.093333333333334,15.803333333333333,下行
2011-08-31,9.09,11.555,14.618333333333332,下行
2011-08-31,9.09,11.555,14.618333333333332,下行
2011-09-30,11.95,11.311666666666667,13.816666666666668,下行
2011-09-30,11.95,11.311666666666667,13.816666666666668,下行
2011-10-31,11.87,11.418333333333337,13.118333333333332,下行
2011-10-31,11.87,11.418333333333337,13.118333333333332,下行
2011-11-30,11.85,11.595,12.494166666666668,下行
2011-11-30,11.85,11.594999999999999,12.494166666666667,下行
2011-12-31,11.74,11.385,11.968333333333334,下行
2011-12-31,11.74,11.385,11.968333333333334,下行
2012-02-29,6.66,10.526666666666666,11.31,下行
2012-02-29,6.66,10.526666666666666,11.31,下行
2012-03-31,6.8,10.145,10.85,下行
2012-03-31,6.8,10.145,10.85,下行
2012-04-30,6.0,9.153333333333334,10.2325,下行
2012-04-30,6.0,9.153333333333334,10.2325,下行
2012-05-31,5.8,8.141666666666667,9.78,下行
2012-05-31,5.8,8.141666666666667,9.78,下行
2012-06-30,5.5,7.083333333333333,9.339166666666666,下行
2012-06-30,5.5,7.083333333333333,9.339166666666666,下行
2012-07-31,5.4,6.026666666666666,8.705833333333333,下行
2012-07-31,5.4,6.026666666666666,8.705833333333333,下行
2012-08-31,5.1,5.766666666666667,8.146666666666667,下行
2012-08-31,5.1,5.766666666666667,8.146666666666667,下行
2012-09-30,4.8,5.433333333333334,7.789166666666667,下行
2012-09-30,4.8,5.433333333333334,7.789166666666667,下行
2012-10-31,4.9,5.25,7.201666666666667,下行
2012-10-31,4.9,5.25,7.201666666666667,下行
2012-11-30,5.1,5.133333333333334,6.637499999999999,下行
2012-11-30,5.1,5.133333333333334,6.637499999999999,下行
2012-12-31,5.5,5.133333333333334,6.108333333333333,下行
2012-12-31,5.5,5.133333333333334,6.108333333333333,下行
2013-02-28,5.48,5.1466666666666665,5.586666666666666,下行
2013-02-28,5.48,5.1466666666666665,5.586666666666666,下行
2013-03-31,4.25,5.005,5.385833333333333,下行
2013-03-31,4.25,5.005,5.385833333333333,下行
2013-04-30,4.86,5.015,5.224166666666666,下行
2013-04-30,4.86,5.015,5.224166666666666,下行
2013-05-31,4.88,5.011666666666667,5.130833333333333,下行
2013-05-31,4.88,5.011666666666667,5.130833333333333,下行
2013-06-30,5.14,5.0183333333333335,5.075833333333333,下行
2013-06-30,5.14,5.0183333333333335,5.075833333333333,下行
2013-07-31,5.7,5.051666666666667,5.0925,下行
2013-07-31,5.7,5.051666666666667,5.0925,下行
2013-08-31,6.8,5.2716666666666665,5.209166666666667,上行
2013-08-31,6.8,5.2716666666666665,5.209166666666667,上行
2013-09-30,7.2,5.763333333333333,5.384166666666666,上行
2013-09-30,7.2,5.763333333333333,5.384166666666666,上行
2013-10-31,7.4,6.1866666666666665,5.600833333333334,上行
2013-10-31,7.4,6.1866666666666665,5.600833333333334,上行
2013-11-30,7.5,6.623333333333332,5.8175,上行
2013-11-30,7.5,6.623333333333332,5.8175,上行
2013-12-31,7.5,7.016666666666666,6.017500000000001,上行
2013-12-31,7.5,7.016666666666666,6.017500000000001,上行
2014-02-28,4.5,6.816666666666666,5.934166666666667,上行
2014-02-28,4.5,6.816666666666666,5.934166666666667,上行
2014-03-31,5.4,6.583333333333333,5.927499999999999,上行
2014-03-31,5.4,6.583333333333333,5.927499999999999,上行
2014-04-30,5.2,6.25,6.006666666666667,上行
2014-04-30,5.2,6.25,6.006666666666667,上行
2014-05-31,5.2,5.883333333333333,6.035,下行
2014-05-31,5.2,5.883333333333333,6.035,下行
2014-06-30,5.3,5.516666666666667,6.07,下行
2014-06-30,5.3,5.516666666666667,6.07,下行
2014-07-31,4.9,5.083333333333333,6.050000000000001,下行
2014-07-31,4.9,5.083333333333333,6.050000000000001,下行
2014-08-31,4.0,5.0,5.908333333333334,下行
2014-08-31,4.0,5.0,5.908333333333334,下行
2014-09-30,3.9,4.75,5.666666666666667,下行
2014-09-30,3.9,4.75,5.666666666666667,下行
2014-10-31,3.8,4.516666666666667,5.383333333333334,下行
2014-10-31,3.8,4.516666666666667,5.383333333333334,下行
2014-11-30,3.7,4.266666666666667,5.075,下行
2014-11-30,3.7,4.266666666666667,5.075,下行
2014-12-31,3.8,4.016666666666667,4.766666666666667,下行
2014-12-31,3.8,4.016666666666667,4.766666666666667,下行
2015-02-28,2.5,3.6166666666666663,4.3500000000000005,下行
2015-02-28,2.5,3.6166666666666667,4.3500000000000005,下行
