date,electricity_consumption_yoy_pct,available_date,ma6,ma12,signal_score,signal_text,effective_date
2007-12-31,14.42,2008-01-25,15.059999999999997,15.240833333333335,-1.0,代理看空：用电量趋势下行,2008-01-28
2008-02-29,11.93,2008-03-25,14.435,15.068333333333333,-1.0,代理看空：用电量趋势下行,2008-03-26
2008-03-31,13.04,2008-04-25,14.074999999999998,14.759166666666667,-1.0,代理看空：用电量趋势下行,2008-04-28
2008-04-30,12.71,2008-05-25,13.673333333333334,14.574999999999998,-1.0,代理看空：用电量趋势下行,2008-05-26
2008-05-31,12.42,2008-06-25,13.243333333333334,14.320833333333333,-1.0,代理看空：用电量趋势下行,2008-06-26
2008-06-30,11.67,2008-07-25,12.698333333333336,13.974166666666667,-1.0,代理看空：用电量趋势下行,2008-07-28
2008-07-31,10.91,2008-08-25,12.113333333333332,13.586666666666666,-1.0,代理看空：用电量趋势下行,2008-08-26
2008-08-31,10.19,2008-09-25,11.823333333333332,13.129166666666668,-1.0,代理看空：用电量趋势下行,2008-09-26
2008-09-30,9.67,2008-10-25,11.261666666666665,12.668333333333335,-1.0,代理看空：用电量趋势下行,2008-10-27
2008-10-31,8.27,2008-11-25,10.521666666666667,12.097500000000002,-1.0,代理看空：用电量趋势下行,2008-11-26
2008-11-30,6.67,2008-12-25,9.563333333333333,11.403333333333334,-1.0,代理看空：用电量趋势下行,2008-12-26
2008-12-31,5.23,2009-01-25,8.49,10.594166666666668,-1.0,代理看空：用电量趋势下行,2009-02-02
2009-02-28,-5.22,2009-03-25,5.801666666666666,8.957500000000001,-1.0,代理看空：用电量趋势下行,2009-03-26
2009-03-31,-4.02,2009-04-25,3.4333333333333336,7.628333333333333,-1.0,代理看空：用电量趋势下行,2009-04-27
2009-04-30,-4.03,2009-05-25,1.1500000000000001,6.2058333333333335,-1.0,代理看空：用电量趋势下行,2009-05-26
2009-05-31,-3.66,2009-06-25,-0.8383333333333333,4.841666666666666,-1.0,代理看空：用电量趋势下行,2009-06-26
2009-06-30,-2.24,2009-07-25,-2.3233333333333333,3.6199999999999997,-1.0,代理看空：用电量趋势下行,2009-07-27
2009-07-31,-0.89,2009-08-25,-3.3433333333333337,2.5733333333333337,-1.0,代理看空：用电量趋势下行,2009-08-26
2009-08-31,0.36,2009-09-25,-2.413333333333333,1.6941666666666666,-1.0,代理看空：用电量趋势下行,2009-09-28
2009-09-30,1.4,2009-10-25,-1.5100000000000005,0.9616666666666666,-1.0,代理看空：用电量趋势下行,2009-10-26
2009-10-31,2.79,2009-11-25,-0.37333333333333335,0.38833333333333336,-1.0,代理看空：用电量趋势下行,2009-11-26
2009-11-30,4.77,2009-12-25,1.0316666666666665,0.09666666666666668,1.0,代理看多：用电量趋势上行,2009-12-28
2009-12-31,5.96,2010-01-25,2.3983333333333334,0.03750000000000001,1.0,代理看多：用电量趋势上行,2010-01-26
2010-01-31,40.14,2010-02-25,9.236666666666666,2.9466666666666668,1.0,代理看多：用电量趋势上行,2010-02-26
2010-02-28,25.95,2010-03-25,13.501666666666667,5.5441666666666665,1.0,代理看多：用电量趋势上行,2010-03-26
2010-03-31,24.19,2010-04-25,17.3,7.895,1.0,代理看多：用电量趋势上行,2010-04-26
2010-04-30,23.85,2010-05-25,20.810000000000002,10.218333333333334,1.0,代理看多：用电量趋势上行,2010-05-26
2010-05-31,23.31,2010-06-25,23.900000000000002,12.465833333333334,1.0,代理看多：用电量趋势上行,2010-06-28
2010-06-30,21.57,2010-07-25,26.50166666666667,14.450000000000001,1.0,代理看多：用电量趋势上行,2010-07-26
2010-07-31,20.25,2010-08-25,23.186666666666667,16.211666666666666,1.0,代理看多：用电量趋势上行,2010-08-26
2010-08-31,19.34,2010-09-25,22.084999999999997,17.793333333333333,1.0,代理看多：用电量趋势上行,2010-09-27
2010-09-30,18.05,2010-10-25,21.061666666666667,19.180833333333332,1.0,代理看多：用电量趋势上行,2010-10-26
2010-12-31,14.56,2011-01-25,19.513333333333335,20.161666666666665,-1.0,代理看空：用电量趋势下行,2011-01-26
2011-02-28,12.32,2011-03-25,17.68166666666667,20.790833333333335,-1.0,代理看空：用电量趋势下行,2011-03-28
2011-03-31,13.41,2011-04-25,16.321666666666665,21.411666666666665,-1.0,代理看空：用电量趋势下行,2011-04-26
2011-04-30,11.23,2011-05-25,14.818333333333333,19.0025,-1.0,代理看空：用电量趋势下行,2011-05-26
2011-05-31,10.79,2011-06-25,13.393333333333333,17.739166666666666,-1.0,代理看空：用电量趋势下行,2011-06-27
2011-06-30,13.0,2011-07-25,12.551666666666668,16.80666666666667,-1.0,代理看空：用电量趋势下行,2011-07-26
2011-07-31,11.81,2011-08-25,12.093333333333334,15.803333333333333,-1.0,代理看空：用电量趋势下行,2011-08-26
