date,social_financing_100m,available_date,sf_for_stl,social_financing_sa_100m,seasonal_component,sa_mom_pct,signal_score,signal_text,effective_date
2010-03-31,5107.0,2010-04-20,5107.0,,,,0,未触发,2010-04-21
2010-04-30,7740.0,2010-05-20,7740.0,,,,0,未触发,2010-05-21
2010-05-31,6493.0,2010-06-20,6493.0,,,,0,未触发,2010-06-21
2010-06-30,6027.0,2010-07-20,6027.0,,,,0,未触发,2010-07-21
2010-07-31,5327.0,2010-08-20,5327.0,,,,0,未触发,2010-08-23
2010-08-31,5446.0,2010-09-20,5446.0,,,,0,未触发,2010-09-21
2010-09-30,6004.0,2010-10-20,6004.0,,,,0,未触发,2010-10-21
2010-10-31,5877.0,2010-11-20,5877.0,,,,0,未触发,2010-11-22
2010-11-30,5689.0,2010-12-20,5689.0,,,,0,未触发,2010-12-21
2010-12-31,4807.0,2011-01-20,4807.0,7460.45570634688,-2653.4557063468797,,0,未触发,2011-01-21
2011-01-31,10263.0,2011-02-20,10263.0,7016.059740854981,3246.940259145019,-5.956686601782724,0,未触发,2011-02-21
2011-02-28,5377.0,2011-03-20,5377.0,6734.133258708875,-1357.1332587088748,-4.018302188968404,0,未触发,2011-03-21
2011-03-31,6794.0,2011-04-20,6794.0,6928.513570245077,-134.51357024507735,2.8864933922241764,0,未触发,2011-04-21
2011-04-30,7430.0,2011-05-20,7430.0,6805.801990628536,624.1980093714635,-1.7711097535196174,0,未触发,2011-05-23
2011-05-31,5516.0,2011-06-20,5516.0,6428.5709748632235,-912.5709748632235,-5.542785645023951,0,未触发,2011-06-21
2011-06-30,6339.0,2011-07-20,6339.0,6233.143633118446,105.85636688155428,-3.0399810861376664,0,未触发,2011-07-21
2011-07-31,4916.0,2011-08-20,4916.0,6204.637196626111,-1288.6371966261113,-0.45733642877844316,0,未触发,2011-08-22
2011-08-31,5484.0,2011-09-20,5484.0,6186.11880190613,-702.1188019061302,-0.29846055672765326,0,未触发,2011-09-21
2011-09-30,4693.0,2011-10-20,4693.0,6003.585415820059,-1310.5854158200593,-2.9506931879456744,0,未触发,2011-10-21
2011-10-31,5868.0,2011-11-20,5868.0,5898.729860796715,-30.72986079671481,-1.7465488997131406,0,未触发,2011-11-21
2011-11-30,5629.0,2011-12-20,5629.0,5943.505498175451,-314.5054981754514,0.7590725195998127,0,未触发,2011-12-21
2011-12-31,6406.0,2012-01-20,6406.0,6217.061339708417,188.93866029158266,4.602600967004111,0,未触发,2012-01-30
2012-01-31,7381.0,2012-02-20,7381.0,5917.084901903054,1463.9150980969466,-4.825051924281521,0,未触发,2012-02-21
2012-02-29,7107.0,2012-03-20,7107.0,6041.60113902343,1065.3988609765702,2.104351030696372,0,未触发,2012-03-21
2012-03-31,10114.42,2012-04-20,10114.42,6476.766227628685,3637.6537723713154,7.202810622410527,1,看多事件：实时递归季调社融环比超过5%,2012-04-23
2012-04-30,6817.79,2012-05-20,6817.79,5779.212752692887,1038.5772473071127,-10.77008881315129,0,未触发,2012-05-21
2012-05-31,7932.32,2012-06-20,7932.32,7084.420752702959,847.8992472970401,22.584529344449145,1,看多事件：实时递归季调社融环比超过5%,2012-06-21
2012-06-30,9198.17,2012-07-20,9198.17,7741.695616608282,1456.4743833917182,9.277750247323313,1,看多事件：实时递归季调社融环比超过5%,2012-07-23
2012-07-31,5401.21,2012-08-20,5401.21,7220.541167666788,-1819.331167666788,-6.73178686880248,0,未触发,2012-08-21
2012-08-31,7039.45,2012-09-20,7039.45,7567.255024010106,-527.8050240101068,4.8017710624777665,0,未触发,2012-09-21
2012-09-30,6226.23,2012-10-20,6226.23,7908.472091746425,-1682.2420917464253,4.509126052362089,0,未触发,2012-10-22
2012-10-31,5053.71,2012-11-20,5053.71,6439.450715262882,-1385.7407152628818,-18.57528684986659,0,未触发,2012-11-21
2012-11-30,5220.37,2012-12-20,5220.37,6909.930421520762,-1689.5604215207622,7.3062086668781,1,看多事件：实时递归季调社融环比超过5%,2012-12-21
2012-12-31,4546.08,2013-01-20,4546.08,6733.519213946442,-2187.439213946442,-2.55300989753664,0,未触发,2013-01-21
2013-01-31,10721.0,2013-02-20,10721.0,7331.719095754623,3389.2809042453773,8.883911410977952,1,看多事件：实时递归季调社融环比超过5%,2013-02-21
2013-02-28,6200.0,2013-03-20,6200.0,6926.143162057807,-726.1431620578069,-5.531798591842685,0,未触发,2013-03-21
