date,close,turnover_amount,heat_3m,rolling_mean,rolling_std,cold_line,hot_line,zscore,signal
2005-01-04,982.79,4431977400.0,,,,,,,正常
2005-01-04,982.79,4431977400.0,,,,,,,正常
2005-01-05,992.56,4529208200.0,,,,,,,正常
2005-01-05,992.56,4529208200.0,,,,,,,正常
2005-01-06,983.17,3921015400.0,,,,,,,正常
2005-01-06,983.17,3921015400.0,,,,,,,正常
2005-01-07,983.96,4737469400.0,,,,,,,正常
2005-01-07,983.96,4737469400.0,,,,,,,正常
2005-01-10,993.88,3762932900.0,,,,,,,正常
2005-01-10,993.88,3762932900.0,,,,,,,正常
2005-01-11,997.14,3704076700.0,,,,,,,正常
2005-01-11,997.14,3704076700.0,,,,,,,正常
2005-01-12,996.75,3093299700.0,,,,,,,正常
2005-01-12,996.75,3093299700.0,,,,,,,正常
2005-01-13,996.88,3842173300.0,,,,,,,正常
2005-01-13,996.88,3842173300.0,,,,,,,正常
2005-01-14,988.31,4162921200.0,,,,,,,正常
2005-01-14,988.31,4162921200.0,,,,,,,正常
2005-01-17,967.45,4249807800.0,,,,,,,正常
2005-01-17,967.45,4249807800.0,,,,,,,正常
2005-01-18,974.69,4117944100.0,,,,,,,正常
2005-01-18,974.69,4117944100.0,,,,,,,正常
2005-01-19,967.21,3427951300.0,,,,,,,正常
2005-01-19,967.21,3427951300.0,,,,,,,正常
2005-01-20,956.24,4399350600.0,,,,,,,正常
2005-01-20,956.24,4399350600.0,,,,,,,正常
2005-01-21,982.6,8152086100.0,,,,,,,正常
2005-01-21,982.6,8152086100.0,,,,,,,正常
2005-01-24,998.13,8360161500.0,,,,,,,正常
2005-01-24,998.13,8360161500.0,,,,,,,正常
2005-01-25,997.78,6157022400.0,,,,,,,正常
2005-01-25,997.78,6157022400.0,,,,,,,正常
2005-01-26,989.93,4719440400.0,,,,,,,正常
2005-01-26,989.93,4719440400.0,,,,,,,正常
2005-01-27,974.63,4094398900.0,,,,,,,正常
2005-01-27,974.63,4094398900.0,,,,,,,正常
2005-01-28,969.21,3280950300.0,,,,,,,正常
2005-01-28,969.21,3280950300.0,,,,,,,正常
2005-01-31,954.88,3863573600.0,,,,,,,正常
2005-01-31,954.88,3863573600.0,,,,,,,正常
2005-02-01,955.95,4275706800.0,,,,,,,正常
2005-02-01,955.95,4275706800.0,,,,,,,正常
2005-02-02,1006.91,10202904300.0,,,,,,,正常
2005-02-02,1006.91,10202904300.0,,,,,,,正常
2005-02-03,993.22,10057310300.0,,,,,,,正常
2005-02-03,993.22,10057310300.0,,,,,,,正常
2005-02-04,1016.86,9549870600.0,,,,,,,正常
2005-02-04,1016.86,9549870600.0,,,,,,,正常
2005-02-16,1023.58,7438168200.0,,,,,,,正常
2005-02-16,1023.58,7438168200.0,,,,,,,正常
2005-02-17,1020.61,5513063300.0,,,,,,,正常
2005-02-17,1020.61,5513063300.0,,,,,,,正常
2005-02-18,1006.05,4817732100.0,,,,,,,正常
2005-02-18,1006.05,4817732100.0,,,,,,,正常
2005-02-21,1025.63,6052394900.0,,,,,,,正常
2005-02-21,1025.63,6052394900.0,,,,,,,正常
2005-02-22,1046.74,10922776800.0,,,,,,,正常
2005-02-22,1046.74,10922776800.0,,,,,,,正常
2005-02-23,1043.94,11231940700.0,5702320973.333333,,,,,,正常
2005-02-23,1043.94,11231940700.0,5702320973.333333,,,,,,正常
2005-02-24,1045.46,8993752200.0,5808496174.193548,,,,,,正常
2005-02-24,1045.46,8993752200.0,5808496174.193548,,,,,,正常
2005-02-25,1046.76,11489961200.0,5986041956.25,,,,,,正常
2005-02-25,1046.76,11489961200.0,5986041956.25,,,,,,正常
2005-02-28,1039.99,8190101300.0,6052831633.333333,,,,,,正常
2005-02-28,1039.99,8190101300.0,6052831633.333333,,,,,,正常
2005-03-01,1035.93,6288790700.0,6059771605.882353,,,,,,正常
2005-03-01,1035.93,6288790700.0,6059771605.882353,,,,,,正常
2005-03-02,1021.32,8971307900.0,6142958357.142858,,,,,,正常
2005-03-02,1021.32,8971307900.0,6142958357.142858,,,,,,正常
2005-03-03,1027.71,5582812000.0,6127398736.111111,,,,,,正常
2005-03-03,1027.71,5582812000.0,6127398736.111111,,,,,,正常
2005-03-04,1023.67,5383868100.0,6107303313.513514,,,,,,正常
2005-03-04,1023.67,5383868100.0,6107303313.513514,,,,,,正常
2005-03-07,1029.87,5316473200.0,6086491994.736842,,,,,,正常
2005-03-07,1029.87,5316473200.0,6086491994.736842,,,,,,正常
2005-03-08,1048.99,9851274600.0,6183024882.051282,,,,,,正常
2005-03-08,1048.99,9851274600.0,6183024882.051282,,,,,,正常
2005-03-09,1046.54,9877624300.0,6275389867.5,,,,,,正常
2005-03-09,1046.54,9877624300.0,6275389867.5,,,,,,正常
2005-03-10,1022.41,8380547700.0,6326735180.487804,,,,,,正常
2005-03-10,1022.41,8380547700.0,6326735180.487804,,,,,,正常
2005-03-11,1027.43,7654557000.0,6358349985.714286,,,,,,正常
2005-03-11,1027.43,7654557000.0,6358349985.714286,,,,,,正常
2005-03-14,1031.03,10229428900.0,6448375076.744186,,,,,,正常
2005-03-14,1031.03,10229428900.0,6448375076.744186,,,,,,正常
2005-03-15,1013.52,8091209200.0,6485712215.909091,,,,,,正常
2005-03-15,1013.52,8091209200.0,6485712215.909091,,,,,,正常
2005-03-16,1003.07,7153745900.0,6500557408.888889,,,,,,正常
2005-03-16,1003.07,7153745900.0,6500557408.888889,,,,,,正常
2005-03-17,992.86,6535061300.0,6501307493.478261,,,,,,正常
2005-03-17,992.86,6535061300.0,6501307493.478261,,,,,,正常
2005-03-18,978.66,6314991200.0,6497343317.021276,,,,,,正常
2005-03-18,978.66,6314991200.0,6497343317.021276,,,,,,正常
2005-03-21,981.89,4594520000.0,6457701164.583333,,,,,,正常
2005-03-21,981.89,4594520000.0,6457701164.583333,,,,,,正常
2005-03-22,964.02,6955307700.0,6467856400.0,,,,,,正常
2005-03-22,964.02,6955307700.0,6467856400.0,,,,,,正常
2005-03-23,959.01,7092055400.0,6480340380.0,,,,,,正常
2005-03-23,959.01,7092055400.0,6480340380.0,,,,,,正常
2005-03-24,964.8,6446642600.0,6479679639.215686,,,,,,正常
2005-03-24,964.8,6446642600.0,6479679639.215686,,,,,,正常
2005-03-25,962.96,4258127200.0,6436957476.923077,,,,,,正常
2005-03-25,962.96,4258127200.0,6436957476.923077,,,,,,正常
2005-03-28,960.7,4141656400.0,6393649909.433962,,,,,,正常
2005-03-28,960.7,4141656400.0,6393649909.433962,,,,,,正常
2005-03-29,955.19,4842151100.0,6364918450.0,,,,,,正常
2005-03-29,955.19,4842151100.0,6364918450.0,,,,,,正常
2005-03-30,937.03,5459378800.0,6348454092.727273,,,,,,正常
2005-03-30,937.03,5459378800.0,6348454092.727273,,,,,,正常
2005-03-31,942.2,4555322800.0,6316433891.071428,,,,,,正常
