date,market_cap,gdp,buffett_ratio,q10,q90,signal
2008-01-31,277854.82,194325.7,1.4298408290823086,,,正常
2008-01-31,277854.82,194325.7,1.4298408290823086,,,正常
2008-02-29,281633.02,194325.7,1.4492834452674042,,,正常
2008-02-29,281633.02,194325.7,1.4492834452674042,,,正常
2008-03-31,226789.14,194325.7,1.1670568535196322,,,正常
2008-03-31,226789.13999999998,194325.7,1.1670568535196322,,,正常
2008-04-30,240244.25,194325.7,1.2362968459653043,,,正常
2008-04-30,240244.25,194325.7,1.2362968459653045,,,正常
2008-05-31,224866.7,194325.7,1.1571639777960403,,,正常
2008-05-31,224866.69999999998,194325.7,1.1571639777960403,,,正常
2008-06-30,178035.09999999998,194325.7,0.9161685767760002,,,正常
2008-06-30,178035.09999999998,194325.7,0.9161685767760002,,,正常
2008-07-31,181884.6,194325.7,0.9359781027419428,,,正常
2008-07-31,181884.59999999998,194325.7,0.9359781027419428,,,正常
2008-08-31,155435.29,194325.7,0.799869960586788,,,正常
2008-08-31,155435.29,194325.7,0.799869960586788,,,正常
2008-09-30,148163.98,194325.7,0.762451801280016,,,正常
2008-09-30,148163.98,194325.7,0.762451801280016,,,正常
2008-10-31,112067.8,194325.7,0.5767008686962146,,,正常
2008-10-31,112067.8,194325.7,0.5767008686962146,,,正常
2008-11-30,122484.23999999999,194325.7,0.630303866138138,,,正常
2008-11-30,122484.24,194325.7,0.630303866138138,,,正常
2008-12-31,121366.44,324317.8,0.3742207180734452,,,正常
2008-12-31,121366.44,324317.8,0.37422071807344526,,,正常
2009-01-31,133095.49,324317.8,0.4103860164320305,,,正常
2009-01-31,133095.49,324317.8,0.41038601643203054,,,正常
2009-02-28,140389.2,324317.8,0.4328754080102912,,,正常
2009-02-28,140389.2,324317.8,0.4328754080102912,,,正常
2009-03-31,161474.24,324317.8,0.4978889225321583,,,正常
2009-03-31,161474.24,324317.8,0.4978889225321583,,,正常
2009-04-30,169253.31,324317.8,0.5218748708828193,,,正常
2009-04-30,169253.31,324317.8,0.5218748708828193,,,正常
2009-05-31,179786.64,324317.8,0.5543532917403856,,,正常
2009-05-31,179786.64,324317.8,0.5543532917403856,,,正常
2009-06-30,201448.06127578,324317.8,0.6211440176141427,,,正常
2009-06-30,201448.06127578,324317.8,0.6211440176141427,,,正常
2009-07-31,235734.80384451,324317.8,0.7268636005933378,,,正常
2009-07-31,235734.80384451,324317.8,0.7268636005933378,,,正常
2009-08-31,187095.39617487,324317.8,0.5768890766244406,,,正常
2009-08-31,187095.39617487,324317.8,0.5768890766244406,,,正常
2009-09-30,196901.69042291,324317.8,0.607125758817154,,,正常
2009-09-30,196901.69042291,324317.8,0.607125758817154,,,正常
2009-10-31,215892.01166454,324317.8,0.6656804272369263,,,正常
2009-10-31,215892.01166454,324317.8,0.6656804272369263,,,正常
2009-11-30,235903.04006219,324317.8,0.7273823393664794,,,正常
2009-11-30,235903.04006219,324317.8,0.7273823393664794,,,正常
2009-12-31,243939.11870837002,75341.3,3.237787491168456,0.45237946236685134,1.3717776341472072,泡沫区域
2009-12-31,243939.11870837,75341.3,3.237787491168456,0.4523794623668513,1.3717776341472072,泡沫区域
2010-01-31,226361.61794739,75341.3,3.0044825075674293,0.458880813819038,1.441506398793366,泡沫区域
2010-01-31,226361.61794738998,75341.3,3.0044825075674293,0.45888081381903806,1.441506398793366,泡沫区域
2010-02-28,236596.99938062998,75341.3,3.1403360358877532,0.4653821652712247,2.226882976417417,泡沫区域
2010-02-28,236596.99938063,75341.3,3.140336035887753,0.4653821652712247,2.226882976417417,泡沫区域
2010-03-31,244952.57940765,75341.3,3.251239086764497,0.4718835167234114,3.058823918895559,泡沫区域
2010-03-31,244952.57940765,75341.3,3.251239086764497,0.47188351672341144,3.058823918895559,泡沫区域
2010-04-30,227905.50999999998,75341.3,3.024974482786997,0.47838486817559817,3.0595829487172237,正常
2010-04-30,227905.51,75341.3,3.024974482786997,0.4783848681755981,3.059582948717224,正常
2010-05-31,209639.43105674,75341.3,2.7825300473543724,0.4848862196277849,3.048046793407148,正常
2010-05-31,209639.43105674,75341.3,2.7825300473543724,0.4848862196277849,3.0480467934071482,正常
2010-06-30,195138.728,75341.3,2.5900631924323045,0.4913875710799716,3.036510638097073,正常
2010-06-30,195138.728,75341.3,2.5900631924323045,0.4913875710799716,3.036510638097073,正常
2010-07-31,225922.052,75341.3,2.99864817835636,0.4978889225321583,3.024974482786997,正常
2010-07-31,225922.052,75341.3,2.9986481783563597,0.4978889225321583,3.024974482786997,正常
2010-08-31,235121.358,75341.3,3.1207499472400926,0.5002875173672243,3.1111724007947834,泡沫区域
2010-08-31,235121.358,75341.3,3.1207499472400926,0.5002875173672243,3.1111724007947834,泡沫区域
2010-09-30,238740.361,75341.3,3.1687847302873724,0.5026861122022904,3.136418818158221,泡沫区域
2010-09-30,238740.361,75341.3,3.1687847302873724,0.5026861122022904,3.136418818158221,泡沫区域
2010-10-31,270133.58640000003,75341.3,3.5854648964113975,0.5050847070373565,3.160250121967487,泡沫区域
2010-10-31,270133.58640000003,75341.3,3.585464896411397,0.5050847070373565,3.160250121967487,泡沫区域
2010-11-30,264315.5791,75341.3,3.508242877412521,0.5074833018724226,3.2101863868160225,泡沫区域
2010-11-30,264315.5791,75341.3,3.508242877412521,0.5074833018724226,3.2101863868160225,泡沫区域
