date,earnings_yield,pe_ttm,bond_yield_10y,erp,q10,q25,q50,q75,q90,signal
2007-01-15,3.2435939020434645,30.83,3.0167,0.2268939020434643,,,,,,正常
2007-01-15,3.2435939020434645,30.83,3.0167,0.22689390204346438,,,,,,正常
2007-01-16,3.056234718826406,32.72,3.0175,0.03873471882640578,,,,,,正常
2007-01-16,3.056234718826406,32.72,3.0175,0.0387347188264057,,,,,,正常
2007-01-17,3.107520198881293,32.18,3.0176,0.0899201988812929,,,,,,正常
2007-01-17,3.107520198881293,32.18,3.0176,0.08992019888129299,,,,,,正常
2007-01-18,3.133813851457224,31.91,3.0273,0.1065138514572234,,,,,,正常
2007-01-18,3.1338138514572234,31.91,3.0273,0.10651385145722347,,,,,,正常
2007-01-19,3.050640634533252,32.78,3.032,0.0186406345332517,,,,,,正常
2007-01-19,3.0506406345332517,32.78,3.032,0.01864063453325171,,,,,,正常
2007-01-22,2.9437739181630853,33.97,3.0277,-0.08392608183691452,,,,,,正常
2007-01-22,2.9437739181630853,33.97,3.0277,-0.0839260818369145,,,,,,正常
2007-01-23,2.696871628910464,37.08,3.0373,-0.34042837108953616,,,,,,正常
2007-01-23,2.696871628910464,37.08,3.0373,-0.3404283710895361,,,,,,正常
2007-01-24,2.697599136768276,37.07,3.0267,-0.32910086323172383,,,,,,正常
2007-01-24,2.697599136768276,37.07,3.0267,-0.3291008632317238,,,,,,正常
2007-01-25,2.816901408450704,35.5,3.032,-0.215098591549296,,,,,,正常
2007-01-25,2.816901408450704,35.5,3.032,-0.215098591549296,,,,,,正常
2007-01-26,2.790178571428571,35.84,3.0374,-0.2472214285714287,,,,,,正常
2007-01-26,2.790178571428571,35.84,3.0374,-0.2472214285714287,,,,,,正常
2007-01-29,2.7344818156959256,36.57,3.0427,-0.3082181843040743,,,,,,正常
2007-01-29,2.7344818156959256,36.57,3.0427,-0.3082181843040743,,,,,,正常
2007-01-30,2.7495188342040144,36.37,3.0559,-0.3063811657959854,,,,,,正常
2007-01-30,2.7495188342040144,36.37,3.0559,-0.3063811657959854,,,,,,正常
2007-01-31,2.897710808461316,34.51,3.0671,-0.1693891915386842,,,,,,正常
2007-01-31,2.8977108084613157,34.51,3.0671,-0.16938919153868426,,,,,,正常
2007-02-01,2.898550724637681,34.5,3.0676,-0.1690492753623189,,,,,,正常
2007-02-01,2.898550724637681,34.5,3.0676,-0.16904927536231895,,,,,,正常
2007-02-02,3.028467595396729,33.02,3.0598,-0.0313324046032712,,,,,,正常
2007-02-02,3.028467595396729,33.02,3.0598,-0.03133240460327125,,,,,,正常
2007-02-05,3.10077519379845,32.25,3.0765,0.02427519379845,,,,,,正常
2007-02-05,3.10077519379845,32.25,3.0765,0.02427519379845,,,,,,正常
2007-02-06,3.0303030303030303,33.0,3.0705,-0.0401969696969697,,,,,,正常
2007-02-06,3.0303030303030303,33.0,3.0705,-0.04019696969696973,,,,,,正常
2007-02-07,2.985074626865672,33.5,3.0704,-0.0853253731343279,,,,,,正常
2007-02-07,2.985074626865672,33.5,3.0704,-0.08532537313432798,,,,,,正常
2007-02-08,2.965599051008304,33.72,3.0814,-0.115800948991696,,,,,,正常
2007-02-08,2.965599051008304,33.72,3.0814,-0.11580094899169602,,,,,,正常
2007-02-09,2.977076510866329,33.59,3.1171,-0.1400234891336711,,,,,,正常
2007-02-09,2.977076510866329,33.59,3.1171,-0.14002348913367113,,,,,,正常
2007-02-12,2.898550724637681,34.5,3.1355,-0.2369492753623188,,,,,,正常
2007-02-12,2.898550724637681,34.5,3.1355,-0.2369492753623188,,,,,,正常
2007-02-13,2.873563218390805,34.8,3.1367,-0.26313678160919496,,,,,,正常
2007-02-13,2.873563218390805,34.8,3.1367,-0.2631367816091949,,,,,,正常
2007-02-14,2.8003360403248387,35.71,3.137,-0.3366639596751613,,,,,,正常
2007-02-14,2.8003360403248387,35.71,3.137,-0.3366639596751613,,,,,,正常
2007-02-15,2.7159152634437804,36.82,3.1365,-0.4205847365562194,,,,,,正常
2007-02-15,2.7159152634437804,36.82,3.1365,-0.4205847365562194,,,,,,正常
2007-02-16,2.712232167073502,36.87,3.1361,-0.423867832926498,,,,,,正常
