月份,当月,当月同比增长,累计
2013年04月份,97.3825,-2.6175,98.0494
2013年03月份,98.081,-1.919,98.2726
2013年02月份,98.3746,-1.6254,98.3688
2013年01月份,98.3628,-1.6372,98.3628
2012年12月份,98.0603,-1.9397,98.282
2012年11月份,97.8,-2.1995,98.302
2012年10月份,97.2,-2.7558,98.3518
2012年09月份,96.4,-3.5545,98.4748
2012年08月份,96.5,-3.4784,98.7304
2012年07月份,97.1,-2.8651,99.0486
2012年06月份,97.9,-2.0843,99.3703
2012年05月份,98.6,-1.3981,99.664
2012年04月份,99.3,-0.6984,99.933
2012年03月份,99.7,-0.3171,100.146
2012年02月份,100.0,0.0284,100.38
2012年01月份,100.7,0.7347,100.7347
2011年12月份,101.7,1.6854,106.026
2011年11月份,102.7,2.7179,106.4352
2011年10月份,105.0,5.0038,106.8191
2011年09月份,106.5,6.5227,107.0247
2011年08月份,107.3,7.2528,107.0883
2011年07月份,107.5,7.5417,107.0646
2011年06月份,107.1,7.1209,106.9849
2011年05月份,106.8,6.7851,106.9575
2011年04月份,106.8,6.821,107.0012
2011年03月份,107.3,7.3081,107.0621
2011年02月份,107.2,7.2322,106.9383
2011年01月份,106.6,6.6436,106.6436
2010年12月份,105.9,5.93,105.54
2010年11月份,106.1,6.06,105.51
2010年10月份,105.0,5.04,105.45
2010年09月份,104.3,4.33,105.5
2010年08月份,104.3,4.32,105.64
2010年07月份,104.8,4.84,105.83
2010年06月份,106.4,6.41,106.0
2010年05月份,107.1,7.13,105.9
2010年04月份,106.8,6.81,105.61
2010年03月份,105.9,5.91,105.21
2010年02月份,105.4,5.39,104.86
2010年01月份,104.3,4.32,104.32
2009年12月份,101.7,1.7,94.61
2009年11月份,97.9,-2.08,93.96
2009年10月份,94.2,-5.85,93.57
2009年09月份,93.0,-6.99,93.5
2009年08月份,92.1,-7.86,93.56
2009年07月份,91.8,-8.22,93.76
2009年06月份,92.2,-7.8,94.1
2009年05月份,92.8,-7.2,94.48
2009年04月份,93.4,-6.6,94.9
2009年03月份,94.0,-5.99,95.4
2009年02月份,95.5,-4.47,96.1
2009年01月份,96.7,-3.35,96.65
2008年12月份,98.9,-1.14,106.87
2008年11月份,102.0,1.99,107.6
2008年10月份,106.6,6.59,108.16
2008年09月份,109.1,9.13,108.34
2008年08月份,110.1,10.06,108.2
2008年07月份,110.0,10.03,108.0
2008年06月份,108.8,8.84,107.6
2008年05月份,108.2,8.22,107.4
2008年04月份,108.1,8.12,107.2
2008年03月份,108.0,7.95,106.9
2008年02月份,106.6,6.62,106.4
2008年01月份,106.1,6.07,106.07
2007年12月份,105.4,5.43,103.1
2007年11月份,104.6,4.55,102.9
2007年10月份,103.2,3.21,102.8
2007年09月份,102.7,2.71,102.7
2007年08月份,102.6,2.56,102.7
2007年07月份,102.4,2.39,102.7
2007年06月份,102.5,2.49,102.8
2007年05月份,102.8,2.76,102.8
2007年04月份,102.9,2.87,102.9
2007年03月份,102.7,2.65,102.9
2007年02月份,102.6,2.6,103.0
2007年01月份,103.3,3.3,103.3
2006年12月份,103.1,3.05,103.0
2006年11月份,102.8,2.78,103.0
2006年10月份,103.0,2.9,103.0
2006年09月份,103.5,3.45,103.0
2006年08月份,103.4,3.4,102.9
2006年07月份,103.6,3.58,102.9
2006年06月份,103.5,3.52,102.7
2006年05月份,102.4,2.43,102.57
2006年04月份,101.9,1.87,102.6
2006年03月份,102.5,2.49,102.9
2006年02月份,103.0,3.01,103.0
2006年01月份,103.1,3.05,103.05
