date,close,ma10,ma30,ma60,ma90,bull_alignment,bear_alignment,signal
2007-01-15,2197.14,,,,,False,False,震荡
2007-01-15,2197.14,,,,,False,False,震荡
2007-01-16,2263.73,,,,,False,False,震荡
2007-01-16,2263.73,,,,,False,False,震荡
2007-01-17,2225.5,,,,,False,False,震荡
2007-01-17,2225.5,,,,,False,False,震荡
2007-01-18,2244.06,,,,,False,False,震荡
2007-01-18,2244.06,,,,,False,False,震荡
2007-01-19,2321.36,2250.358,,,,False,False,震荡
2007-01-19,2321.36,2250.358,,,,False,False,震荡
2007-01-22,2417.01,2278.133333333333,,,,False,False,震荡
2007-01-22,2417.01,2278.133333333333,,,,False,False,震荡
2007-01-23,2430.22,2299.86,,,,False,False,震荡
2007-01-23,2430.22,2299.86,,,,False,False,震荡
2007-01-24,2456.74,2319.47,,,,False,False,震荡
2007-01-24,2456.74,2319.47,,,,False,False,震荡
2007-01-25,2367.27,2324.781111111111,,,,False,False,震荡
2007-01-25,2367.27,2324.781111111111,,,,False,False,震荡
2007-01-26,2415.02,2333.805,,,,False,False,震荡
2007-01-26,2415.02,2333.805,,,,False,False,震荡
2007-01-29,2481.14,2362.205,,,,False,False,震荡
2007-01-29,2481.14,2362.205,,,,False,False,震荡
2007-01-30,2461.32,2381.964,,,,False,False,震荡
2007-01-30,2461.32,2381.964,,,,False,False,震荡
2007-01-31,2309.14,2390.328,,,,False,False,震荡
2007-01-31,2309.14,2390.328,,,,False,False,震荡
2007-02-01,2322.05,2398.127,,,,False,False,震荡
2007-02-01,2322.05,2398.127,,,,False,False,震荡
2007-02-02,2240.11,2390.002,2343.454,,,False,False,震荡
2007-02-02,2240.11,2390.002,2343.4539999999997,,,False,False,震荡
2007-02-05,2226.79,2370.98,2336.1625,,,False,False,震荡
2007-02-05,2226.79,2370.98,2336.1625,,,False,False,震荡
2007-02-06,2271.17,2355.075,2332.339411764706,,,False,False,震荡
2007-02-06,2271.17,2355.075,2332.339411764706,,,False,False,震荡
2007-02-07,2321.07,2341.5080000000003,2331.713333333333,,,False,False,震荡
2007-02-07,2321.07,2341.5080000000003,2331.713333333333,,,False,False,震荡
2007-02-08,2361.53,2340.934,2333.2826315789475,,,False,False,震荡
2007-02-08,2361.53,2340.934,2333.2826315789475,,,False,False,震荡
2007-02-09,2353.79,2334.811,2334.308,,,False,False,震荡
2007-02-09,2353.79,2334.811,2334.308,,,False,False,震荡
2007-02-12,2432.79,2329.976,2338.997619047619,,,False,False,震荡
2007-02-12,2432.79,2329.976,2338.997619047619,,,False,False,震荡
2007-02-13,2471.23,2330.967,2345.008181818182,,,False,False,震荡
2007-02-13,2471.23,2330.967,2345.008181818182,,,False,False,震荡
2007-02-14,2533.05,2353.358,2353.1839130434782,,,False,False,震荡
2007-02-14,2533.05,2353.3579999999997,2353.1839130434782,,,False,False,震荡
2007-02-15,2611.84,2382.337,2363.96125,,,False,False,震荡
2007-02-15,2611.84,2382.337,2363.96125,,,False,False,震荡
2007-02-16,2625.09,2420.835,2374.4064000000003,,,False,False,震荡
2007-02-16,2625.09,2420.835,2374.4064000000003,,,False,False,震荡
2007-02-26,2673.16,2465.472,2385.896923076923,,,False,False,震荡
2007-02-26,2673.16,2465.472,2385.896923076923,,,False,False,震荡
2007-02-27,2428.06,2481.161,2387.4585185185183,,,False,False,震荡
2007-02-27,2428.06,2481.161,2387.4585185185183,,,False,False,震荡
2007-02-28,2519.74,2501.028,2392.182857142857,,,False,False,震荡
2007-02-28,2519.74,2501.028,2392.182857142857,,,False,False,震荡
2007-03-01,2453.43,2510.218,2394.294827586207,,,False,False,震荡
2007-03-01,2453.43,2510.218,2394.294827586207,,,False,False,震荡
2007-03-02,2490.61,2523.9,2397.505333333333,2397.505333333333,,False,False,震荡
2007-03-02,2490.61,2523.9,2397.5053333333335,2397.5053333333335,,False,False,震荡
2007-03-05,2467.99,2527.42,2406.5336666666667,2399.7790322580645,,False,False,震荡
2007-03-05,2467.99,2527.42,2406.5336666666667,2399.7790322580645,,False,False,震荡
2007-03-06,2502.27,2530.524,2414.485,2402.981875,,True,False,多头排列
2007-03-06,2502.27,2530.524,2414.485,2402.981875,,True,False,多头排列
2007-03-07,2569.82,2534.201,2425.962333333334,2408.037575757576,,True,False,多头排列
2007-03-07,2569.82,2534.201,2425.962333333334,2408.0375757575757,,True,False,多头排列
2007-03-08,2611.76,2534.193,2438.219,2414.029411764706,,True,False,多头排列
2007-03-08,2611.76,2534.193,2438.219,2414.029411764706,,True,False,多头排列
2007-03-09,2600.46,2531.73,2447.522333333334,2419.356,,True,False,多头排列
2007-03-09,2600.46,2531.73,2447.522333333334,2419.356,,True,False,多头排列
2007-03-12,2618.58,2526.272,2454.241333333333,2424.89,,True,False,多头排列
2007-03-12,2618.58,2526.272,2454.241333333333,2424.89,,True,False,多头排列
2007-03-13,2644.15,2547.881,2461.3723333333332,2430.815945945946,,True,False,多头排列
2007-03-13,2644.15,2547.881,2461.372333333333,2430.815945945946,,True,False,多头排列
2007-03-14,2607.61,2556.668,2466.4013333333337,2435.4684210526316,,True,False,多头排列
2007-03-14,2607.61,2556.668,2466.4013333333337,2435.468421052632,,True,False,多头排列
2007-03-15,2656.46,2576.9710000000005,2476.041,2441.134871794872,,True,False,多头排列
2007-03-15,2656.46,2576.9710000000005,2476.0409999999997,2441.1348717948717,,True,False,多头排列
2007-03-16,2613.28,2589.2380000000003,2482.6496666666662,2445.4385,,True,False,多头排列
2007-03-16,2613.28,2589.2380000000003,2482.6496666666662,2445.4385,,True,False,多头排列
2007-03-19,2664.51,2608.8900000000003,2488.762,2450.781707317073,,True,False,多头排列
2007-03-19,2664.51,2608.8900000000003,2488.762,2450.781707317073,,True,False,多头排列
2007-03-20,2689.09,2627.572,2496.3543333333337,2456.4557142857143,,True,False,多头排列
2007-03-20,2689.09,2627.572,2496.3543333333337,2456.4557142857143,,True,False,多头排列
2007-03-21,2723.28,2642.918,2510.159,2462.6609302325583,,True,False,多头排列
2007-03-21,2723.28,2642.918,2510.159,2462.6609302325583,,True,False,多头排列
2007-03-22,2730.32,2654.7740000000003,2523.7680000000005,2468.744090909091,,True,False,多头排列
