date,qvix
2016-04-20,25.62
2016-04-21,25.05
2016-04-22,24.52
2016-04-25,25.16
2016-04-26,25.53
2016-04-27,25.47
2016-04-28,24.4
2016-04-29,23.58
2016-05-03,23.41
2016-05-04,22.86
2016-05-05,22.53
2016-05-06,23.49
2016-05-09,26.11
2016-05-10,24.89
2016-05-11,23.47
2016-05-12,23.45
2016-05-13,22.79
2016-05-16,22.5
2016-05-17,22.03
2016-05-18,22.13
2016-05-19,21.42
2016-05-20,20.54
2016-05-23,19.82
2016-05-24,19.64
2016-05-25,20.28
2016-05-26,18.9
2016-05-27,18.37
2016-05-30,18.57
2016-05-31,21.51
2016-06-01,20.86
2016-06-02,20.69
2016-06-03,20.79
2016-06-06,20.88
2016-06-07,20.67
2016-06-08,21.01
2016-06-13,23.06
2016-06-14,21.88
2016-06-15,19.7
2016-06-16,19.34
2016-06-17,18.49
2016-06-20,19.33
2016-06-21,19.24
2016-06-22,19.84
2016-06-23,20.34
2016-06-24,20.71
2016-06-27,20.43
2016-06-28,19.67
2016-06-29,19.23
2016-06-30,18.58
2016-07-01,18.21
2016-07-04,18.27
2016-07-05,18.64
2016-07-06,18.65
2016-07-07,19.3
2016-07-08,19.3
2016-07-11,19.0
2016-07-12,18.91
2016-07-13,19.69
2016-07-14,19.49
2016-07-15,19.55
2016-07-18,20.31
2016-07-19,20.4
2016-07-20,20.22
2016-07-21,20.27
2016-07-22,20.0
2016-07-25,19.87
2016-07-26,19.46
2016-07-27,20.32
2016-07-28,18.89
2016-07-29,18.75
2016-08-01,18.76
2016-08-02,18.29
2016-08-03,17.84
2016-08-04,17.45
2016-08-05,17.11
2016-08-08,17.01
2016-08-09,16.64
2016-08-10,16.65
2016-08-11,16.8
2016-08-12,17.69
2016-08-15,20.19
2016-08-16,19.36
2016-08-17,19.34
2016-08-18,19.48
2016-08-19,19.45
2016-08-22,19.73
2016-08-23,19.42
2016-08-24,19.47
2016-08-25,19.71
2016-08-26,19.6
2016-08-29,20.12
2016-08-30,20.1
2016-08-31,20.47
2016-09-01,20.53
2016-09-02,20.38
2016-09-05,20.34
2016-09-06,20.14
2016-09-07,20.12
2016-09-08,19.66
2016-09-09,18.6
2016-09-12,19.31
2016-09-13,17.55
2016-09-14,17.63
2016-09-19,17.45
2016-09-20,17.06
2016-09-21,17.35
2016-09-22,16.26
2016-09-23,15.81
2016-09-26,16.3
2016-09-27,16.5
2016-09-28,16.59
2016-09-29,15.44
2016-09-30,16.31
2016-10-10,16.78
2016-10-11,16.13
2016-10-12,16.08
2016-10-13,15.78
2016-10-14,15.21
2016-10-17,14.88
2016-10-18,15.24
2016-10-19,15.64
2016-10-20,15.19
2016-10-21,14.97
2016-10-24,15.91
2016-10-25,16.14
2016-10-26,16.37
2016-10-27,15.97
2016-10-28,16.11
2016-10-31,16.11
2016-11-01,16.35
2016-11-02,16.68
2016-11-03,17.74
2016-11-04,17.86
2016-11-07,19.01
2016-11-08,18.59
2016-11-09,18.37
2016-11-10,17.03
2016-11-11,16.27
2016-11-14,17.0
2016-11-15,16.92
2016-11-16,16.6
2016-11-17,16.24
2016-11-18,15.87
2016-11-21,15.65
2016-11-22,16.14
2016-11-23,16.35
2016-11-24,16.13
2016-11-25,16.03
2016-11-28,15.62
2016-11-29,14.86
2016-11-30,16.39
2016-12-01,15.83
2016-12-02,16.22
2016-12-05,16.32
2016-12-06,15.67
2016-12-07,15.15
2016-12-08,14.15
2016-12-09,14.55
2016-12-12,15.44
2016-12-13,15.43
2016-12-14,15.85
2016-12-15,17.17
2016-12-16,16.48
2016-12-19,16.97
2016-12-20,18.42
2016-12-21,17.38
2016-12-22,17.66
2016-12-23,17.51
2016-12-26,17.63
2016-12-27,18.41
2016-12-28,18.28
2016-12-29,17.34
2016-12-30,17.22
2017-01-03,15.86
2017-01-04,14.74
2017-01-05,14.73
2017-01-06,14.49
2017-01-09,14.12
2017-01-10,13.83
2017-01-11,13.78
2017-01-12,13.79
2017-01-13,13.29
2017-01-16,13.34
2017-01-17,12.32
2017-01-18,12.07
2017-01-19,12.08
2017-01-20,11.7
2017-01-23,11.66
2017-01-24,11.63
2017-01-25,11.43
2017-01-26,11.32
2017-02-03,12.43
2017-02-06,12.51
2017-02-07,11.92
2017-02-08,12.78
2017-02-09,12.63
2017-02-10,12.44
2017-02-13,12.04
2017-02-14,11.37
2017-02-15,11.1
2017-02-16,11.19
2017-02-17,11.64
2017-02-20,12.05
2017-02-21,12.29
2017-02-22,11.87
2017-02-23,11.06
2017-02-24,11.24
2017-02-27,12.1
2017-02-28,11.94
2017-03-01,11.72
2017-03-02,12.03
2017-03-03,11.34
2017-03-06,11.79
2017-03-07,11.6
2017-03-08,10.82
2017-03-09,10.57
2017-03-10,10.29
2017-03-13,10.63
2017-03-14,10.78
2017-03-15,11.49
2017-03-16,10.34
2017-03-17,10.12
2017-03-20,10.1
2017-03-21,10.11
2017-03-22,10.1
2017-03-23,9.45
2017-03-24,9.43
2017-03-27,10.25
2017-03-28,10.35
2017-03-29,10.04
2017-03-30,9.93
2017-03-31,9.65
2017-04-05,10.07
2017-04-06,10.09
2017-04-07,10.05
2017-04-10,10.12
2017-04-11,9.98
2017-04-12,9.97
2017-04-13,9.99
2017-04-14,10.42
2017-04-17,10.25
2017-04-18,10.31
2017-04-19,10.67
2017-04-20,10.19
2017-04-21,9.72
2017-04-24,10.07
2017-04-25,9.67
2017-04-26,9.29
2017-04-27,9.1
2017-04-28,9.13
2017-05-02,9.09
2017-05-03,9.06
2017-05-04,9.0
2017-05-05,9.29
2017-05-08,9.25
2017-05-09,8.84
2017-05-10,8.38
2017-05-11,8.31
2017-05-12,8.75
2017-05-15,8.87
2017-05-16,8.67
2017-05-17,8.56
2017-05-18,8.49
2017-05-19,8.64
2017-05-22,8.47
2017-05-23,8.59
2017-05-24,8.7
2017-05-25,12.35
2017-05-26,10.88
2017-05-31,12.03
2017-06-01,12.12
2017-06-02,12.9
2017-06-05,12.46
2017-06-06,12.48
2017-06-07,13.83
2017-06-08,14.23
2017-06-09,15.09
2017-06-12,15.45
2017-06-13,15.09
2017-06-14,14.49
2017-06-15,13.9
2017-06-16,13.28
2017-06-19,13.69
2017-06-20,13.99
2017-06-21,13.37
2017-06-22,13.61
2017-06-23,13.9
2017-06-26,15.38
2017-06-27,14.86
2017-06-28,15.04
2017-06-29,14.47
2017-06-30,14.4
2017-07-03,14.07
2017-07-04,13.3
2017-07-05,14.22
2017-07-06,13.82
2017-07-07,13.88
2017-07-10,13.9
2017-07-11,13.73
2017-07-12,14.78
2017-07-13,14.78
2017-07-14,15.76
2017-07-17,17.35
2017-07-18,16.92
2017-07-19,16.99
2017-07-20,17.2
2017-07-21,16.15
2017-07-24,15.71
2017-07-25,15.38
2017-07-26,15.93
2017-07-27,15.88
2017-07-28,15.57
2017-07-31,15.75
2017-08-01,15.06
2017-08-02,14.82
2017-08-03,15.27
2017-08-04,14.94
2017-08-07,15.37
2017-08-08,14.99
2017-08-09,14.25
2017-08-10,13.68
2017-08-11,14.6
2017-08-14,14.27
2017-08-15,14.0
2017-08-16,13.92
2017-08-17,13.69
2017-08-18,13.46
2017-08-21,13.1
2017-08-22,12.46
2017-08-23,13.11
2017-08-24,12.78
2017-08-25,13.83
2017-08-28,14.32
2017-08-29,14.94
2017-08-30,14.67
2017-08-31,14.59
2017-09-01,14.5
2017-09-04,15.01
2017-09-05,14.99
2017-09-06,15.22
2017-09-07,14.71
2017-09-08,14.46
2017-09-11,15.11
2017-09-12,15.17
2017-09-13,15.31
2017-09-14,14.06
2017-09-15,13.62
2017-09-18,13.7
2017-09-19,12.94
2017-09-20,12.81
2017-09-21,12.75
2017-09-22,12.59
2017-09-25,12.82
2017-09-26,12.73
2017-09-27,12.31
2017-09-28,10.53
2017-09-29,11.12
2017-10-09,11.58
2017-10-10,11.64
2017-10-11,11.06
2017-10-12,10.68
2017-10-13,10.66
2017-10-16,10.55
2017-10-17,10.66
2017-10-18,10.26
2017-10-19,10.46
2017-10-20,10.46
2017-10-23,10.33
2017-10-24,11.59
2017-10-25,11.35
2017-10-26,11.16
2017-10-27,10.72
2017-10-30,11.59
2017-10-31,10.93
2017-11-01,10.62
2017-11-02,10.57
2017-11-03,10.41
2017-11-06,10.67
2017-11-07,10.41
2017-11-08,10.76
2017-11-09,10.86
2017-11-10,11.43
2017-11-13,11.52
2017-11-14,12.21
2017-11-15,12.31
2017-11-16,12.03
2017-11-17,12.65
2017-11-20,14.56
2017-11-21,14.54
2017-11-22,15.36
2017-11-23,16.1
2017-11-24,16.92
2017-11-27,18.02
2017-11-28,15.06
2017-11-29,15.68
2017-11-30,16.8
2017-12-01,17.99
2017-12-04,16.03
2017-12-05,15.33
2017-12-06,16.24
2017-12-07,15.75
2017-12-08,15.03
2017-12-11,14.68
