date,dividend_yield_1_pct,dividend_yield_2_pct
2026-06-26,2.33,1.91
2026-06-29,2.31,1.89
2026-06-30,2.22,1.8
2026-07-01,2.22,1.81
2026-07-02,2.28,1.87
2026-07-03,2.27,1.86
2026-07-06,2.27,1.86
2026-07-07,2.29,1.88
2026-07-08,2.3,1.9
2026-07-09,2.26,1.85
2026-07-10,2.29,1.89
2026-07-13,2.34,1.94
2026-07-14,2.3,1.9
2026-07-15,2.3,1.91
2026-07-16,2.34,1.95
2026-07-17,2.42,2.03
2026-07-20,2.38,2.02
2026-07-21,2.33,1.94
2026-07-22,2.33,1.95
2026-07-23,2.33,1.95
