date,social_financing_100m,available_date
2021-09-30,17755.0,2021-10-20
2021-10-31,7752.0,2021-11-20
2021-11-30,13021.0,2021-12-20
2021-12-31,10350.0,2022-01-20
2022-01-31,41988.0,2022-02-20
2022-02-28,9084.0,2022-03-20
2022-03-31,32291.0,2022-04-20
2022-04-30,3616.0,2022-05-20
2022-05-31,18230.0,2022-06-20
2022-06-30,30540.0,2022-07-20
2022-07-31,4088.0,2022-08-20
2022-08-31,13344.0,2022-09-20
2022-09-30,25686.0,2022-10-20
2022-10-31,4431.0,2022-11-20
2022-11-30,11448.0,2022-12-20
2022-12-31,14401.0,2023-01-20
2023-01-31,49314.0,2023-02-20
2023-02-28,18184.0,2023-03-20
2023-03-31,39487.0,2023-04-20
2023-04-30,4431.0,2023-05-20
2023-05-31,12219.0,2023-06-20
2023-06-30,32413.0,2023-07-20
2023-07-31,364.0,2023-08-20
2023-08-31,13412.0,2023-09-20
2023-09-30,25369.0,2023-10-20
2023-10-31,4837.0,2023-11-20
2023-11-30,11120.0,2023-12-20
2023-12-31,11092.0,2024-01-20
2024-01-31,48401.0,2024-02-20
2024-02-29,9773.0,2024-03-20
2024-03-31,32920.0,2024-04-20
2024-04-30,3349.0,2024-05-20
2024-05-31,8197.0,2024-06-20
2024-06-30,21927.0,2024-07-20
2024-07-31,-808.0,2024-08-20
2024-08-31,10411.0,2024-09-20
2024-09-30,19742.0,2024-10-20
2024-10-31,2965.0,2024-11-20
2024-11-30,5216.0,2024-12-20
2024-12-31,8402.0,2025-01-20
2025-01-31,52194.0,2025-02-20
2025-02-28,6528.0,2025-03-20
2025-03-31,38234.0,2025-04-20
2025-04-30,884.0,2025-05-20
2025-05-31,5923.0,2025-06-20
2025-06-30,23600.0,2025-07-20
2025-07-31,-4296.0,2025-08-20
2025-08-31,6253.0,2025-09-20
2025-09-30,16081.0,2025-10-20
2025-10-31,-154.0,2025-11-20
2025-11-30,4096.0,2025-12-20
2025-12-31,9804.0,2026-01-20
2026-01-31,49016.0,2026-02-20
2026-02-28,8458.0,2026-03-20
2026-03-31,31522.0,2026-04-20
2026-04-30,-4006.0,2026-05-20
2026-05-31,4965.0,2026-06-20
2026-06-30,17650.0,2026-07-20
