date,dr007,data_source
2007-02-14,4.142881124497992,SHIBOR_1W+利差调整
2007-02-15,3.628181124497992,SHIBOR_1W+利差调整
2007-02-16,2.297781124497992,SHIBOR_1W+利差调整
2007-02-17,1.659781124497992,SHIBOR_1W+利差调整
2007-02-25,3.056681124497992,SHIBOR_1W+利差调整
2007-02-26,2.812681124497992,SHIBOR_1W+利差调整
2007-02-27,2.677781124497992,SHIBOR_1W+利差调整
2007-02-28,2.138381124497992,SHIBOR_1W+利差调整
2007-03-01,1.904881124497992,SHIBOR_1W+利差调整
2007-03-02,1.830281124497992,SHIBOR_1W+利差调整
2007-03-05,1.814081124497992,SHIBOR_1W+利差调整
2007-03-06,1.7615045576407506,SHIBOR_1W+利差调整
2007-03-07,1.6968045576407509,SHIBOR_1W+利差调整
2007-03-08,1.678081124497992,SHIBOR_1W+利差调整
2007-03-09,1.642081124497992,SHIBOR_1W+利差调整
2007-03-12,1.6240045576407507,SHIBOR_1W+利差调整
2007-03-13,1.606981124497992,SHIBOR_1W+利差调整
2007-03-14,1.588381124497992,SHIBOR_1W+利差调整
2007-03-15,1.589081124497992,SHIBOR_1W+利差调整
2007-03-16,1.662881124497992,SHIBOR_1W+利差调整
2007-03-19,1.811704557640751,SHIBOR_1W+利差调整
2007-03-20,1.849781124497992,SHIBOR_1W+利差调整
2007-03-21,1.904881124497992,SHIBOR_1W+利差调整
2007-03-22,1.9539045576407503,SHIBOR_1W+利差调整
2007-03-23,2.011481124497992,SHIBOR_1W+利差调整
2007-03-26,2.095181124497992,SHIBOR_1W+利差调整
2007-03-27,2.104681124497992,SHIBOR_1W+利差调整
2007-03-28,2.112281124497992,SHIBOR_1W+利差调整
2007-03-29,2.119381124497992,SHIBOR_1W+利差调整
2007-03-30,2.116881124497992,SHIBOR_1W+利差调整
2007-04-02,2.090681124497992,SHIBOR_1W+利差调整
2007-04-03,2.094081124497992,SHIBOR_1W+利差调整
2007-04-04,2.101781124497992,SHIBOR_1W+利差调整
2007-04-05,2.138781124497992,SHIBOR_1W+利差调整
2007-04-06,2.331881124497992,SHIBOR_1W+利差调整
2007-04-09,2.442381124497992,SHIBOR_1W+利差调整
2007-04-10,2.521581124497992,SHIBOR_1W+利差调整
2007-04-11,2.514581124497992,SHIBOR_1W+利差调整
2007-04-12,2.534904557640751,SHIBOR_1W+利差调整
2007-04-13,2.636581124497992,SHIBOR_1W+利差调整
2007-04-16,3.107681124497992,SHIBOR_1W+利差调整
2007-04-17,3.101381124497992,SHIBOR_1W+利差调整
2007-04-18,3.523781124497992,SHIBOR_1W+利差调整
2007-04-19,4.216881124497992,SHIBOR_1W+利差调整
2007-04-20,4.357781124497992,SHIBOR_1W+利差调整
2007-04-23,4.618181124497992,SHIBOR_1W+利差调整
2007-04-24,4.860281124497992,SHIBOR_1W+利差调整
2007-04-25,4.87230455764075,SHIBOR_1W+利差调整
2007-04-26,4.498381124497992,SHIBOR_1W+利差调整
2007-04-27,3.818481124497992,SHIBOR_1W+利差调整
2007-04-28,2.394781124497992,SHIBOR_1W+利差调整
2007-04-29,2.233381124497992,SHIBOR_1W+利差调整
2007-04-30,1.9929045576407507,SHIBOR_1W+利差调整
2007-05-08,1.944704557640751,SHIBOR_1W+利差调整
2007-05-09,1.942181124497992,SHIBOR_1W+利差调整
2007-05-10,2.0190045576407507,SHIBOR_1W+利差调整
2007-05-11,3.167981124497992,SHIBOR_1W+利差调整
2007-05-14,3.344981124497992,SHIBOR_1W+利差调整
2007-05-15,3.202004557640751,SHIBOR_1W+利差调整
2007-05-16,3.144181124497992,SHIBOR_1W+利差调整
2007-05-17,3.019681124497992,SHIBOR_1W+利差调整
2007-05-18,2.72540455764075,SHIBOR_1W+利差调整
2007-05-21,2.660681124497992,SHIBOR_1W+利差调整
2007-05-22,2.625481124497992,SHIBOR_1W+利差调整
2007-05-23,2.549081124497992,SHIBOR_1W+利差调整
2007-05-24,2.520481124497992,SHIBOR_1W+利差调整
2007-05-25,2.500581124497992,SHIBOR_1W+利差调整
2007-05-28,2.484981124497992,SHIBOR_1W+利差调整
2007-05-29,2.454281124497992,SHIBOR_1W+利差调整
2007-05-30,2.467581124497992,SHIBOR_1W+利差调整
2007-05-31,2.614781124497992,SHIBOR_1W+利差调整
2007-06-01,2.962281124497992,SHIBOR_1W+利差调整
2007-06-04,2.990181124497992,SHIBOR_1W+利差调整
2007-06-05,2.969281124497992,SHIBOR_1W+利差调整
2007-06-06,2.928981124497992,SHIBOR_1W+利差调整
2007-06-07,2.6404045576407507,SHIBOR_1W+利差调整
2007-06-08,2.487181124497992,SHIBOR_1W+利差调整
2007-06-11,2.438781124497992,SHIBOR_1W+利差调整
2007-06-12,2.419781124497992,SHIBOR_1W+利差调整
2007-06-13,2.413081124497992,SHIBOR_1W+利差调整
2007-06-14,3.415881124497992,SHIBOR_1W+利差调整
2007-06-15,4.422881124497992,SHIBOR_1W+利差调整
2007-06-18,4.455081124497992,SHIBOR_1W+利差调整
2007-06-19,4.178281124497992,SHIBOR_1W+利差调整
2007-06-20,3.146781124497992,SHIBOR_1W+利差调整
2007-06-21,2.460781124497992,SHIBOR_1W+利差调整
2007-06-22,2.35040455764075,SHIBOR_1W+利差调整
2007-06-25,2.165181124497992,SHIBOR_1W+利差调整
2007-06-26,2.106181124497992,SHIBOR_1W+利差调整
2007-06-27,1.995181124497992,SHIBOR_1W+利差调整
2007-06-28,1.927781124497992,SHIBOR_1W+利差调整
2007-06-29,2.987581124497992,SHIBOR_1W+利差调整
2007-07-02,3.724881124497992,SHIBOR_1W+利差调整
2007-07-03,4.124804557640751,SHIBOR_1W+利差调整
2007-07-04,2.57620455764075,SHIBOR_1W+利差调整
2007-07-05,2.550404557640751,SHIBOR_1W+利差调整
2007-07-06,2.515281124497992,SHIBOR_1W+利差调整
2007-07-09,2.909904557640751,SHIBOR_1W+利差调整
2007-07-10,3.924981124497992,SHIBOR_1W+利差调整
2007-07-11,4.051981124497992,SHIBOR_1W+利差调整
2007-07-12,3.395281124497992,SHIBOR_1W+利差调整
2007-07-13,3.337581124497992,SHIBOR_1W+利差调整
2007-07-16,3.028304557640751,SHIBOR_1W+利差调整
2007-07-17,2.9481045576407507,SHIBOR_1W+利差调整
2007-07-18,2.373381124497992,SHIBOR_1W+利差调整
2007-07-19,2.3256045576407507,SHIBOR_1W+利差调整
2007-07-20,2.26560455764075,SHIBOR_1W+利差调整
2007-07-23,2.30180455764075,SHIBOR_1W+利差调整
2007-07-24,2.299081124497992,SHIBOR_1W+利差调整
2007-07-25,2.295681124497992,SHIBOR_1W+利差调整
2007-07-26,2.268881124497992,SHIBOR_1W+利差调整
2007-07-27,2.273581124497992,SHIBOR_1W+利差调整
2007-07-30,2.248581124497992,SHIBOR_1W+利差调整
2007-07-31,2.836081124497992,SHIBOR_1W+利差调整
2007-08-01,2.861481124497992,SHIBOR_1W+利差调整
2007-08-02,2.337681124497992,SHIBOR_1W+利差调整
2007-08-03,2.180681124497992,SHIBOR_1W+利差调整
2007-08-06,2.153181124497992,SHIBOR_1W+利差调整
2007-08-07,2.197781124497992,SHIBOR_1W+利差调整
2007-08-08,2.293481124497992,SHIBOR_1W+利差调整
2007-08-09,2.306481124497992,SHIBOR_1W+利差调整
2007-08-10,2.405781124497992,SHIBOR_1W+利差调整
2007-08-13,2.329581124497992,SHIBOR_1W+利差调整
2007-08-14,2.274881124497992,SHIBOR_1W+利差调整
2007-08-15,2.232181124497992,SHIBOR_1W+利差调整
2007-08-16,2.124781124497992,SHIBOR_1W+利差调整
2007-08-17,2.120481124497992,SHIBOR_1W+利差调整
2007-08-20,2.121181124497992,SHIBOR_1W+利差调整
2007-08-21,2.110781124497992,SHIBOR_1W+利差调整
2007-08-22,2.344781124497992,SHIBOR_1W+利差调整
2007-08-23,2.527681124497992,SHIBOR_1W+利差调整
2007-08-24,2.596281124497992,SHIBOR_1W+利差调整
2007-08-27,2.513781124497992,SHIBOR_1W+利差调整
2007-08-28,2.587981124497992,SHIBOR_1W+利差调整
2007-08-29,2.589481124497992,SHIBOR_1W+利差调整
2007-08-30,2.834781124497992,SHIBOR_1W+利差调整
2007-08-31,2.642581124497992,SHIBOR_1W+利差调整
2007-09-03,2.642781124497992,SHIBOR_1W+利差调整
2007-09-04,2.381281124497992,SHIBOR_1W+利差调整
2007-09-05,2.514781124497992,SHIBOR_1W+利差调整
2007-09-06,2.584981124497992,SHIBOR_1W+利差调整
2007-09-07,2.953081124497992,SHIBOR_1W+利差调整
2007-09-10,3.756481124497992,SHIBOR_1W+利差调整
2007-09-11,3.997681124497992,SHIBOR_1W+利差调整
2007-09-12,4.037481124497992,SHIBOR_1W+利差调整
2007-09-13,4.167281124497992,SHIBOR_1W+利差调整
2007-09-14,5.897381124497992,SHIBOR_1W+利差调整
2007-09-17,6.092781124497992,SHIBOR_1W+利差调整
2007-09-18,6.099981124497992,SHIBOR_1W+利差调整
2007-09-19,6.622681124497992,SHIBOR_1W+利差调整
2007-09-20,6.935781124497992,SHIBOR_1W+利差调整
2007-09-21,7.107281124497992,SHIBOR_1W+利差调整
2007-09-24,7.102581124497992,SHIBOR_1W+利差调整
2007-09-25,7.176081124497992,SHIBOR_1W+利差调整
2007-09-26,5.015081124497992,SHIBOR_1W+利差调整
2007-09-27,3.452081124497992,SHIBOR_1W+利差调整
2007-09-28,2.184481124497992,SHIBOR_1W+利差调整
2007-09-29,2.098981124497992,SHIBOR_1W+利差调整
2007-09-30,2.134281124497992,SHIBOR_1W+利差调整
2007-10-08,2.176381124497992,SHIBOR_1W+利差调整
2007-10-09,2.188281124497992,SHIBOR_1W+利差调整
2007-10-10,2.220081124497992,SHIBOR_1W+利差调整
2007-10-11,2.246781124497992,SHIBOR_1W+利差调整
2007-10-12,2.378181124497992,SHIBOR_1W+利差调整
2007-10-15,2.451304557640751,SHIBOR_1W+利差调整
2007-10-16,2.458104557640751,SHIBOR_1W+利差调整
2007-10-17,2.508681124497992,SHIBOR_1W+利差调整
2007-10-18,2.523504557640751,SHIBOR_1W+利差调整
2007-10-19,2.637104557640751,SHIBOR_1W+利差调整
2007-10-22,3.259181124497992,SHIBOR_1W+利差调整
2007-10-23,5.839981124497992,SHIBOR_1W+利差调整
2007-10-24,8.141781124497992,SHIBOR_1W+利差调整
2007-10-25,8.89400455764075,SHIBOR_1W+利差调整
2007-10-26,10.228881124497992,SHIBOR_1W+利差调整
2007-10-29,3.083781124497992,SHIBOR_1W+利差调整
2007-10-30,2.974704557640751,SHIBOR_1W+利差调整
2007-10-31,3.058381124497992,SHIBOR_1W+利差调整
2007-11-01,3.145881124497992,SHIBOR_1W+利差调整
2007-11-02,3.214981124497992,SHIBOR_1W+利差调整
2007-11-05,3.198681124497992,SHIBOR_1W+利差调整
2007-11-06,3.188881124497992,SHIBOR_1W+利差调整
2007-11-07,3.154581124497992,SHIBOR_1W+利差调整
2007-11-08,2.801581124497992,SHIBOR_1W+利差调整
2007-11-09,2.949181124497992,SHIBOR_1W+利差调整
2007-11-12,2.547881124497992,SHIBOR_1W+利差调整
2007-11-13,2.419381124497992,SHIBOR_1W+利差调整
2007-11-14,2.295181124497992,SHIBOR_1W+利差调整
2007-11-15,2.296381124497992,SHIBOR_1W+利差调整
2007-11-16,2.218881124497992,SHIBOR_1W+利差调整
2007-11-19,3.187281124497992,SHIBOR_1W+利差调整
2007-11-20,4.143781124497992,SHIBOR_1W+利差调整
2007-11-21,4.423481124497992,SHIBOR_1W+利差调整
2007-11-22,2.407681124497992,SHIBOR_1W+利差调整
2007-11-23,2.909481124497992,SHIBOR_1W+利差调整
2007-11-26,2.918281124497992,SHIBOR_1W+利差调整
2007-11-27,2.866281124497992,SHIBOR_1W+利差调整
2007-11-28,2.260757908847185,SHIBOR_1W+利差调整
2007-11-29,3.075481124497992,SHIBOR_1W+利差调整
2007-11-30,3.200381124497992,SHIBOR_1W+利差调整
2007-12-03,4.280257908847185,SHIBOR_1W+利差调整
2007-12-04,4.434181124497992,SHIBOR_1W+利差调整
2007-12-05,4.327081124497992,SHIBOR_1W+利差调整
2007-12-06,4.186581124497992,SHIBOR_1W+利差调整
2007-12-07,2.762857908847185,SHIBOR_1W+利差调整
2007-12-10,2.640381124497992,SHIBOR_1W+利差调整
2007-12-11,4.247781124497992,SHIBOR_1W+利差调整
2007-12-12,4.502781124497992,SHIBOR_1W+利差调整
2007-12-13,4.958781124497992,SHIBOR_1W+利差调整
2007-12-14,3.605504557640751,SHIBOR_1W+利差调整
2007-12-17,3.352381124497992,SHIBOR_1W+利差调整
2007-12-18,3.0634045576407507,SHIBOR_1W+利差调整
2007-12-19,2.573281124497992,SHIBOR_1W+利差调整
2007-12-20,2.533981124497992,SHIBOR_1W+利差调整
2007-12-21,2.328281124497992,SHIBOR_1W+利差调整
2007-12-24,2.228681124497992,SHIBOR_1W+利差调整
2007-12-25,2.168081124497992,SHIBOR_1W+利差调整
2007-12-26,2.526781124497992,SHIBOR_1W+利差调整
2007-12-27,2.464581124497992,SHIBOR_1W+利差调整
2007-12-28,2.636281124497992,SHIBOR_1W+利差调整
2007-12-29,2.746981124497992,SHIBOR_1W+利差调整
2008-01-02,3.008881124497992,SHIBOR_1W+利差调整
2008-01-03,3.083481124497992,SHIBOR_1W+利差调整
2008-01-04,2.989681124497992,SHIBOR_1W+利差调整
2008-01-07,2.867881124497992,SHIBOR_1W+利差调整
2008-01-08,2.518381124497992,SHIBOR_1W+利差调整
2008-01-09,2.544981124497992,SHIBOR_1W+利差调整
2008-01-10,2.570557908847185,SHIBOR_1W+利差调整
2008-01-11,2.182557908847185,SHIBOR_1W+利差调整
2008-01-14,2.153481124497992,SHIBOR_1W+利差调整
2008-01-15,2.390181124497992,SHIBOR_1W+利差调整
2008-01-16,2.715081124497992,SHIBOR_1W+利差调整
2008-01-17,2.881481124497992,SHIBOR_1W+利差调整
2008-01-18,2.795881124497992,SHIBOR_1W+利差调整
2008-01-21,2.869781124497992,SHIBOR_1W+利差调整
2008-01-22,4.563381124497992,SHIBOR_1W+利差调整
2008-01-23,4.971281124497992,SHIBOR_1W+利差调整
2008-01-24,5.339481124497992,SHIBOR_1W+利差调整
2008-01-25,3.718904557640751,SHIBOR_1W+利差调整
2008-01-28,3.1516045576407508,SHIBOR_1W+利差调整
2008-01-29,3.142381124497992,SHIBOR_1W+利差调整
2008-01-30,3.396181124497992,SHIBOR_1W+利差调整
2008-01-31,3.374981124497992,SHIBOR_1W+利差调整
2008-02-01,3.277081124497992,SHIBOR_1W+利差调整
2008-02-02,3.104081124497992,SHIBOR_1W+利差调整
