date,northbound_net_buy_100m
2015-12-14,-5.2791
2015-12-15,2.1049
2015-12-16,-6.7038
2015-12-17,8.8727
2015-12-18,-3.0096
2015-12-21,-4.5787
2015-12-22,-7.6189
2015-12-23,-3.7183
2015-12-28,-2.7253
2015-12-29,4.9169
2015-12-30,2.8467
2015-12-31,-4.9067
2016-01-04,0.31
2016-01-05,14.2938
2016-01-06,-6.5684000000000005
2016-01-07,-0.0033
2016-01-08,1.5373
2016-01-11,-5.682799999999999
2016-01-12,-8.5657
2016-01-13,0.966
2016-01-14,-2.9209
2016-01-15,-3.4044
2016-01-18,0.8090999999999999
2016-01-19,2.9988
2016-01-20,-8.8077
2016-01-21,-2.8932
2016-01-22,3.2116
2016-01-25,0.5265
2016-01-26,-2.6188
2016-01-27,43.1987
2016-01-28,-4.9852
2016-01-29,14.5736
2016-02-01,-3.5844
2016-02-02,-1.2018
2016-02-03,-23.7781
2016-02-04,1.3771
2016-02-05,-0.9779
2016-02-15,-2.2079
2016-02-16,2.0211
2016-02-17,-3.4368
2016-02-18,2.4455
2016-02-19,0.004
2016-02-22,-1.1177
2016-02-23,2.717
2016-02-24,-2.7959
2016-02-25,0.3046999999999999
2016-02-26,13.1711
2016-02-29,17.0632
2016-03-01,5.0273
2016-03-02,24.4053
2016-03-03,-8.298300000000001
2016-03-04,17.3144
2016-03-07,7.591699999999999
2016-03-08,-3.4488
2016-03-09,0.2369
2016-03-10,2.3764
2016-03-11,9.0675
2016-03-14,3.2258
2016-03-15,-2.7788
2016-03-16,-2.7727
2016-03-17,15.8768
2016-03-18,9.998
2016-03-21,-1.6364
2016-03-22,4.1503
2016-03-23,-1.3021
2016-03-29,-2.8217000000000003
2016-03-30,10.5777
2016-03-31,21.475
2016-04-01,-4.7276
2016-04-05,0.2505
2016-04-06,-4.2095
2016-04-07,-1.5714
2016-04-08,-2.526
2016-04-11,9.4832
2016-04-12,8.697000000000001
2016-04-13,31.5424
2016-04-14,14.4401
2016-04-15,-0.7816
2016-04-18,-10.8678
2016-04-19,2.0205
2016-04-20,-15.3648
2016-04-21,1.5711000000000002
2016-04-22,-1.909
2016-04-25,-1.3016
