序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
1,005825,申万菱信智能驱动股票A,2026-07-23,8.8115,9.2539,-2.83,-6.49,-10.03,43.88,54.77,197.15,279.18,233.19,79.6,927.68,192.5368,0.15%
2,015159,申万菱信智能驱动股票C,2026-07-23,8.6094,9.0659,-2.83,-6.5,-10.06,43.73,54.47,195.99,276.15,229.18,79.21,163.94,191.3897,0.00%
3,006502,财通集成电路产业股票A,2026-07-23,6.7212,6.7212,0.72,-15.18,-30.47,18.34,65.87,194.25,339.5,324.34,69.91,572.12,200.134,0.15%
4,006503,财通集成电路产业股票C,2026-07-23,6.3231,6.3231,0.71,-15.19,-30.52,18.1,65.21,191.93,332.56,314.3,69.16,532.31,197.7678,0.00%
5,010391,易方达战略新兴产业股票A,2026-07-23,2.7125,2.8525,-1.5,-7.33,-9.88,27.45,63.85,179.2,317.33,285.05,68.66,189.75,176.5309,0.15%
6,006265,红土创新新科技股票A,2026-07-23,8.7159,8.7659,-3.22,-11.38,-25.32,5.44,56.32,178.28,300.53,216.11,69.08,784.85,179.957,0.15%
7,010392,易方达战略新兴产业股票C,2026-07-23,2.6488,2.7888,-1.5,-7.34,-9.91,27.32,63.53,178.08,313.97,280.35,68.3,183.36,175.4009,0.00%
8,014736,创金合信专精特新股票发起A,2026-07-23,3.3179,3.3179,-4.9,-5.54,-4.31,54.72,58.5,173.55,313.81,200.59,91.53,231.79,168.2649,0.15%
9,014737,创金合信专精特新股票发起C,2026-07-23,3.2444,3.2444,-4.9,-5.55,-4.35,54.52,58.11,172.18,309.75,196.1,91.0,224.44,166.9409,0.00%
10,005628,汇安趋势动力股票A,2026-07-23,2.689,2.689,-3.75,-3.49,-7.58,52.89,54.66,160.18,158.73,115.33,98.1,168.9,159.556,0.15%
11,005629,汇安趋势动力股票C,2026-07-23,2.5735,2.5735,-3.75,-3.5,-7.62,52.7,54.28,158.88,156.17,112.12,97.55,157.35,158.2798,0.00%
12,002289,华商改革创新股票A,2026-07-23,5.8602,5.8602,-3.23,-2.42,6.13,58.05,60.18,157.67,241.36,191.06,94.69,486.02,155.1907,0.15%
13,001048,富国新兴产业股票A,2026-07-23,6.22,6.22,-2.88,-7.06,-13.87,20.68,52.73,157.13,280.2,204.75,60.67,522.0,155.4415,0.15%
14,519935,长信创新驱动股票,2026-07-23,3.553,3.553,-1.91,-4.05,-11.2,17.03,40.32,156.16,267.43,184.7,48.72,255.3,155.2443,0.15%
15,016052,华商改革创新股票C,2026-07-23,5.6909,5.6909,-3.23,-2.43,6.08,57.71,59.6,155.95,236.84,184.33,93.91,137.43,153.5035,0.00%
16,006081,海富通电子传媒股票A,2026-07-23,6.0238,6.0238,-1.99,-8.8,-17.77,18.55,50.76,155.7,201.31,133.46,54.95,502.38,155.4839,0.15%
17,015686,富国新兴产业股票C,2026-07-23,6.0742,6.0742,-2.88,-7.07,-13.92,20.49,52.27,155.65,275.88,199.52,60.13,244.93,153.9381,0.00%
18,006080,海富通电子传媒股票C,2026-07-23,5.6199,5.6199,-1.99,-8.82,-17.82,18.32,50.17,153.66,196.56,127.95,54.28,461.99,153.4569,0.00%
19,010013,易方达信息行业精选股票A,2026-07-23,2.6774,2.7174,-2.07,-7.3,-18.65,16.14,48.67,152.18,251.31,212.93,54.42,173.81,151.8299,0.15%
20,000411,景顺长城优质成长股票A,2026-07-23,4.478,5.031,-0.25,-6.63,-18.88,10.11,43.94,151.71,244.46,265.74,50.07,566.27,153.4239,0.15%
21,012696,同泰数字经济股票A,2026-07-23,1.8843,1.8843,-2.58,-7.96,-14.26,24.34,40.56,151.31,249.66,196.09,59.08,88.43,153.812,0.15%
22,019024,易方达信息行业精选股票C,2026-07-23,2.6405,2.6805,-2.07,-7.31,-18.68,15.99,48.31,150.89,247.73,,53.99,250.75,150.5688,0.00%
23,021500,景顺长城优质成长股票C,2026-07-23,4.442,4.442,-0.25,-6.64,-18.9,10.0,43.66,150.68,241.96,,49.71,255.08,152.3864,0.00%
24,012697,同泰数字经济股票C,2026-07-23,1.8471,1.8471,-2.59,-7.97,-14.29,24.22,40.28,150.32,246.87,192.54,58.73,84.71,152.8196,0.00%
25,008382,融通产业趋势股票A,2026-07-23,1.9587,2.0137,-1.76,-13.57,-30.16,-4.11,46.81,141.07,235.05,148.25,45.73,105.41,139.5084,0.15%
26,000697,汇添富移动互联股票A,2026-07-23,3.985,3.985,-1.97,-8.77,-16.49,11.78,39.29,140.93,198.73,142.69,45.23,298.5,138.48,0.15%
27,001877,宝盈国家安全沪港深股票A,2026-07-23,3.4069,3.4069,-3.9,-11.3,-25.55,-0.67,22.91,140.07,200.01,184.95,39.68,240.69,136.9688,0.15%
28,015199,汇添富移动互联股票D,2026-07-23,3.917,3.917,-1.95,-8.76,-16.52,11.69,39.05,140.01,196.52,139.72,44.91,114.98,137.5379,0.00%
29,006751,富国互联科技股票A,2026-07-23,6.1009,6.1009,-1.46,-7.4,-18.35,5.74,44.72,139.59,177.31,174.86,47.13,510.09,139.0916,0.15%
30,015198,汇添富移动互联股票C,2026-07-23,3.885,3.885,-1.94,-8.76,-16.52,11.64,38.9,139.37,194.76,138.49,44.8,113.23,136.8902,0.00%
31,001404,招商移动互联网产业股票基金A,2026-07-23,2.8303,2.8303,-5.9,-3.2,0.27,40.97,41.86,139.29,141.99,116.62,62.96,183.03,135.937,0.15%
32,013613,宝盈国家安全沪港深股票C,2026-07-23,3.312,3.312,-3.9,-11.31,-25.58,-0.81,22.55,138.81,196.51,179.94,39.22,92.25,135.7128,0.00%
33,015773,招商移动互联网产业股票基金C,2026-07-23,2.8304,2.8304,-5.9,-3.21,0.25,40.88,41.66,138.59,140.56,114.68,62.69,136.24,135.2589,0.00%
34,011126,富国互联科技股票C,2026-07-23,5.9036,5.9036,-1.47,-7.41,-18.39,5.58,44.28,138.14,174.06,170.01,46.63,130.47,137.6459,0.00%
35,014191,广发先进制造股票发起式A,2026-07-23,2.2276,2.2276,-0.81,-7.69,-26.46,-3.38,19.19,138.02,174.94,164.5,33.9,122.76,140.2761,0.15%
36,014192,广发先进制造股票发起式C,2026-07-23,2.1902,2.1902,-0.81,-7.7,-26.48,-3.47,18.96,137.19,172.92,161.49,33.61,119.02,139.4708,0.00%
37,011377,创金合信积极成长股票A,2026-07-23,2.4994,2.4994,-3.96,-3.92,-3.58,52.16,44.99,136.73,268.1,202.01,77.35,149.94,132.8055,0.15%
38,000688,景顺长城研究精选股票A,2026-07-23,3.916,4.166,-2.85,-6.94,-16.18,10.97,36.11,135.9,208.59,218.63,42.14,368.89,132.2657,0.15%
39,011378,创金合信积极成长股票C,2026-07-23,2.4315,2.4315,-3.96,-3.93,-3.62,51.98,44.62,135.52,264.38,197.39,76.86,143.15,131.6376,0.00%
40,017744,嘉实绿色主题股票发起式A,2026-07-23,2.3571,2.3571,-2.78,-4.6,-10.74,36.28,40.99,135.43,251.96,162.72,81.0,135.71,134.4906,0.15%
41,001956,国联安科技动力,2026-07-23,3.6155,3.6155,-1.74,-12.74,-27.02,0.95,41.31,135.34,189.43,137.71,42.53,261.55,139.7387,0.15%
42,018998,景顺长城研究精选股票C,2026-07-23,3.849,3.849,-2.85,-6.94,-16.22,10.79,35.72,134.55,204.99,,41.72,217.05,130.8938,0.00%
43,017745,嘉实绿色主题股票发起式C,2026-07-23,2.3093,2.3093,-2.78,-4.62,-10.78,36.07,40.55,134.0,247.79,158.05,80.37,130.93,133.0743,0.00%
44,001105,信澳转型创新股票A,2026-07-23,2.277,2.277,-1.68,-10.64,-20.77,10.96,40.04,133.54,232.41,176.33,51.2,127.7,130.2326,0.15%
45,015608,信澳转型创新股票C,2026-07-23,2.222,2.222,-1.64,-10.62,-20.81,10.82,39.57,132.18,228.7,171.31,50.75,129.07,128.8363,0.00%
46,021937,华安半导体产业股票发起式A,2026-07-23,2.3775,2.3775,-4.06,-5.88,-13.96,19.2,33.6,130.8,,,56.39,137.75,126.9473,0.15%
47,021938,华安半导体产业股票发起式C,2026-07-23,2.359,2.359,-4.06,-5.89,-14.0,19.03,33.25,129.43,,,55.94,135.9,125.5905,0.00%
48,007685,华商电子行业量化股票发起式A,2026-07-23,3.7784,3.7784,-4.18,-5.09,-8.15,41.23,47.12,127.94,193.45,170.87,64.47,277.84,125.1057,0.15%
49,022831,华商电子行业量化股票发起式C,2026-07-23,3.7556,3.7556,-4.18,-5.1,-8.18,41.1,46.83,127.05,,,64.11,139.01,124.2149,0.00%
50,501201,红土创新科技创新股票(LOF)A,2026-07-23,2.471,2.471,-3.09,-11.73,-26.19,3.8,53.35,125.21,211.84,77.04,64.01,147.1,124.127,0.15%
51,017488,嘉实信息产业股票发起式A,2026-07-23,3.3975,3.3975,-2.31,-9.91,-22.83,0.55,41.27,123.83,228.45,157.78,45.57,239.75,120.1737,0.15%
