序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
37,017744,嘉实绿色主题股票发起式A,2026-07-22,2.4245,2.4245,-1.83,-6.81,-9.25,38.5,43.36,142.38,244.93,170.23,86.17,142.45,142.1594,0.15%
38,006751,富国互联科技股票A,2026-07-22,6.1916,6.1916,-4.58,-9.41,-20.13,6.83,43.0,142.32,177.22,178.95,49.31,519.16,143.1511,0.15%
39,018998,景顺长城研究精选股票C,2026-07-22,3.962,3.962,-3.11,-7.15,-17.27,11.98,36.15,142.18,204.3,,45.88,226.36,141.4381,0.00%
40,021938,华安半导体产业股票发起式C,2026-07-22,2.4589,2.4589,-1.62,-7.44,-11.88,21.19,39.07,141.21,,,62.54,145.89,139.1461,0.00%
41,017745,嘉实绿色主题股票发起式C,2026-07-22,2.3754,2.3754,-1.83,-6.83,-9.29,38.27,42.92,140.94,240.75,165.44,85.53,137.54,140.6931,0.00%
42,011126,富国互联科技股票C,2026-07-22,5.9915,5.9915,-4.58,-9.42,-20.17,6.67,42.57,140.86,173.97,174.03,48.81,133.9,141.6902,0.00%
43,007685,华商电子行业量化股票发起式A,2026-07-22,3.9432,3.9432,-2.21,-5.06,-6.04,44.87,53.15,139.52,194.16,182.69,71.64,294.32,137.8861,0.15%
44,001956,国联安科技动力,2026-07-22,3.6797,3.6797,-3.62,-13.82,-27.57,-0.01,39.72,139.5,187.05,141.93,45.06,267.97,139.517,0.15%
45,014191,广发先进制造股票发起式A,2026-07-22,2.2457,2.2457,-4.18,-10.13,-28.64,-4.5,22.24,139.36,170.66,166.65,34.99,124.57,139.9508,0.15%
46,022831,华商电子行业量化股票发起式C,2026-07-22,3.9194,3.9194,-2.21,-5.07,-6.07,44.73,52.84,138.57,,,71.27,149.44,136.9506,0.00%
47,014192,广发先进制造股票发起式C,2026-07-22,2.208,2.208,-4.18,-10.14,-28.66,-4.59,22.0,138.55,168.65,163.61,34.7,120.8,139.1163,0.00%
48,001105,信澳转型创新股票A,2026-07-22,2.316,2.316,-3.06,-12.6,-22.83,10.44,41.13,134.41,224.82,181.07,53.78,131.6,137.5385,0.15%
49,020476,泰康半导体量化选股股票发起式A,2026-07-22,3.5124,3.5124,-0.75,-3.8,-7.03,40.52,35.99,133.26,220.86,,60.57,251.24,131.5054,0.12%
50,015608,信澳转型创新股票C,2026-07-22,2.259,2.259,-3.09,-12.65,-22.87,10.25,40.66,132.89,220.88,175.82,53.26,132.89,136.0502,0.00%
51,020477,泰康半导体量化选股股票发起式C,2026-07-22,3.4819,3.4819,-0.76,-3.8,-7.06,40.38,35.72,132.34,218.33,,60.23,248.19,130.6047,0.00%
52,017746,建信电子行业股票A,2026-07-22,2.852,2.852,-2.58,-8.71,-9.8,33.53,31.59,131.44,244.32,197.64,55.87,185.2,131.137,0.15%
53,017747,建信电子行业股票C,2026-07-22,2.8154,2.8154,-2.59,-8.72,-9.83,33.4,31.33,130.52,241.63,194.16,55.52,181.54,130.2421,0.00%
54,501201,红土创新科技创新股票(LOF)A,2026-07-22,2.5499,2.5499,-4.49,-13.1,-25.44,5.77,55.66,130.34,215.0,82.7,69.25,154.99,132.4007,0.15%
55,017488,嘉实信息产业股票发起式A,2026-07-22,3.478,3.478,-3.69,-10.49,-22.84,1.76,39.77,129.12,225.81,163.88,49.01,247.8,129.1324,0.15%
56,017489,嘉实信息产业股票发起式C,2026-07-22,3.4046,3.4046,-3.69,-10.5,-22.88,1.61,39.36,127.72,221.89,159.16,48.52,240.46,127.7477,0.00%
57,540010,汇丰晋信科技先锋股票,2026-07-22,5.0397,5.0397,-3.88,-14.34,-28.09,-3.09,26.39,124.49,200.32,143.79,37.76,403.97,123.2326,0.15%
