date,northbound_net_cny100m,mean120,std120,upper,lower,trigger,state
2014-11-17,120.8233,,,,,,中性
2014-11-17,120.8233,,,,,,中性
2014-11-18,47.1967,,,,,,中性
2014-11-18,47.1967,,,,,,中性
2014-11-19,24.9677,,,,,,中性
2014-11-19,24.9677,,,,,,中性
2014-11-20,21.4194,,,,,,中性
2014-11-20,21.4194,,,,,,中性
2014-11-21,21.9953,,,,,,中性
2014-11-21,21.9953,,,,,,中性
2014-11-24,58.5647,,,,,,中性
2014-11-24,58.5647,,,,,,中性
2014-11-25,27.500300000000003,,,,,,中性
2014-11-25,27.500300000000003,,,,,,中性
2014-11-26,31.9261,,,,,,中性
2014-11-26,31.9261,,,,,,中性
2014-11-27,28.6866,,,,,,中性
2014-11-27,28.6866,,,,,,中性
2014-11-28,22.4622,,,,,,中性
2014-11-28,22.4622,,,,,,中性
2014-12-01,13.178199999999999,,,,,,中性
2014-12-01,13.1782,,,,,,中性
2014-12-02,31.153299999999998,,,,,,中性
2014-12-02,31.1533,,,,,,中性
2014-12-03,36.849,,,,,,中性
2014-12-03,36.849000000000004,,,,,,中性
2014-12-04,33.5898,,,,,,中性
2014-12-04,33.5898,,,,,,中性
2014-12-05,24.495700000000003,,,,,,中性
2014-12-05,24.495700000000003,,,,,,中性
2014-12-08,14.1599,,,,,,中性
2014-12-08,14.1599,,,,,,中性
2014-12-09,10.2419,,,,,,中性
2014-12-09,10.241900000000001,,,,,,中性
2014-12-10,18.3643,,,,,,中性
2014-12-10,18.3643,,,,,,中性
2014-12-11,9.1477,,,,,,中性
2014-12-11,9.1477,,,,,,中性
2014-12-12,16.924500000000002,,,,,,中性
2014-12-12,16.924500000000002,,,,,,中性
2014-12-15,9.3615,,,,,,中性
2014-12-15,9.3615,,,,,,中性
2014-12-16,12.2584,,,,,,中性
2014-12-16,12.2584,,,,,,中性
2014-12-17,4.8908,,,,,,中性
2014-12-17,4.8908,,,,,,中性
2014-12-18,18.2988,,,,,,中性
2014-12-18,18.2988,,,,,,中性
2014-12-19,8.6222,,,,,,中性
2014-12-19,8.6222,,,,,,中性
2014-12-22,13.2383,,,,,,中性
2014-12-22,13.238299999999999,,,,,,中性
2014-12-23,5.8668,,,,,,中性
2014-12-23,5.8668,,,,,,中性
2014-12-29,6.6912,,,,,,中性
2014-12-29,6.6912,,,,,,中性
2014-12-30,-6.9615,,,,,,中性
2014-12-30,-6.9615,,,,,,中性
2014-12-31,-0.2084,,,,,,中性
2014-12-31,-0.2084,,,,,,中性
2015-01-05,20.0227,,,,,,中性
2015-01-05,20.0227,,,,,,中性
2015-01-06,-0.23149999999999998,,,,,,中性
2015-01-06,-0.2314999999999999,,,,,,中性
2015-01-07,3.4208,,,,,,中性
2015-01-07,3.4208,,,,,,中性
2015-01-08,0.5783,,,,,,中性
2015-01-08,0.5783,,,,,,中性
2015-01-09,14.5318,,,,,,中性
2015-01-09,14.5318,,,,,,中性
2015-01-12,-12.7347,,,,,,中性
2015-01-12,-12.7347,,,,,,中性
2015-01-13,-2.5069,,,,,,中性
2015-01-13,-2.5069,,,,,,中性
2015-01-14,5.938400000000001,,,,,,中性
2015-01-14,5.938400000000001,,,,,,中性
2015-01-15,7.0523,,,,,,中性
2015-01-15,7.0523,,,,,,中性
2015-01-16,1.2676,,,,,,中性
2015-01-16,1.2676,,,,,,中性
2015-01-19,-3.4306,,,,,,中性
2015-01-19,-3.4306,,,,,,中性
2015-01-20,21.4523,,,,,,中性
2015-01-20,21.4523,,,,,,中性
2015-01-21,19.2566,,,,,,中性
2015-01-21,19.256600000000002,,,,,,中性
2015-01-22,1.5143,,,,,,中性
2015-01-22,1.5143,,,,,,中性
2015-01-23,2.6152,,,,,,中性
2015-01-23,2.6151999999999997,,,,,,中性
2015-01-26,3.9634,,,,,,中性
2015-01-26,3.9633999999999996,,,,,,中性
2015-01-27,9.0335,,,,,,中性
2015-01-27,9.0335,,,,,,中性
2015-01-28,11.4192,,,,,,中性
2015-01-28,11.4192,,,,,,中性
2015-01-29,9.7546,,,,,,中性
2015-01-29,9.7546,,,,,,中性
2015-01-30,0.2959,,,,,,中性
2015-01-30,0.2959,,,,,,中性
2015-02-02,1.7846000000000002,,,,,,中性
2015-02-02,1.7846000000000002,,,,,,中性
2015-02-03,27.0,,,,,,中性
2015-02-03,27.0,,,,,,中性
2015-02-04,10.961,,,,,,中性
2015-02-04,10.960999999999999,,,,,,中性
2015-02-05,28.332800000000002,,,,,,中性
2015-02-05,28.3328,,,,,,中性
2015-02-06,1.6066,,,,,,中性
2015-02-06,1.6066,,,,,,中性
2015-02-09,11.1839,,,,,,中性
2015-02-09,11.183900000000001,,,,,,中性
2015-02-10,16.290499999999998,,,,,,中性
2015-02-10,16.290499999999998,,,,,,中性
2015-02-11,13.8157,,,,,,中性
2015-02-11,13.8157,,,,,,中性
2015-02-12,11.598199999999999,,,,,,中性
2015-02-12,11.5982,,,,,,中性
2015-02-13,19.144000000000002,15.677253333333335,18.95097263127528,34.62822596460862,-3.2737192979419465,,中性
2015-02-13,19.144,15.677253333333336,18.95097263127528,34.62822596460862,-3.2737192979419465,,中性
2015-02-16,1.2378,15.440540983606558,18.883106326488214,34.32364731009477,-3.4425653428816556,,中性
2015-02-16,1.2378,15.440540983606558,18.88310632648821,34.32364731009477,-3.442565342881656,,中性
2015-02-17,2.2129,15.227191935483871,18.802881996409955,34.030073931893824,-3.5756900609260835,,中性
2015-02-17,2.2129,15.227191935483871,18.802881996409955,34.030073931893824,-3.5756900609260835,,中性
2015-02-25,10.1148,15.146042857142858,18.66174815439252,33.80779101153537,-3.5157052972496583,,中性
2015-02-25,10.1148,15.146042857142858,18.661748154392516,33.80779101153537,-3.5157052972496583,,中性
2015-02-26,-4.5268,14.8386546875,18.67565510036835,33.51430978786835,-3.837000412868349,越下限(看空),空头
2015-02-26,-4.5268,14.8386546875,18.67565510036835,33.51430978786835,-3.837000412868349,越下限(看空),空头
2015-02-27,6.7247,14.713824615384617,18.556488623036547,33.27031323842116,-3.842664007651932,,空头
2015-02-27,6.7247,14.713824615384615,18.556488623036547,33.27031323842116,-3.8426640076519316,,空头
2015-03-02,7.4556,14.603851515151517,18.43485532111756,33.03870683626907,-3.8310038059660414,,空头
2015-03-02,7.4556,14.603851515151515,18.434855321117556,33.03870683626907,-3.8310038059660414,,空头
2015-03-03,0.9386,14.399892537313434,18.370680215555883,32.77057275286931,-3.970787678242449,,空头
2015-03-03,0.9386,14.399892537313434,18.370680215555883,32.77057275286931,-3.9707876782424485,,空头
2015-03-04,3.0537,14.233036764705885,18.2849125277164,32.51794929242229,-4.051875763010518,,空头
2015-03-04,3.0537,14.233036764705883,18.2849125277164,32.51794929242229,-4.051875763010518,,空头
2015-03-05,6.419,14.119789855072463,18.174328212701123,32.29411806777359,-4.05453835762866,,空头
2015-03-05,6.419,14.119789855072463,18.174328212701123,32.29411806777359,-4.05453835762866,,空头
2015-03-06,3.897,13.97375,18.083475724216665,32.057225724216664,-4.1097257242166645,,空头
2015-03-06,3.897,13.97375,18.083475724216665,32.057225724216664,-4.1097257242166645,,空头
2015-03-09,5.8871,13.85985352112676,17.979475350591386,31.839328871718145,-4.119621829464625,,空头
2015-03-09,5.8871,13.85985352112676,17.979475350591386,31.839328871718145,-4.119621829464625,,空头
2015-03-10,0.5295000000000001,13.674709722222223,17.921400247293935,31.596109969516156,-4.2466905250717115,,空头
2015-03-10,0.5295000000000001,13.674709722222223,17.921400247293935,31.59610996951616,-4.246690525071712,,空头
2015-03-11,8.7582,13.607360273972603,17.80581155445338,31.413171828425984,-4.1984512804807785,,空头
2015-03-11,8.7582,13.607360273972605,17.80581155445338,31.413171828425984,-4.1984512804807785,,空头
2015-03-12,15.8187,13.637243243243244,17.685301748813835,31.32254499205708,-4.048058505570591,,空头
2015-03-12,15.8187,13.637243243243244,17.685301748813835,31.32254499205708,-4.048058505570591,,空头
2015-03-13,15.84,13.666613333333334,17.567241470090533,31.233854803423867,-3.9006281367571987,,空头
2015-03-13,15.84,13.666613333333334,17.567241470090533,31.233854803423867,-3.900628136757199,,空头
2015-03-16,13.7416,13.667599999999998,17.44973563936524,31.11733563936524,-3.782135639365242,,空头
2015-03-16,13.7416,13.667599999999998,17.44973563936524,31.117335639365237,-3.782135639365242,,空头
2015-03-17,21.1135,13.7643,17.35531048318914,31.119610483189145,-3.591010483189139,,空头
2015-03-17,21.1135,13.7643,17.35531048318914,31.119610483189142,-3.591010483189139,,空头
2015-03-18,15.9056,13.791752564102564,17.24394993887636,31.03570250297892,-3.452197374773796,,空头
2015-03-18,15.9056,13.791752564102563,17.24394993887636,31.03570250297892,-3.452197374773796,,空头
2015-03-19,0.616,13.624970886075952,17.197065310381486,30.82203619645744,-3.5720944243055346,,空头
2015-03-19,0.616,13.624970886075952,17.197065310381486,30.82203619645744,-3.5720944243055346,,空头
2015-03-20,11.4111,13.5972975,17.0896690502725,30.6869665502725,-3.4923715502725017,,空头
2015-03-20,11.4111,13.5972975,17.0896690502725,30.6869665502725,-3.4923715502725017,,空头
2015-03-23,18.6604,13.659804938271604,16.99183803953314,30.65164297780474,-3.332033101261535,,空头
2015-03-23,18.6604,13.659804938271604,16.99183803953314,30.65164297780474,-3.332033101261535,,空头
2015-03-24,-16.462,13.292465853658536,17.211130124594764,30.5035959782533,-3.918664270936228,越下限(看空),空头
2015-03-24,-16.462,13.292465853658536,17.211130124594764,30.5035959782533,-3.918664270936228,越下限(看空),空头
2015-03-25,-0.3109,13.128569879518071,17.170907414930948,30.29947729444902,-4.0423375354128765,,空头
2015-03-25,-0.3109,13.128569879518071,17.170907414930948,30.29947729444902,-4.0423375354128765,,空头
2015-03-26,-10.1401,12.851561904761908,17.254952294159263,30.106514198921168,-4.403390389397357,越下限(看空),空头
2015-03-26,-10.1401,12.851561904761907,17.254952294159263,30.106514198921168,-4.403390389397357,越下限(看空),空头
2015-03-27,1.0671,12.712921176470587,17.19949825054495,29.912419427015536,-4.48657707407436,,空头
2015-03-27,1.0671,12.712921176470589,17.19949825054495,29.912419427015536,-4.48657707407436,,空头
2015-03-30,-12.5018,12.419726744186049,17.312864823616163,29.73259156780221,-4.8931380794301145,越下限(看空),空头
2015-03-30,-12.501800000000001,12.419726744186049,17.312864823616163,29.73259156780221,-4.8931380794301145,越下限(看空),空头
2015-03-31,-13.908900000000001,12.117098850574711,17.441839673695714,29.558938524270424,-5.324740823121003,越下限(看空),空头
2015-03-31,-13.9089,12.117098850574711,17.441839673695714,29.558938524270424,-5.324740823121003,越下限(看空),空头
2015-04-01,-0.1437,11.977771590909091,17.390493918150508,29.3682655090596,-5.412722327241415,,空头
2015-04-01,-0.1437,11.977771590909093,17.390493918150508,29.3682655090596,-5.412722327241415,,空头
2015-04-08,-40.2101,11.391391011235957,18.15473868618204,29.546129697418,-6.763347674946084,越下限(看空),空头
2015-04-08,-40.210100000000004,11.391391011235955,18.15473868618204,29.546129697417996,-6.763347674946084,越下限(看空),空头
2015-04-09,-50.819,10.700164444444445,19.206579663208416,29.906744107652862,-8.506415218763971,越下限(看空),空头
2015-04-09,-50.818999999999996,10.700164444444445,19.206579663208416,29.906744107652862,-8.506415218763971,越下限(看空),空头
2015-04-10,-8.8493,10.485335164835163,19.20920851879451,29.694543683629675,-8.723873353959346,越下限(看空),空头
2015-04-10,-8.8493,10.485335164835165,19.20920851879451,29.694543683629675,-8.723873353959346,越下限(看空),空头
2015-04-13,9.31250000000001,10.47258695652174,19.103763182424498,29.57635013894624,-8.631176225902758,,空头
2015-04-13,9.31250000000001,10.47258695652174,19.103763182424498,29.57635013894624,-8.631176225902758,,空头
2015-04-14,4.2818000000000005,10.40601935483871,19.010496700262948,29.41651605510166,-8.604477345424238,,空头
2015-04-14,4.2818000000000005,10.40601935483871,19.010496700262948,29.41651605510166,-8.604477345424238,,空头
2015-04-15,10.2933,10.404820212765957,18.90801706599827,29.312837278764228,-8.503196853232312,,空头
2015-04-15,10.293299999999999,10.404820212765957,18.90801706599827,29.312837278764228,-8.503196853232312,,空头
2015-04-16,15.7445,10.461027368421052,18.81515098611507,29.276178354536125,-8.354123617694018,,空头
2015-04-16,15.7445,10.461027368421053,18.81515098611507,29.276178354536125,-8.354123617694018,,空头
2015-04-17,15.9654,10.518364583333334,18.72429149412731,29.242656077460644,-8.205926910793977,,空头
2015-04-17,15.965399999999999,10.518364583333334,18.72429149412731,29.242656077460644,-8.205926910793977,,空头
2015-04-20,-11.4778,10.2916,18.75992988204292,29.05152988204292,-8.468329882042918,越下限(看空),空头
2015-04-20,-11.4778,10.2916,18.75992988204292,29.05152988204292,-8.468329882042918,越下限(看空),空头
2015-04-21,13.8645,10.328058163265307,18.66646819813939,28.9945263614047,-8.338410034874084,,空头
2015-04-21,13.8645,10.328058163265307,18.66646819813939,28.9945263614047,-8.338410034874084,,空头
2015-04-22,7.01129999999999,10.294555555555556,18.573978440034374,28.868533995589928,-8.279422884478818,,空头
2015-04-22,7.01129999999999,10.294555555555556,18.573978440034374,28.868533995589928,-8.279422884478818,,空头
2015-04-23,-7.3913,10.117697,18.564368975602545,28.682065975602544,-8.446671975602545,,空头
2015-04-23,-7.3913,10.117697,18.564368975602545,28.682065975602544,-8.446671975602545,,空头
2015-04-24,0.2955,10.020447524752475,18.4971522405942,28.517599765346677,-8.476704715841722,,空头
2015-04-24,0.2955,10.020447524752475,18.497152240594197,28.517599765346674,-8.476704715841722,,空头
2015-04-27,10.648599999999998,10.026605882352941,18.405459480713944,28.432065363066883,-8.378853598361003,,空头
2015-04-27,10.648599999999998,10.02660588235294,18.405459480713944,28.432065363066883,-8.378853598361003,,空头
2015-04-28,-2.6124,9.90389708737864,18.357305635746417,28.26120272312506,-8.453408548367777,,空头
2015-04-28,-2.6124,9.90389708737864,18.357305635746417,28.26120272312506,-8.453408548367777,,空头
2015-04-29,2.7586,9.835192307692308,18.28140673434997,28.11659904204228,-8.446214426657663,,空头
2015-04-29,2.7586,9.835192307692308,18.28140673434997,28.11659904204228,-8.446214426657663,,空头
2015-04-30,-4.4358,9.699278095238096,18.24653136320594,27.945809458444035,-8.547253267967843,,空头
2015-04-30,-4.4357999999999995,9.699278095238096,18.24653136320594,27.945809458444035,-8.547253267967843,,空头
2015-05-04,0.4386,9.61191320754717,18.18169812559597,27.793611333143147,-8.569784918048805,,空头
2015-05-04,0.4386,9.61191320754717,18.181698125595975,27.793611333143147,-8.569784918048805,,空头
2015-05-05,7.773300000000001,9.594729906542057,18.096605100093218,27.69133500663527,-8.501875193551163,,空头
2015-05-05,7.773300000000001,9.594729906542055,18.096605100093218,27.69133500663527,-8.501875193551163,,空头
2015-05-06,4.1623,9.54442962962963,18.01942678399066,27.56385641362029,-8.47499715436103,,空头
2015-05-06,4.1623,9.54442962962963,18.01942678399066,27.56385641362029,-8.47499715436103,,空头
2015-05-07,25.6317,9.692019266055048,18.001877038784954,27.693896304840003,-8.309857772729908,,空头
